,Receiver,Description,Country,Year,Grant Size (DKK),Category
66,13 Grundfos Employees,Poul Due Jensens Innovation Award and Scholarships 2018,Denmark,2018,400,
67,Mødrehjælpen,2018-047 Christmas donation,Denmark,2018,500,
68,Frelsens Hær,2018-048 Christmas donation,Denmark,2018,500,
69,Dansk Folkehjælp,2018-049 Christmas donation,Denmark,2018,500,
70,Børnehjælpsdagen,2018-050 Christmas donation,Denmark,2018,500,
71,"Den Sociale Udviklingsfond,Randers and Syddjurs Job Centres",2018-026 Social Job Match,Denmark,2018,1299,
72,Skive Municipality,2018-002 Ready for education,Denmark,2019,2051,
73,Norddjurs Municipality,2018-004 Recruiting for the harbour,Denmark,2019,270,
74,Syddjurs Municipality,2018-012 A healthy working life,Denmark,2019,1000,
75,Randers Municipality and Norddjurs Municipality,2018-03 RUN,Denmark,2018,6968,
76,Stairway Foundation,Poul Due Jensen Social Responsibility Award 2017,Philippines,2018,149,
77,MH24 Foreningen Mikkel mod Mobning,"2019-003 Antibulli Håndbold, Midtjylland",Danmark,2019,1500,Inklusion
78,Norddjurs Kommune – arbejdsmarkedsafdelingen,2019-024 Rekruttering til havnen II,Danmark,2019,2350,Inklusion
79,Discus,2019-026 Forprojekt: Klimajob i SMV'er,Danmark,2019,180,Inklusion
80,Discus,2019-027 Forprojekt: Job i boligforeninger,Danmark,2019,585,Inklusion
81,Dansk Folkehjælp,2019-020 Juledonation,Danmark,2019,500,Inklusion
82,Frelsens Hær,2019-021 Juledonation,Danmark,2019,500,Inklusion
83,Mødrehjælpen,2019-022 Juledonation,Danmark,2019,500,Inklusion
84,Røde Kors,2019-030 Juledonation,Danmark,2019,500,Inklusion
85,Aarhus Universitet – Engineering,2018-019 Den digitale tvilling,Danmark,2019,12070,Forskning
86,Aalborg Universitet – Kemi og Bioscience,2018-046 Microflora Danica II,Danmark,2019,9439,Forskning
87,Aarhus Universitet – Bioscience,2019-004 WETPOL konference,Danmark,2019,120,Forskning
88,Danmarks Tekniske Universitet – Mekanik,2018-039 Center for Turbulensforskning,Danmark,2019,12905,Forskning
89,Aarhus Universitet – Geoscience,2019-001 Si-TEM,Danmark,2019,3467,Forskning
90,Aalborg Universitet – Elektroniske Systemer,2019-007 Vandinfrastrukturlaboratorium III,Danmark,2019,3072,Forskning
91,ASTRA,2019-014 Naturvidenskabsfestival,Danmark,2019,500,Forskning
92,Polyteknisk Boghandel og Forlag,2019-016 Wastewater Treatment lærebog genudgivelse,Danmark,2019,300,Forskning
93,Naturvidenskabernes Hus,2019-017 Skolebesøg II,Danmark,2019,1000,Forskning
94,Aarhus Maskinmesterskole og MERCANTEC,2019-015 Viborg Maskinmesterskole,Danmark,2019,3000,Forskning
95,Aarhus Universitet – Geoscience,2019-040 Si-TEM tillægsbevilling,Danmark,2019,1486,Forskning
96,Bjerringbro Gymnasium,2019-041 BeScience,Danmark,2019,2993,Forskning
97,ASTRA,2019-042 Big Bang Konference,Danmark,2019,500,Forskning
98,Syddansk Universitet m.fl.,2019-043 Forprojekt: Sørensning,Danmark,2019,2500,Forskning
99,Aalborg Universitet – Kemi og Bioscience,Grundfosprisen 2019 – forskningsmidler,Danmark,2019,750,Forskning
100,Professor Morten M. Smedskjær,Grundfosprisen 2019 - personlig anerkendelse,Danmark,2019,250,Forskning
101,Norwegian Church Aid,"2018-029 Burundi, fase II",Burundi,2019,7641,Vand
102,Practical Action,2018-033 Turkana,Kenya,2019,14309,Vand
103,Sunlit Future,2018-041 Indiske skoler,Indien,2019,261,Vand
104,Water Mission,"2019-002 Tanzania værtssamfund, fase II",Tanzania,2019,8650,Vand
105,Water Mission,"2019-010 Indonesien, fra nødhjælp til bæredygtige projekter",Indonesien,2019,607,Vand
106,Jysk landsbyudvikling i Nepal,2019-018 Nepal Fixit,Nepal,2019,5999,Vand
107,Water Mission,2019-019 Turbinepumpe til bjerglands- byer,Indonesien,2019,1067,Vand
108,Water Mission,2019-005 Katastrofehjælp Malawi,Malawi,2019,1016,Vand
109,PlanBørnefonden,2019-006 Katastrofehælp Mozambique,Mozambique,2019,1000,Vand
110,Water Mission,2019-029 Katastrofehjælp Bahamas,Bahamas,2019,250,Vand
111,UNICEF,2019-047 Emergencies 365 fond for nødhjælp,Global,2019,3300,Vand
112,C40 Cities,2019-050 Water-Safe Cities of the Future,Global,2019,3800,Vand
113,Bjerringbro Kirke,2019-013 Springvand,Danmark,2019,3500,Samfundsengagement
114,Viborg Private Realskole,2019-012 VpR International,Danmark,2019,3000,Samfundsengagement
115,Aarhus Kommune,2019-049 Dronning Margrethe 80 år,Danmark,2019,1000,Samfundsengagement
116,13 Grundfos-ansatte,Poul Due Jensens Innovationspris og Studielegater 2019,Global,2019,429,Samfundsengagement
117,Rotary Club Madras,Poul Due Jensens Pris for Social Ansvarlighed 2019,Indien,2019,151,Samfundsengagement
118,Oxfam,"Bæredygtig vandforsyning i Terai Lowlands, (fase 2)",Nepal,2020,4159,Vand og bæredygtig udvikling
119,Water Mission,Rent drikkevand i Nyarugusu og to lokale lands- bysamfund (fase 2),Tanzania,2020,4373,Vand og bæredygtig udvikling
120,Sunlit Future,Drikkevand i Indien - genbesøgelse af 89 vandprojekter (fase 4),Indien,2020,6196,Vand og bæredygtig udvikling
121,Sunlit Future,"Vand til Demul Village i Himalaya -
forundersøgelse",Indien,2020,374,Vand og bæredygtig udvikling
122,PlanBørnefonden,Flygtningesamfund i Gambella - forundersøgelse,Etiopien,2020,692,Vand og bæredygtig udvikling
123,Stockholm Water Institute,World Water Week Communications Initiative,Global,2020,2500,Vand og bæredygtig udvikling
124,Sunlit Future,Vandforsyning til indiske landsbyskoler (fase II),Indien,2020,337,Vand og bæredygtig udvikling
125,"OPP Research & Training
Institute",Billig sanitetsinfrastruktur,Pakistan,2020,3238,Vand og bæredygtig udvikling
126,ICRC Den Internationale Røde Kors Komité,"COVID-19 respons - COVID-19 Emergency
Appeal",Global,2020,5000,Vand og bæredygtig udvikling
127,Unicef,"COVID-19 respons -  Humanitarian Action for
Children",Global,2020,5000,Vand og bæredygtig udvikling
128,NRC Norsk Flygtningehjælp og DRC Dansk Flygtningehjælp,"COVID-19 respons - Vand, sanitet og hygiejne til flygtningesamfund","Iran, Nigeria, Tanzania,
Kenya",2020,3076,Vand og bæredygtig udvikling
129,Water Mission,"COVID-19 respons - Etablering af håndvaske-
stationer",Global,2020,10321,Vand og bæredygtig udvikling
130,Oxfam,"COVID-19 respons - Vand, sanitet og hygiejne",Nepal,2020,2271,Vand og bæredygtig udvikling
