,Receiver,Description,Country,Year,Grant Size (DKK),Category
259,Sunlit Future,Vandforsyning i landdistrikter,Indien,2021,7225,Vand og Bæredygtig Udvikling
260,Water Mission,"Nødhjælp, jordskælv i Indonesien",Indonesien,2021,1005,Vand og Bæredygtig Udvikling
261,PlanBørnefonden,Udvidelse af vandforsyning i Plateaux-regionen,Togo,2021,1528,Vand og Bæredygtig Udvikling
262,PlanBørnefonden,Genbesøg og kvalitetssikring af vandprojekter,Togo,2021,7600,Vand og Bæredygtig Udvikling
263,UNICEF,Donation af teknisk udstyr,Tanzania,2021,1436,Vand og Bæredygtig Udvikling
264,"SOSNPO, Save Our Schools, SA",Nødhjælp brand i Cape Town,Sydafrika,2021,200,Vand og Bæredygtig Udvikling
265,Hand in Hand India,Nødhjælp COVID-19 i Indien,Indien,2021,319,Vand og Bæredygtig Udvikling
266,"IDCC, det dansk-indiske handelskammer",Nødhjælp COVID-19 i Indien,Indien,2021,250,Vand og Bæredygtig Udvikling
267,Water Mission,Rent drikkevand til Makere,Tanzania,2021,2998,Vand og Bæredygtig Udvikling
268,Oxfam,COVID-19 i Terai Lowlands,Nepal,2021,1142,Vand og Bæredygtig Udvikling
269,Human Needs Project,COVID-19 i Kibera slum,Kenya,2021,614,Vand og Bæredygtig Udvikling
270,Nanyang Charity Federation,Nødhjælp oversvømmelse Kina,Kina,2021,983,Vand og Bæredygtig Udvikling
271,Water Mission,"Nødhjælp, jordskælv i Haiti",Haiti,2021,998,Vand og Bæredygtig Udvikling
272,Practical Action,Vandingforsyning til nomadefolk i Turkana,Kenya,2021,7530,Vand og Bæredygtig Udvikling
273,Human Needs Project,"Flaskevandsfabrik, Kibera Town Center",Kenya,2021,996,Vand og Bæredygtig Udvikling
274,Water Mission,Vandforsyning til flygtningssamfund i det vestlige Tanzania,Tanzania,2021,6655,Vand og Bæredygtig Udvikling
275,ICRC Den Internationale Røde Kors Komité,Træningscenter for energi og vand for NGO´er,Kenya,2021,1650,Vand og Bæredygtig Udvikling
276,PlanBørnefonden,Forstudie: Holistiske WASH-metoder,Togo,2021,3487,Vand og Bæredygtig Udvikling
277,Oxfam,Bæredygtig forretningsmodel for vandforsyning,Nepal,2021,4679,Vand og Bæredygtig Udvikling
278,Stockholm International Water Institute,World Water Week Communications Initiative,Global,2021,1500,Vand og Bæredygtig Udvikling
279,Water Mission,Vandforsyning i landdistrikter,Kenya,2021,3280,Vand og Bæredygtig Udvikling
280,Global Water Center,Forprojekt VVS-uddannelse,Ghana,2021,275,Vand og Bæredygtig Udvikling
281,PlanBørnefonden,Nødhjælp Tigray,Etiopien,2021,500,Vand og Bæredygtig Udvikling
282,Water and Life Philippines,"Nødhjælp, Super tyfon Rai",Filippinerne,2021,297,Vand og Bæredygtig Udvikling
283,"Aalborg Universitet, Institut for Kemi og Biovidenskab",Membrankrystallisering,Danmark,2021,5562,Forskning og Læring
284,ASTRA,Naturvidenskabsfestival,Danmark,2021,7500,Forskning og Læring
285,"Aarhus Universitet, Institut for Geoscience",SuperTEM - grundvandsovervågning,Danmark,2021,2200,Forskning og Læring
286,"Aalborg Universitet, Institut for Energiteknik",Næste generation effektelektronik (CoDE),Danmark,2021,15634,Forskning og Læring
287,"Aalborg Universitet, Institut for Planlægning",Interdisciplinær problembaseret læring,Danmark,2021,5844,Forskning og Læring
288,"Aarhus Universitet, Institut for Elektro- og Computerteknologi",Transceiver PhD forlængelse,Danmark,2021,113,Forskning og Læring
289,Den selvejende institution Videnskabsår22,Videnskabsår22,Danmark,2021,850,Forskning og Læring
290,Flere universiteter,Bæredygtig sørestaurering - rePair,Danmark,2021,25919,Forskning og Læring
291,Danmarks Tekniske Universitet - Skylab,Next Generation Water Action 2022,Danmark,2021,800,Forskning og Læring
292,"Aarhus Universitet, Institut for Kultur og Samfund","Urban water governance i Nairobi, Kenya",Danmark,2021,148,Forskning og Læring
293,"VIA University College, Horsens",World Water Camp 2022,Danmark,2021,350,Forskning og Læring
294,ASTRA,Unge forskere 2022,Danmark,2021,250,Forskning og Læring
295,ASTRA,Big Bang konference 2022,Danmark,2021,500,Forskning og Læring
296,"Danmarks Tekniske Universitet, Institut for Mekanisk Teknologi",Åben additiv fremstilling udstyr,Danmark,2021,2610,Forskning og Læring
297,Flexfabrikken,Mærk jobbet,Danmark,2021,5475,Inklusion og Samfundsengagement
298,Den Sociale Retshjælp,Fremtidssikring af organisationen,Danmark,2021,3000,Inklusion og Samfundsengagement
299,Viborg Kommune,Etablering af skov til grundvandssikring,Danmark,2021,3000,Inklusion og Samfundsengagement
300,"Scanregn, forfatter Peter Birk Christiansen",Bog om markvandingens historie,Danmark,2021,200,Inklusion og Samfundsengagement
301,Aarhus Internationale Skole,Støtte til Aarhus Internationale Skole,Danmark,2021,3000,Inklusion og Samfundsengagement
302,Danmarks Idrætsforbund (DIF),Veteran Match - sport skaber jobs,Danmark,2021,2750,Inklusion og Samfundsengagement
303,Tænketanken Europa,EU-Afrika relationer: Er det tid til at gentænke Danmarks engagement?,Global,2021,370,Inklusion og Samfundsengagement
304,Dansk Folkehjælp,Juledonation,Danmark,2021,250,Inklusion og Samfundsengagement
305,Frelsens Hær,Juledonation,Danmark,2021,500,Inklusion og Samfundsengagement
306,Mødrehjælpen,Juledonation,Danmark,2021,500,Inklusion og Samfundsengagement
307,Børnehjælpsdagen,Juledonation,Danmark,2021,250,Inklusion og Samfundsengagement
308,Dansk Røde Kors,Juledonation,Danmark,2021,500,Inklusion og Samfundsengagement
309,Kvisten,Behandlingstilbud til voksne med senfølger efter seksuelle overgreb,Danmark,2021,3000,Inklusion og Samfundsengagement
310,Bjerringbro Biograf,Støtte til ny projektor,Danmark,2021,186,Inklusion og Samfundsengagement
311,Bialskopodlaska Ecological Foundation,Tilpasning af klorinfabrik til undervisningsformål,Polen,2022,299,Community Engagement Grants
312,Mølleskolen i Ry,Almas intelligente have,Danmark,2022,952,Community Engagement Grants
313,Water4 Inc.,Udvidelse af vandforsyning i det nordvestlige Ghana,Ghana,2022,647,Community Engagement Grants
314,Rector Cares Foundation,Støtte vand som en forretning i Ochicha,Nigeria,2022,1006,Community Engagement Grants
315,"ADDA, Tanzania",Vand for bedre fødevaresikkerhed i Dodoma,Tanzania,2022,1025,Community Engagement Grants
316,NiiS,Integration gennem job i Aarhus-området,Danmark,2022,425,Community Engagement Grants
317,Aktiv NS,Sommerlejr for forældreløse børn,Serbien,2022,261,Community Engagement Grants
318,Blue Gold Works,Kunstvandingsprojekt til småbønder i Grube,Ghana,2022,373,Community Engagement Grants
319,Red Alert Robotics,"Sponsorat, piger i STEM",USA,2022,66,Community Engagement Grants
320,PIAMERICA S.A.,Forbedret adgang til vand via borgerhuse i Escobar,Argentina,2022,992,Community Engagement Grants
321,Water and Life Philippines,Bæredygtig adgang til vand og sanitet i Cebu,Filippinerne,2022,746,Community Engagement Grants
322,IHE Delft Institute for Water Education,Digital lærebog om membranfiltrering,Holland,2022,205,Community Engagement Grants
323,High5Girls,STEM netværk og camps for piger,Danmark,2022,439,Community Engagement Grants
324,Ability Foundation,Beskæftigelse for dimittender med særlige behov,Indien,2022,153,Community Engagement Grants
325,Bridge for Billions,Støtte til kvindelige iværksættere i WASH,Ghana,2022,724,Community Engagement Grants
326,Fundación Balia,Fritidspas til udsatte børn og unge i Algete,Spanien,2022,112,Community Engagement Grants
327,Juntos,Træningscenter for mennesker med handicap i Bajio,Mexico,2022,481,Community Engagement Grants
328,Eco-pads Africa,Genanvendelige hygiejnebind til skolepiger,Uganda,2022,241,Community Engagement Grants
329,University of South Africa,"Førskole: Bæredygtige bygninger, vand og energiforsyning",Sydafrika,2022,153,Community Engagement Grants
330,"SOSNPO, Save our Schools, SA",Håndvaskestationer på skoler i Cape Town,Sydafrika,2022,254,Community Engagement Grants
331,Green Gold Ghana,Drikkevand til landsbysamfundet Zuo i det nordlige Ghana,Ghana,2022,283,Community Engagement Grants
332,China Guanghua Foundation,Støtte til jobskabelse for minoritetskvinder,Kina,2022,313,Community Engagement Grants
333,ReDI School of Digital Integration Denmark,Digital uddannelse til kvinder med migrant- og flygtningebaggrund,Danmark,2022,744,Community Engagement Grants
334,Tanzania Development Foundation Trust (TDFT),Soldrevet vandsystem i Usinga,Tanzania,2022,679,Community Engagement Grants
335,Ol Pejeta Conservancy,Bæredygtig vandforsyning til nationalpark,Kenya,2022,746,Community Engagement Grants
336,Our Hope Integrated Community Based Organisation,Soldrevet vandsystem i Ung'atani,Kenya,2022,436,Community Engagement Grants
337,Wahana Visi Indonesia,Adgang til vand og hygiejneoplysning i Kuanfatu,Indonesien,2022,946,Community Engagement Grants
338,Afrolynk,Vandadgang i borgerhus i Effiakuma,Ghana,2022,453,Community Engagement Grants
339,Fundación Agua es Vida,Drikkevand til børnehaver i landdistrikter,Chile,2022,157,Community Engagement Grants
340,Club Balonmano Alcobendas,Mental sundhed i Alcobendas håndboldklub,Spanien,2022,393,Community Engagement Grants
341,Action jeunesse feminine du Burkina,Soldrevet vandsystem i Djibo,Burkina Faso,2022,483,Community Engagement Grants
342,Heartur Community Foundation,Vandforsyning og malariaforebyggelse i Biankouri,Togo,2022,444,Community Engagement Grants
343,Habitat for Humanity,Boliger til sårbare familier,Rumænien,2022,187,Community Engagement Grants
344,SOS Children´s Villages Poland,Ukraine støtte: Børn i nød,Polen,2022,373,Community Engagement Grants
345,Polska Akcja Humanitarna,"Ukraine støtte:
Humanitær bistand til flygtninge",Polen,2022,373,Community Engagement Grants
346,Hungarian Interchurch Aid,"Ukraine støtte:
Langsigtede aktiviteter for ofrene for krisen",Ungarn,2022,373,Community Engagement Grants
347,Towarzystwo Przyjaciót Ukrainy (Society of Friends of Ukraine),"Ukraine støtte:
Humanitær bistand til flygtninge",Polen,2022,373,Community Engagement Grants
348,Polish Medical Mission,"Ukraine støtte:
Medicinsk udstyr til hospitaler",Ukraine,2022,373,Community Engagement Grants
349,Magyar Református Szeretetszolgálat,"Ukraine støtte:
Humanitær bistand til flygtninge",Ungarn,2022,373,Community Engagement Grants
350,Stiprūs Kartu,"Ukraine støtte:
Humanitær bistand til flygtninge",Litauen,2022,186,Community Engagement Grants
351,"Carmel centrum, n.o.","Ukraine støtte:
Humanitær bistand til flygtninge",Slovakiet,2022,90,Community Engagement Grants
352,VONESZO Hátrányos Helyzetûeket Segítõ Alapítvány,"Ukraine støtte:
Humanitær bistand til flygtninge",Ungarn,2022,373,Community Engagement Grants
353,"St Joseph Parish, Békásmegyer Ófalu","Ukraine støtte:
Humanitær bistand til flygtninge",Ungarn,2022,45,Community Engagement Grants
354,Water Mission,"Ukraine støtte:
Humanitær bistand til flygtninge",Rumænien,2022,373,Community Engagement Grants
355,Polish Center for International Aid,"Ukraine støtte:
Humanitær bistand til flygtninge",Polen,2022,187,Community Engagement Grants
356,Fejér County Branch of the Hungarian Red Cross,"Ukraine støtte:
Humanitær bistand til flygtninge",Ungarn,2022,37,Community Engagement Grants
357,Helping Wing,"Ukraine støtte:
Humanitær bistand til krigsofre",Ukraine,2022,75,Community Engagement Grants
358,Royal Rangers Stamm 343 Pfaffenhofen/Holledau,"Ukraine støtte:
Humanitær bistand til krigsofre",Ukraine,2022,19,Community Engagement Grants
359,Charita Olomouc,"Ukraine støtte:
Humanitær bistand til flygtninge",Tjekkiet,2022,75,Community Engagement Grants
360,Ukraine-Denmark Humanitarians,"Ukraine støtte:
Humanitær bistand til krigsofre",Ukraine,2022,186,Community Engagement Grants
361,Habitat for Humanity,"Ukraine støtte:
Humanitær bistand til flygtninge",Rumænien,2022,75,Community Engagement Grants
362,PlanBørnefonden,"Ukraine støtte:
Humanitær bistand til krigsofre",Ukraine,2022,1000,Community Engagement Grants
363,"Københavns Universitet, Institut for Naturfagenes Didaktik","GATE: Gender Aware Teaching
for Equity in Science and Engineering",Danmark,2022,8811,Forskning og Læring
364,Odense Robotics Startup Foundation,Etablering af Odense Robotics Startup Foundation,Danmark,2022,1840,Forskning og Læring
365,"Aalborg Universitet, Institut for Materialer og Produktion",Advanced Laser Processing with Tailored Beams,Danmark,2022,2750,Forskning og Læring
366,Danmarks Matematiklærerforening,"Matematikkens Dag 2022
- Matematik og Videnskab",Danmark,2022,807,Forskning og Læring
367,Young Water Professionals Denmark,Boggave til unge deltagere i IWA kongres,Danmark,2022,187,Forskning og Læring
368,"Aalborg Universitet,
Institut for Kemi og Biovidenskab",Microflora Danica III,Danmark,2022,6000,Forskning og Læring
369,Naturvidenskabernes Hus,Tillidsbaseret donation,Danmark,2022,5000,Forskning og Læring
370,Flere universiteter og WaterITech ApS,Lake Stewardship II,Danmark,2022,20000,Forskning og Læring
371,Skills by Innovation Lab,"Next Generation - kids, play and tech",Danmark,2022,760,Forskning og Læring
372,ASTRA,Unge Forskere og Big Bang 2023,Danmark,2022,1000,Forskning og Læring
373,Socialt Udviklingscenter SUS,Kollektive Ungebudgetter,Danmark,2022,5848,Inklusion og Samfundsengagement
374,Dansk Røde Kors,Styrkelse af løsladtes forudsætninger for et godt liv uden kriminalitet,Danmark,2022,7500,Inklusion og Samfundsengagement
375,Viborg International School,Støtte til Viborg International School,Danmark,2022,1500,Inklusion og Samfundsengagement
376,Ejendomsfonden Aarhus International School,Støtte til Aarhus International School,Danmark,2022,7000,Inklusion og Samfundsengagement
377,Hej Fonden,Bygge fællesskaber i håndbold for inklusion for alle,Danmark,2022,3000,Inklusion og Samfundsengagement
378,Boligselskabet Viborg,Job i almene boligområder,Danmark,2022,2913,Inklusion og Samfundsengagement
379,Foreningen for etablering af Hospice Viborg,Forprojekt for Hospice Viborg,Danmark,2022,45,Inklusion og Samfundsengagement
380,Foreningen Demokratifronten,Det politiske akademy,Danmark,2022,200,Inklusion og Samfundsengagement
381,Mødrehjælpen,Juledonation,Danmark,2022,1200,Inklusion og Samfundsengagement
382,Dansk Røde Kors,Juledonation,Danmark,2022,1200,Inklusion og Samfundsengagement
383,Dansk Folkehjælp,Juledonation,Danmark,2022,500,Inklusion og Samfundsengagement
384,Børnehjælpsdagen,Juledonation,Danmark,2022,100,Inklusion og Samfundsengagement
385,Børns Vilkår,Skalering af Børns Vilkår i Aarhus,Danmark,2022,2000,Inklusion og Samfundsengagement
386,Danmarks Idrætsforbund,Veteran Match - Sport skaber beskæftigelse,Danmark,2022,2500,Inklusion og Samfundsengagement
387,Dansk Flygtningehjælp,Ukraine støtte:  Flygtningehjælp,Ukraine,2022,5000,Inklusion og Samfundsengagement
388,Læger uden grænser,Ukraine støtte: Medicin og lægehjælp,Ukraine,2022,5000,Inklusion og Samfundsengagement
389,Danmarks Idrætsforbund,"Ukraine støtte: Get2sport
- Flygtningebørn til sport",Danmark,2022,5000,Inklusion og Samfundsengagement
390,Erhvervsministeriet,Ukraine støtte: Humanitær donation af entreprenørmaskiner,Ukraine,2022,5000,Inklusion og Samfundsengagement
391,Jysk landsbyudvikling,Water2Nepal - via danske vandløsninger og internationalt samarbejde,Nepal,2022,6992,Vand og bæredygtig udvikling
392,UNHCR,Sikre grøn vandforsyning i flygtningelejre,Global,2022,32516,Vand og bæredygtig udvikling
393,C40 Cities,Water Safe Cities II,Global,2022,11687,Vand og bæredygtig udvikling
394,Sunlit Future,Drikkekvand til fjerntliggende landsbyer i Indien fase 6,Indien,2022,4512,Vand og bæredygtig udvikling
395,PlanBørnefonden,SunWash flygtningesamfund i Gambella,Etiopien,2022,2874,Vand og bæredygtig udvikling
396,Sunlit Future,Genbesøg af tidligere drikkevandsprojekter i Indien,Indien,2022,996,Vand og bæredygtig udvikling
397,Den Danske UNICEF Fond,Vandforsyning til fjerntliggende flygtningssamfund i det vestlige Tanzania,Tanzania,2022,15741,Vand og bæredygtig udvikling
398,Oxfam,Bæredygtig vandforsyning og udvikling af alternativ management model,Nepal,2022,4906,Vand og bæredygtig udvikling
399,Global Water Center,Certificering af vanduddannelse,Ghana,2022,3231,Vand og bæredygtig udvikling
400,Water Mission,Tillidsbaseret donation,Global,2022,5000,Vand og bæredygtig udvikling
401,Water Mission,Vandforsyning til flygtningesamfund i Tukarna,Kenya,2022,10550,Vand og bæredygtig udvikling
402,Human Needs Project,Støtte til drift af Kibera Town Center,Kenya,2022,860,Vand og bæredygtig udvikling
403,Energy 4 Impact,Test af pumpe til markvanding,Tanzania,2022,24,Vand og bæredygtig udvikling
404,Sunlit Future,Drikkevandsforsyning til landsbyer i Maharashtra,Indien,2022,1488,Vand og bæredygtig udvikling
405,PlanBørnefonden,Genbesøg af vandinstallationer i Togo,Togo,2022,6091,Vand og bæredygtig udvikling
406,Mount Mulanje Biosphere Reserve,Forprojekt for kortlægning af vandmulighed ved Mount Mulanje,Malawi,2022,255,Vand og bæredygtig udvikling
407,Oxfam,Støtte til oversvømmelse i Pakistan,Pakistan,2022,1000,Vand og bæredygtig udvikling
408,Stockholm International Water Institute,World Water Week 2023 Communication Accelerator,Global,2022,1400,Vand og bæredygtig udvikling
409,Water Mission,Kortlægning af grundvandsressourcer i Dolo Addo-regionen,Etiopien,2022,1000,Vand og bæredygtig udvikling
410,Human Needs Project,Preprojekt til skalering af Kibera Town Center,Kenya,2022,500,Vand og bæredygtig udvikling
411,16 Grundfos-ansatte,2022 Grundfos People Awards,Global,2022,597,priser
412,Swabodhini School for Children with Special Needs,"2022 Grundfos
Community Engagement Award",Indien,2022,149,priser
413,"Danmarks Tekniske Universitet, Institut for Kemiteknik","Grundfosprisen 2022
- forskningsmidler",Danmark,2022,750,priser
414,Professor Anne Ladegaard Skov,"Grundfosprisen 2022
- personlig anerkendelse",Danmark,2022,250,priser
415,3 studerende,Grundfosprisen 2022 - studenterpriser,Danmark,2022,75,priser
416,"Aarhus Universitet, Institut for Bio- og Kemiteknologi",Grundfosprisen 2023 – forskningsmidler,Danmark,2023,750,priser
417,Lektor Patrick Biller,Grundfosprisen 2023 – personlig anerkendelse,Danmark,2023,250,priser
418,3 studerende,Grundfosprisen 2023 – studenterpriser,Global,2023,75,priser
419,25 Grundfos-ansatte,2023 Grundfos People Awards,Global,2023,673,priser
420,Turning Point Educational Trust,2023 Grundfos Community Engagement Award,Indien,2023,150,priser
421,China Guanghua Foundation,Vandforsyning til tibetansk landsby,Kina,2023,471,Community Engagement
422,Netspring Limited,Studietur og støtte til underbemidlede studerende,Kina,2023,561,Community Engagement
423,The Good Shepherd Love Foundation,Sikker sanitet til landsbyen Otoase,Ghana,2023,394,Community Engagement
424,Aktiv NS,Sportssommerlejr for forældreløse børn,Serbien,2023,299,Community Engagement
425,Rector Cares Foundation,Vand- og uddannelsesfaciliteter i Opi,Nigeria,2023,737,Community Engagement
426,SADE: The Sustainability Steps Association,Ansvarlige Ingeniører for Bæredygtighed,Tyrkiet,2023,316,Community Engagement
427,SA.LA.MA (Santé par la Langue Maternelle),Uddannelsesstøtte i Fotokol,Cameroun,2023,313,Community Engagement
428,We Make Change Global Limited,Virtuel frivillighed,Global,2023,79,Community Engagement
429,Poured Out Inc.,Soldrevne vanddistributionscentre,Haiti,2023,747,Community Engagement
430,Tahanan ng Pagmamahal Children’s Home Inc.,Støtte til børnehjem,Filippinerne,2023,19,Community Engagement
431,Towarzystwo Przyjaciot Ukrainy,Mobilt uddannelseslaboratorium,Polen,2023,576,Community Engagement
432,Red Alert Robotics,Støtte til deltagelse i robotkonkurrence 2023-2024,USA,2023,70,Community Engagement
433,Proyecto Agua Segura,Adgang til rent drikkevand,Argentina,2023,859,Community Engagement
434,Water and Life Philippines,Styrkelse af udsatte lokalsamfund gennem WASH,Filippinerne,2023,896,Community Engagement
435,Niis: Ny Integration i Samfundet,Integration via jobs i Midtjylland,Danmark,2023,652,Community Engagement
436,"Faculty of Engineering Systems and Ecology, Kyiv National University of Construction and Architecture",Finansiel støtte til ukrainske studerende,Ukraine,2023,162,Community Engagement
437,Hanse Obst e.V. Lübeck,Etablering af frugtplantage,Tyskland,2023,150,Community Engagement
438,Build CDC,Familiestøtte i Selma,USA,2023,703,Community Engagement
439,57357,Støtte til 57375 Hospital,Egypten,2023,22,Community Engagement
440,HOPin Academy,Soldrevne landbrug for kvinder,Ghana,2023,436,Community Engagement
441,Action Jeunesse Féminine du Burkina Faso,Center til forebyggelse af barnebrude,Burkina Faso,2023,662,Community Engagement
442,Optimal Greening Foundation,Vand- og sanitetsprojekt i Agala,Nigeria,2023,116,Community Engagement
443,ADDA,Vand for bedre fødevaresikkerhed i Dodoma,Tanzania,2023,58,Community Engagement
444,Water Mission,Interaktiv vandudstilling,USA,2023,392,Community Engagement
445,Habitat for Humanity Romania,Boliger til sårbare familier,Rumænien,2023,224,Community Engagement
446,Fundación Balia,Social støtte til unge,Spanien,2023,188,Community Engagement
447,Alcobendas Handball Club,Program for mental sundhed,Spanien,2023,417,Community Engagement
448,Plan International Ethiopia,Train-the-trainer program i Addis Ababa,Etiopien,2023,1025,Community Engagement
449,Million Trees Foundation Inc.,Genopretning af vandskel,Filippinerne,2023,177,Community Engagement
450,"Človek v ohrození, n.o.",Jeden Svet (One World) festival for menneskerettigheder,Slovakiet,2023,75,Community Engagement
451,Agua Por La Vida Foundation,Vandtårne på 3 agro-industrielle skoler,Colombia,2023,499,Community Engagement
452,Jeslu Puro Water,Adgang til sikkert og rent drikkevand i skoler i Limpopo og Gauteng,Sydafrika,2023,590,Community Engagement
453,Water For People,Etablering af kunstige vådområder i Reque,Peru,2023,735,Community Engagement
454,Yison Tech Hub,IT og uddannelseshjælp til skoler for forældreløse børn,Ghana,2023,434,Community Engagement
455,Amulen Foundation,Genbrug af spildevand på landsbyskoler i Chile,Chile,2023,189,Community Engagement
456,High5Girls,Kvindelige STEM-rollemodeller og -camps,Danmark,2023,226,Community Engagement
457,Fundación Club Universitario de Buenos Aires,Familieuddannelse: fysisk aktivitet og træning,Argentina,2023,209,Community Engagement
458,McKenzie Robotics,Støtte til robottræningsbane,USA,2023,187,Community Engagement
459,ACE Charity,Vand og sanitet til ACE Radio School- læringscentre,Nigeria,2023,924,Community Engagement
460,Amulen Foundation,Regnvandsløsning til chilenske skoler,Chile,2023,172,Community Engagement
461,Young Water Professionals Denmark,Young Water Professionals europæisk konference 2024,Danmark,2023,298,Community Engagement
462,Agua Segura,Adgang til rent vand,Colombia,2023,615,Community Engagement
463,Agua Segura,Adgang til rent vand,Peru,2023,556,Community Engagement
464,Shanghai Hezhong Young Volunteers Service Centre,WASH-projekt i Jinping,Kina,2023,410,Community Engagement
465,Aktiv NS,Sportssommerlejre i 2024 og 2025,Serbien,2023,671,Community Engagement
466,Fuyuan Red Cross Society,Rensning af flod ved landsbyen Hongqi,Kina,2023,514,Community Engagement
467,Action Jeunesse Feminine du Burkina Faso,Iværksætterundervisning for 300 unge piger og enker,Burkina Faso,2023,733,Community Engagement
468,Strandstädarna,Affaldsindsamling på strande i Bohuslän,Sverige,2023,89,Community Engagement
469,Roland Eötvös Physics Society,Støtte til fysikturnering for unge i Budapest,Ungarn,2023,186,Community Engagement
470,The Sustainability Steps Association,Bæredygtige ingeniørfokus,Tyrkiet,2023,302,Community Engagement
471,Netspring Limited,Undervisningsstøtte til ældre med handicap,Kina,2023,470,Community Engagement
472,Watergate CommunityLink,Vandprojekt i Migilango,Tanzania,2023,736,Community Engagement
473,Støtteforeningen #11påryggen,Forbedret livskvalitet for langtidsindlagte børn,Danmark,2023,157,Community Engagement
474,Naturvidenskabernes Hus,STEM-inspiration for børn og unge,Danmark,2023,1000,Forskning og Læring    
475,Bjerringbro Gymnasium,BeScience naturvidenskabelig studieretning fase 2,Danmark,2023,439,Forskning og Læring    
476,Akademiet for de Tekniske Videnskaber,Guide til et resilient Danmark,Danmark,2023,4500,Forskning og Læring    
477,"Flere universiteter, Naturvidenskabernes Hus og WaterITech ApS",Lake Stewardship III,Danmark,2023,7150,Forskning og Læring    
478,"Aalborg Universitet, flere institutter",REPAI: Ansvarlig og værdiskabende AI,Danmark,2023,24000,Forskning og Læring    
479,DTU Construct,CRED: Center for klimarobust elektronikdesign,Danmark,2023,19444,Forskning og Læring    
480,ASTRA – det nationale naturfagscenter,ASTRA-aktiviteter 2024-25,Danmark,2023,7500,Forskning og Læring    
481,VIA University College,Digital World Water Camp 2024,Danmark,2023,297,Forskning og Læring    
482,Aarhus Maskinmesterskole,Akustiske forbedringer til Viborg Maskinmesterskole,Danmark,2023,127,Forskning og Læring    
483,Water Valley Denmark,Kortlægning af vandrelateret forskning i Danmark,Danmark,2023,750,Forskning og Læring    
484,Verdens Bedste Nyheder,Uddannelse for Bæredygtig Udvikling,Danmark,2023,250,Forskning og Læring
485,"Syddansk Universitet, Biologisk Institut ",rePair sedimentfjernelse ,Danmark,2023,2600,Forskning og Læring
486,DGI,Foreningsliv for alle vol. 2,Danmark,2023,2000,Inklusion og Samfundsengagement      
487,Hej Fonden,Kommunikationsstøtte,Danmark,2023,350,Inklusion og Samfundsengagement      
488,Røde Kors,Alle vores børn,Danmark,2023,1000,Inklusion og Samfundsengagement      
489,Røde Kors,Juledonation,Danmark,2023,1600,Inklusion og Samfundsengagement      
490,Mødrehjælpen,Juledonation,Danmark,2023,1600,Inklusion og Samfundsengagement      
491,Dansk Folkehjælp,Juledonation,Danmark,2023,500,Inklusion og Samfundsengagement      
492,Børnehjælpsdagen,Juledonation,Danmark,2023,300,Inklusion og Samfundsengagement      
493,Bjerringbro Byforum,MC Trial aktiviteter for unge i Bjerringbro,Danmark,2023,350,Inklusion og Samfundsengagement      
494,Eksportforeningen,Danish Export Academy,Danmark,2023,2000,Inklusion og Samfundsengagement      
495,Danmarks Idrætsforbund,Startblokken – Idrætten skaber livsbaner,Danmark,2023,26000,Inklusion og Samfundsengagement      
496,"Woodys Cafe, Bjerringbro ApS",Woodys by Grundfos: socialøkonomisk kaffebar,Danmark,2023,1655,Inklusion og Samfundsengagement      
497,Confit ApS,While we bleed: Fotobog om krigen i Ukraine,Danmark,2023,100,Inklusion og Samfundsengagement      
498,ZITE A/S,The soul of democracy: Bog for unge,Danmark,2023,70,Inklusion og Samfundsengagement      
499,Den Sociale Investeringsfond,Social effektinvestering i relationel velfærd,Danmark,2023,2595,Inklusion og Samfundsengagement      
500,FANT – For A New Tomorrow,Girls Saturday,Sierra Leone,2023,2000,Inklusion og Samfundsengagement      
501,Viborg Kommune,Åpromenaden i Bjerringbro,Danmark,2023,2000,Inklusion og Samfundsengagement      
502,"Aarhus Universitetshospital, Nerveskadeklinikken",Forskning i kroniske smerter efter kirurgi,Danmark,2023,2100,Inklusion og Samfundsengagement      
503,Foreningen for etablering af Hospice Viborg,Støtte til etablering af hospice i Viborg,Danmark,2023,1000,Inklusion og Samfundsengagement      
504,Energimuseet,Støtte til Energimuseet,Danmark,2023,1000,Inklusion og Samfundsengagement      
505,Frau Film,Scooter Boys: Dokumentarserie til DR Ultra,Danmark,2023,300,Inklusion og Samfundsengagement      
506,Den Sociale Retshjælps Fond,Social retshjælp til udsatte,Danmark,2023,1500,Inklusion og Samfundsengagement      
507,Jysk Landsbyudvikling,Water2Nepal – danske vandløsninger og interna- tionalt samarbejde,Nepal,2023,710,Vand og Bæredygtig Udvikling  
508,Den Internationale Røde Kors Komité,Nødhjælp efter jordskælv i Syrien/Tyrkiet,"Tyrkiet, Syrien",2023,1000,Vand og Bæredygtig Udvikling  
509,Dansk Flygtningehjælp,Nødhjælp efter jordskælv i Syrien/Tyrkiet,"Tyrkiet, Syrien",2023,1000,Vand og Bæredygtig Udvikling  
510,Røde Kors,Nødhjælp efter jordskælv i Syrien/Tyrkiet,"Tyrkiet, Syrien",2023,1000,Vand og Bæredygtig Udvikling  
511,PlanBørnefonden,Forskning og læring af tidligere vand- og sanitetsprojekter,Togo,2023,872,Vand og Bæredygtig Udvikling  
512,Ahbap,Nødhjælp efter jordskælv i Syrien/Tyrkiet,Tyrkiet,2023,1000,Vand og Bæredygtig Udvikling  
