,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
1575,"År
2020",Marc Schade-Poulsen,"Beløb
DKK 64,315",The History of the Tunisian Human Rights Movement: A case study of Arab Human Rights Activism,"Institution
Roskilde University",1576,Research Infrastructure
1576,"År
2020",Jan Johannes Enghild,"Beløb
DKK 750,000",Physiological amino acid analyzer for protein and peptide quantification.,"Institution
Aarhus University",1577,Research Infrastructure
1577,"År
2020",Jeanet Sinding Bentzen,"Beløb
DKK 300,000",Determining the Impact of Religion on the Gender Gap and Conflict Using Natural Experiments,"Institution
University of Copenhagen",1578,Research Infrastructure
1578,"År
2020",Anders Lund,"Beløb
DKK 1,500,000",Deep resolution in cellular heterogeneity,"Institution
University of Copenhagen",1579,Research Infrastructure
1579,"År
2020",Martin Pessah,"Beløb
DKK 380,000",Green Computing: Accelerating Numerical Simulations from Stardust to Planets,"Institution
University of Copenhagen",1580,Research Infrastructure
1580,"År
2020",Liora Sion,"Beløb
DKK 67,252",Between Ramallah and Tel Aviv UN Agencies Involvement in the Israeli-Palestine Conflict,"Institution
University of Copenhagen",1581,Research Infrastructure
1581,"År
2020",Birgitte Regenberg,"Beløb
DKK 228,812",Infrastructure for Circular DNA Genomics and Microbiome Studies,"Institution
University of Copenhagen",1582,Research Infrastructure
1582,"År
2020",Jan Arlt,"Beløb
DKK 350,000",Quantum limit of measurements with Bose-Einstein condensates,"Institution
Aarhus University",1583,Research Infrastructure
1583,"År
2020",David E. Gloriam,"Beløb
DKK 480,000",Elucidation of GPCR-G protein selectivity by cryo-electron microscopy,"Institution
University of Copenhagen",1584,Research Infrastructure
1584,"År
2020",Ditlev Egeskov Brodersen,"Beløb
DKK 500,000",Understanding the metabolic role of pppGpp in controlling bacterial pathogenesis,"Institution
Aarhus University",1585,Research Infrastructure
1585,"År
2020",Fane Groes,"Beløb
DKK 556,313",Labor Market Sorting: Identification and Implications,"Institution
Copenhagen Business School",1586,Research Infrastructure
1586,"År
2020",Jørgen Skibsted,"Beløb
DKK 600,000",Lav-gamma faststof NMR probe til ultra-højfelts NMR spektrometer,"Institution
Aarhus University",1587,Research Infrastructure
1587,"År
2020",Anne Folke Henningsen,"Beløb
DKK 124,155",Musealizing the sounds of the world. Collections and exhibitions of ethnographic sound at the Danish National Museum,"Institution
University of Copenhagen",1588,Research Infrastructure
1588,"År
2020",Isabel Casas,"Beløb
DKK 129,989","Financial assessment of electricity trading from Mutriku, a successful wave power plant","Institution
University of Southern Denmark",1589,Research Infrastructure
1589,"År
2020",Claus Oxvig,"Beløb
DKK 250,000",Structural analysis of a novel protein complex important in growth factor activity regulation.,"Institution
Aarhus University",1590,Research Infrastructure
1590,"År
2020",Per Hägglund,"Beløb
DKK 200,000",A mass spectrometry toolbox for top-down analysis of oxidative protein modifications,"Institution
University of Copenhagen",1591,Research Infrastructure
1591,"År
2020",Kirstine Calloe,"Beløb
DKK 419,018",The effect of Purkinje fiber distribution on the electrical axis of the heart in large animals,"Institution
University of Copenhagen",1592,Research Infrastructure
1592,"År
2020",Heloisa Nunes Bordallo,"Beløb
DKK 1,840,000",Seeing is believing: 3D Chemical Imaging using Raman Microscopy,"Institution
University of Copenhagen",1593,Research Infrastructure
1593,"År
2020",Elodie Mandel-Briefer,"Beløb
DKK 73,200",Relationship between vocal communication and social networks: The case of the plains zebra Equus quagga,"Institution
University of Copenhagen",1594,Research Infrastructure
1594,"År
2020",Majken Caroline Looms Zibar,"Beløb
DKK 235,000",Gamma-ray spectroscopy for unique 100-m-scale estimation of the precipitation captured by the forest canopy,"Institution
University of Copenhagen",1595,Research Infrastructure
1595,"År
2020",Juliane Engelhardt,"Beløb
DKK 100,000",Field trip to Berlin and Halle,"Institution
University of Copenhagen",1596,Research Infrastructure
1596,"År
2020",Anders Garm,"Beløb
DKK 468,000",Light up to be eaten,"Institution
University of Copenhagen",1597,Research Infrastructure
1597,"År
2020",Mogens Christensen,"Beløb
DKK 1,300,000",Magnetic force microscopy revealing magnetism at the nanoscale,"Institution
Aarhus University",1598,Research Infrastructure
