;Year;Reciever;Grant size (DKK);Description;Region;Project Category;Project Subcategory
703;2023;fsb;"Støttet med
40.000 kr.";Multikulturel fest på Blågårdsplads, Nørrebro;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
704;2023;Danske Seniorer Brørup;"Støttet med
15.000 kr.";Udflugt til Horsens Stadsfængsel og Industrimuseet;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
705;2023;Brødeskov Idrætsforening;"Støttet med
20.000 kr.";Udvikling af fodtennisskole;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
706;2023;Musikforeningen Midland;"Støttet med
75.000 kr.";Midland Festival;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
707;2023;Lyngby-Taarbæk Kommune;"Støttet med
50.000 kr.";Faglitterær Festival for børn;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
708;2023;Irsk Jam i Svendborg;"Støttet med
10.000 kr.";Irsk jam i Svendborg;Region Syddanmark;LIV I DET LOKALE;Arrangementer
709;2023;Furesø Bold Akademi;"Støttet med
75.000 kr.";Opstart af fodboldklub med stor fokus på børn;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
710;2023;FDF Odder;"Støttet med
20.000 kr.";Sommerlejr for hele kredsen - de 17 verdensmål;Region Midtjylland;LIV I DET LOKALE;Arrangementer
711;2023;KFUM-Spejderne i Rækker Mølle;"Støttet med
15.000 kr.";Optimering af udenomsarealer;Region Midtjylland;LIV I DET LOKALE;Byggeri
712;2023;Næstved Kommune;"Støttet med
75.000 kr.";Ophold, kunst, leg og biodiversitet i Folkeparken;Region Sjælland;LIV I DET LOKALE;Mindre faciliteter
713;2023;Daily Fiction;"Støttet med
20.000 kr.";Realisering af natur- og kunstprojektet stedSANS i 4 byer;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
714;2023;Folkeskovens FrivilligLaug;"Støttet med
40.000 kr.";Snesere Sø - Svend Gønges Trampesti (Fase 1);Region Sjælland;LIV I DET LOKALE;Aktiviteter
715;2023;Hornbæk Idræt & Kultur Center;"Støttet med
15.000 kr.";Anlæggelse af flisebelægning.;Region Midtjylland;LIV I DET LOKALE;Mindre faciliteter
716;2023;Collaborative Association of Life Science Students;"Støttet med
10.000 kr.";Økologi, Bæredygtighed og fremtidens fødevarer;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
717;2023;Able Gospel Choir;"Støttet med
30.000 kr.";Lydudstyr;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
718;2023;Haderslev Dykkerklub;"Støttet med
15.000 kr.";Arrangement -Havbiolog S. Larsen ved Vikær Strand;Region Syddanmark;LIV I DET LOKALE;Arrangementer
719;2023;Skibsby Højene Idrætsforening;"Støttet med
30.000 kr.";Aktivitetsområde i Det Blå Frirum;Region Nordjylland;LIV I DET LOKALE;Grej og udstyr
720;2023;Landsbylauget for Smøl;"Støttet med
25.000 kr.";Det levende teglværk 2023;Region Syddanmark;LIV I DET LOKALE;Arrangementer
721;2023;Slagelse Festuge;"Støttet med
20.000 kr.";Slagelse Festuge;Region Sjælland;LIV I DET LOKALE;Arrangementer
722;2023;Kirkekoncerter i Odense;"Støttet med
25.000 kr.";Klassisk sommer i Odense 2023;Region Syddanmark;LIV I DET LOKALE;Honorar og løn
723;2023;Middelfart JazzFezztival;"Støttet med
25.000 kr.";Middfelfart Jazzfezztival 2023;Region Syddanmark;LIV I DET LOKALE;Arrangementer
724;2023;Foreningen for Fyrskib XVII;"Støttet med
30.000 kr.";Det er et projekt om at restaurere Fyrskib XVll;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
725;2023;Epilepsiforeningen Midtvestsjælland;"Støttet med
10.000 kr.";Aktiviteter for teenagere med epilepsi 2023;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
726;2023;Andelsforeningen Himmerlandsbyen;"Støttet med
27.500 kr.";Fælles forsamlingstelt ved skoven;Region Nordjylland;LIV I DET LOKALE;Mindre faciliteter
727;2023;Rohan FC;"Støttet med
6.979 kr.";Nyt udstyr til Rohan FC;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
728;2023;Aarhus Kommune;"Støttet med
75.000 kr.";Sejloplevelser for skoleelever. Udstyr til foreninger;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
729;2023;DGI Midtjylland;"Støttet med
15.000 kr.";Folkecykelløbet Søhøjlandet Rundt 2023;Region Midtjylland;LIV I DET LOKALE;Arrangementer
730;2023;Aalborg Ishockey Klub;"Støttet med
40.000 kr.";"""En aften med julegodter - for udsatte borgere""";Region Nordjylland;LIV I DET LOKALE;Aktiviteter
731;2023;Fuglsang Kunstmuseum;"Støttet med
20.000 kr.";Åbent Fuglsang;Region Sjælland;LIV I DET LOKALE;Aktiviteter
732;2023;Holbøl Foredrags & Idrætsforening;"Støttet med
15.000 kr.";3 aftener i 2023 hvor vi prioriterer det sønderjyske sprog;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
733;2023;Kværndrup Seniorklub;"Støttet med
10.000 kr.";Sommerudflugt;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
734;2023;Lemvigegnens Ungdomsforening;"Støttet med
40.000 kr.";Nye redskaber, nye muligheder;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
735;2023;Fjerritslev Borgerforening;"Støttet med
10.000 kr.";Støtte til Fjerritslev - Tour de Jammerbugt;Region Nordjylland;LIV I DET LOKALE;Arrangementer
736;2023;Troense Bådelaug;"Støttet med
40.000 kr.";Ny havnekran;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
737;2023;Rødding Egnskor;"Støttet med
10.000 kr.";Rødding Egnskors 75 års jubilæumskoncert.;Region Syddanmark;LIV I DET LOKALE;Arrangementer
738;2023;Billardklubben keglen Høng;"Støttet med
40.000 kr.";Nye medlemmer, herunder fokus på ungdom;Region Sjælland;LIV I DET LOKALE;Aktiviteter
739;2023;Rudme Festival;"Støttet med
40.000 kr.";Rudme Festival;Region Syddanmark;LIV I DET LOKALE;Arrangementer
740;2023;Brøndby Gymnastikforening;"Støttet med
15.000 kr.";BGF Walk 12. juni 2023;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
741;2023;Familieforeningen Skt Klemens;"Støttet med
12.706 kr.";Scary house ( Halloween);Region Syddanmark;LIV I DET LOKALE;Arrangementer
742;2023;Nr. Onsild Forsamlingshus;"Støttet med
20.000 kr.";Robotplæneklipper til Fællessplads;Region Nordjylland;LIV I DET LOKALE;Grej og udstyr
743;2023;West Coast Pride;"Støttet med
30.000 kr.";Esbjerg Pride x West Coast Pride;Region Syddanmark;LIV I DET LOKALE;Arrangementer
744;2023;Lem Hallen;"Støttet med
40.000 kr.";Udvidelse af motorikrum og renovering af cafeområde;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
745;2023;Horsens og Omegns Kaninavlerforening;"Støttet med
8.650 kr.";Trækvogn til transport af spring;Region Midtjylland;LIV I DET LOKALE;Materialer
746;2023;Sejerø Golfklub;"Støttet med
15.000 kr.";Sejerø Runden 2023;Region Sjælland;LIV I DET LOKALE;Aktiviteter
747;2023;Køge Kommune;"Støttet med
70.000 kr.";Jersie Mose - borgere ud i bynær, vild natur;Region Sjælland;LIV I DET LOKALE;Materialer
748;2023;Dover Gymnastik Forening;"Støttet med
100.000 kr.";Ny Multibane til Dover GF;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
749;2023;Kulturprinsen;"Støttet med
35.000 kr.";Spaces of Tomorrow: fremtidens byer og lokalsamfund;Region Midtjylland;LIV I DET LOKALE;Honorar og løn
750;2023;Hadsten Lystfiskeriforening;"Støttet med
15.000 kr.";Borde-Bænkesæt ved Lilleåen;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
751;2023;Østerskov Efterskole;"Støttet med
94.000 kr.";Sammen Leger Vi!;Region Nordjylland;LIV I DET LOKALE;Mindre faciliteter
752;2023;Den Selvejende Institution Løkken-Hallen;"Støttet med
15.000 kr.";Babysvømning i Løkken Idrætscenter;Region Nordjylland;LIV I DET LOKALE;Mindre faciliteter
753;2023;Ravns Hird;"Støttet med
15.000 kr.";Ravnens Marked 2023;Region Syddanmark;LIV I DET LOKALE;Mindre faciliteter
754;2023;Holstebro kommune;"Støttet med
19.300 kr.";Naturdage Holstebro;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
755;2023;Båring Gymnastikforening;"Støttet med
20.000 kr.";Hjælpemiddel til vedligeholdelse af padelbane;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
756;2023;Foreningen KFUM og K Spejdernes Venner;"Støttet med
30.000 kr.";Renovering af soverum i Spejderhytten Skringstrup;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
757;2023;Girl Power Organization;"Støttet med
20.000 kr.";Girl Power Leadership Academy;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
758;2023;Ad Libitum;"Støttet med
5.000 kr.";Besøg af kor samt åben kirkekoncert;Region Sjælland;LIV I DET LOKALE;Arrangementer
759;2023;Hornsyld Idrætsforening;"Støttet med
12.000 kr.";Hornsyld Byfestløb - Fællesskab i Bevægelse;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
760;2023;Brundby Borgerforening;"Støttet med
25.000 kr.";Bedre adgangsforhold til Vandtårnet i Brundby;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
761;2023;Middelfart kommune;"Støttet med
2.500 kr.";Cruyff;Region Syddanmark;LIV I DET LOKALE;Materialer
762;2023;Gjerrild og Omegns Borgerforening;"Støttet med
31.483 kr.";Lydanlæg til lokalrevyen;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
763;2023;Støtteforeningen for Glejbjerg Børne- og Skolecenter;"Støttet med
40.000 kr.";"Svævebane som skal ""bygge bro"" mellem børnehave og skole";Region Syddanmark;LIV I DET LOKALE;Mindre faciliteter
764;2023;Selvhjælp Randers;"Støttet med
45.000 kr.";Et nyt rum for kreative fællesskaber;Region Midtjylland;LIV I DET LOKALE;Mindre faciliteter
765;2023;Rullefabrikken;"Støttet med
18.400 kr.";Danish Roller Cup;Region Sjælland;LIV I DET LOKALE;Honorar og løn
766;2023;Virum Sorgenfri Tennis Klub;"Støttet med
50.000 kr.";Renovering minitennisanlæg og etablering af tilskuerforhold;Region Hovedstaden;LIV I DET LOKALE;Renovering og istandsættelse
767;2023;Mødrehjælpens lokalforening i Høje-Taastrup;"Støttet med
20.000 kr.";Udflugt;Region Sjælland;LIV I DET LOKALE;Aktiviteter
768;2023;Himlingøje Bylaug;"Støttet med
20.000 kr.";Bænk til gadekæret i Himlingøje;Region Sjælland;LIV I DET LOKALE;Grej og udstyr
769;2023;Stubbekøbing Strandjagtforening;"Støttet med
25.000 kr.";Fortøjringsbomme til Stubbekøbing Strandjagtforening;Region Sjælland;LIV I DET LOKALE;Byggeri
770;2023;Vemb Pensionistforening;"Støttet med
5.000 kr.";Juletur til Egeskov slot;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
771;2023;Bøgebjerg Idrætsforening;"Støttet med
50.000 kr.";Anlæg af Padelbane med tilhørende terrasse;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
772;2023;Billum Idrætsforening;"Støttet med
25.000 kr.";Opstart af Kajakklub;Region Syddanmark;LIV I DET LOKALE;Materialer
773;2023;Tørning Mølles Støttekreds;"Støttet med
9.050 kr.";Koncert med Mette Ingwersen;Region Syddanmark;LIV I DET LOKALE;Arrangementer
774;2023;Musik på Industrien;"Støttet med
10.000 kr.";Aarup Familie og Singer/songwriter festival;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
775;2023;Aarhus 1900 Triathlon;"Støttet med
30.000 kr.";Udstyr til udlån i ungdomsafdeling;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
776;2023;Baila el Tango - Argentinsk Tango på Fyn;"Støttet med
5.000 kr.";25-års jubilæum af Baila el Tango;Region Syddanmark;LIV I DET LOKALE;Arrangementer
777;2023;Rold Skov Gruppe;"Støttet med
5.000 kr.";Sommerlejr på Stenaldercenter Ertebølle;Region Nordjylland;LIV I DET LOKALE;Aktiviteter
778;2023;Museum Nordsjælland;"Støttet med
15.000 kr.";Hirschholm Festival 2023;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
779;2023;Ryslinge Høj- og Efterskole;"Støttet med
20.000 kr.";Ryslinge Kulturfestival;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
780;2023;Lemvig Golfklub;"Støttet med
10.000 kr.";"Projekt ""Golf gavner alle""";Region Midtjylland;LIV I DET LOKALE;Aktiviteter
781;2023;Høreforeningen København Lokalafdeling;"Støttet med
40.581 kr.";Indkøb af turguide-system til brug for hørehæmmede;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
782;2023;Gymnastikforeningen Præstø Fjord;"Støttet med
30.000 kr.";Gummibelægning på Træningsområde samt Træningsudstyr;Region Sjælland;LIV I DET LOKALE;Mindre faciliteter
783;2023;Ungdomsskoleforeningen;"Støttet med
165.000 kr.";Folkemøde for Fremtiden - Demokratiets unge stemme;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
784;2023;Odder Håndbold;"Støttet med
50.000 kr.";Beach Håndbold;Region Midtjylland;LIV I DET LOKALE;Mindre faciliteter
785;2023;Assens kommune;"Støttet med
10.000 kr.";Mere udeliv i SFO;Region Syddanmark;LIV I DET LOKALE;Materialer
786;2023;Faaborg-Midtfyn kommune;"Støttet med
12.000 kr.";Årslyd;Region Syddanmark;LIV I DET LOKALE;Arrangementer
787;2023;Medlemsforeningen Egå Forsamlingshus;"Støttet med
40.000 kr.";Fællesskab-Forankring-Forsamlingshus;Region Midtjylland;LIV I DET LOKALE;Materialer
788;2023;Jubilæumsforeningen Helsingør Bybevaring;"Støttet med
35.000 kr.";50års Jubilæumsprojekt Helsingør Bybevaring 2023;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
789;2023;Kom I Gang;"Støttet med
15.000 kr.";Bedre forhold for vores ældre medlemmer;Region Hovedstaden;LIV I DET LOKALE;Materialer
790;2023;Mejdal-Halgård Motion;"Støttet med
50.000 kr.";Aktivitetsplads ved Mejdal Halgård Sportscenter;Region Midtjylland;LIV I DET LOKALE;Mindre faciliteter
791;2023;Idrætsforeningen Bjørn Nørholm;"Støttet med
40.000 kr.";Energirenovering af klubhus;Region Nordjylland;LIV I DET LOKALE;Renovering og istandsættelse
792;2023;Alabu Bolig;"Støttet med
10.000 kr.";Liv og fællesskab på Torvet;Region Nordjylland;LIV I DET LOKALE;Arrangementer
793;2023;Haderslev Sejl-Club;"Støttet med
30.000 kr.";Vind I Sejlene;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
794;2023;Ruds-Vedby Borgspil;"Støttet med
30.000 kr.";1915-Lykke for Land og Folk;Region Sjælland;LIV I DET LOKALE;Materialer
795;2023;BROEN Lolland;"Støttet med
50.000 kr.";En aktiv fritid for udsatte børn og unge;Region Sjælland;LIV I DET LOKALE;Aktiviteter
796;2023;St.Lyngby If 24. kreds;"Støttet med
5.000 kr.";Lokaldysten 2023;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
797;2023;Dall Villaby Støtteforening;"Støttet med
5.000 kr.";Nyanskaffelser til byfesten;Region Nordjylland;LIV I DET LOKALE;Materialer
798;2023;Hyllested Forsamlingshus;"Støttet med
50.000 kr.";Reetablering af forsamlingshus efter brand;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
799;2023;Foreningen Sydkystens Gym;"Støttet med
10.000 kr.";Kompetenceudvikling;Region Sjælland;LIV I DET LOKALE;PR og kommunikation
800;2023;BG 75 Græsted Billard;"Støttet med
25.000 kr.";Ind i varmen med billarddisciplinen Skomar';Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
801;2023;Ajstrup bio og energilaug;"Støttet med
20.000 kr.";Nabodrevet biodiversitet.;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
802;2023;Borger 9700;"Støttet med
20.000 kr.";Det gode liv i lokalområdet;Region Nordjylland;LIV I DET LOKALE;Arrangementer
803;2023;Aros Historical Fencing Guild;"Støttet med
15.000 kr.";Køb af klubudstyr til fastholdelse af medlemmer;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
804;2023;Mødrehjælpens lokalforening i Roskilde;"Støttet med
25.000 kr.";Sommerlejr 26.-29. juni 2023, Rødvig Feriecenter;Region Sjælland;LIV I DET LOKALE;Aktiviteter
805;2023;FDF Lemvig;"Støttet med
5.000 kr.";Ude-banko på Lemvig havn;Region Midtjylland;LIV I DET LOKALE;Arrangementer
806;2023;Frivilligcenter Halsnæs;"Støttet med
10.000 kr.";Kvinder - Fri af Vold;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
807;2023;Åskov Golfklub;"Støttet med
15.000 kr.";Bygningsrenovering ved træningsanlæg;Region Midtjylland;LIV I DET LOKALE;Materialer
808;2023;Slagelse Linedance;"Støttet med
5.000 kr.";Teknikkursus med verdensmester Niels Poulsen;Region Sjælland;LIV I DET LOKALE;Aktiviteter
809;2023;Øster Brønderslev Idrætsforening;"Støttet med
30.000 kr.";Multidiscgolfbane;Region Nordjylland;LIV I DET LOKALE;Aktiviteter
810;2023;DDS Spejder Tim;"Støttet med
10.000 kr.";Ny belysning ude og inde;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
811;2023;Børnekulturstedet Karens Minde;"Støttet med
15.000 kr.";Børnekulturfestivalen Kultur for en tudse;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
812;2023;Sejlskibs- og Pakhusforeningen Rudkøbing;"Støttet med
50.000 kr.";Renovering af gammelt pakhus på Rudkøbing Havn.;Region Syddanmark;LIV I DET LOKALE;Renovering og istandsættelse
813;2023;Nørremarkskirkens Menighedspleje;"Støttet med
20.000 kr.";Jul I Fællesskab 2023;Region Syddanmark;LIV I DET LOKALE;Arrangementer
814;2023;Kgs. Lyngby Gruppe DDS;"Støttet med
32.500 kr.";Nye shelters på fredet grund i Farum;Region Hovedstaden;LIV I DET LOKALE;Byggeri
815;2023;Tirstrup-Balle IF;"Støttet med
20.000 kr.";Lokaldysten;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
816;2023;Hawboernes forening;"Støttet med
20.000 kr.";PR-materiale ifm. certificering DARK SKY PARK BULBJERG;Region Nordjylland;LIV I DET LOKALE;PR og kommunikation
817;2023;Kirkens Korshær;"Støttet med
20.000 kr.";Sommerlejr for hjemløse mennesker i København;Region Sjælland;LIV I DET LOKALE;Aktiviteter
818;2023;Faaborg Roklub;"Støttet med
15.000 kr.";Havkajakker til Faaborg roklub;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
819;2023;Støtteforeningen Nordstjernens Venner;"Støttet med
5.000 kr.";Genstart af Nordstjernens Venner;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
820;2023;Cykelklubben Viking;"Støttet med
100.000 kr.";Frederikssund Bikepark;Region Hovedstaden;LIV I DET LOKALE;Byggeri
821;2023;Dansk Beatbox Forening;"Støttet med
15.000 kr.";DM i Beatbox 2023;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
822;2023;ShireCon;"Støttet med
21.123 kr.";Projektor og konsol til ShireCon;Region Midtjylland;LIV I DET LOKALE;Materialer
823;2023;Gørløse Skytte & Idrætsforening;"Støttet med
10.000 kr.";Lokaldysten 2023;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
824;2023;Nordfyns Ungdomscenter til unge med særlige behov;"Støttet med
31.000 kr.";Projekt shelterplads;Region Syddanmark;LIV I DET LOKALE;Byggeri
825;2023;Rigtige Mænd;"Støttet med
10.000 kr.";Større arbejdsglæde med bedre drejeværktøj.;Region Midtjylland;LIV I DET LOKALE;Materialer
826;2023;Swingtime Bigband;"Støttet med
21.000 kr.";Jazzliv i det lokale Aalborg;Region Nordjylland;LIV I DET LOKALE;Arrangementer
827;2023;Børkop Billard Klub;"Støttet med
25.000 kr.";Nødvendig udskiftning af 2 billardborde til keglebillard;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
828;2023;FDF Odense 4. Kreds;"Støttet med
75.000 kr.";Renovering af Spejderhytte;Region Syddanmark;LIV I DET LOKALE;Byggeri
829;2023;Skovsgaard Motionscenter;"Støttet med
10.000 kr.";#WeNeedYourHelp;Region Nordjylland;LIV I DET LOKALE;Grej og udstyr
830;2023;Sebber Borgerforening;"Støttet med
10.700 kr.";Musik i Fjordlandet;Region Nordjylland;LIV I DET LOKALE;Arrangementer
831;2023;Rethingh-Gruppen;"Støttet med
15.000 kr.";Renovering af udhæng og hytte;Region Syddanmark;LIV I DET LOKALE;Renovering og istandsættelse
832;2023;B75;"Støttet med
10.000 kr.";Skolemesterskab i bordtennis i Hjørring Kommune;Region Nordjylland;LIV I DET LOKALE;Arrangementer
833;2023;Støtteforeningen for RIK og HRH-74;"Støttet med
20.000 kr.";Aktiviteter til Roslev Byfest;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
834;2023;Seniordans, Nykøbing F. Sydfalster;"Støttet med
5.000 kr.";Fælles udflugt for dansegrupper.;Region Sjælland;LIV I DET LOKALE;Aktiviteter
835;2023;AB-Sprotoften;"Støttet med
20.000 kr.";Krea- og systue;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
836;2023;Den Selvejende privatinstitution Børnehuset;"Støttet med
35.995 kr.";Køb af elladcykler med tilbehør til Børnehuset;Region Sjælland;LIV I DET LOKALE;Transport
837;2023;Efterskoleforeningen;"Støttet med
74.000 kr.";Ungdomshøjen 2023 og 2024;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
838;2023;Fribørnehaven Skjoldborg;"Støttet med
15.000 kr.";El-ladcykel;Region Nordjylland;LIV I DET LOKALE;Aktiviteter
839;2023;Kulturforeningen Aarhus Volume;"Støttet med
100.000 kr.";BETA Festival 2023;Region Midtjylland;LIV I DET LOKALE;Arrangementer
840;2023;Tim og Omegns Seniorklub;"Støttet med
5.000 kr.";Udflugt til Limfjordsøen Fur;Region Midtjylland;LIV I DET LOKALE;Transport
841;2023;Trekantområdet Danmark;"Støttet med
75.000 kr.";Natureventyr;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
842;2023;Vejle Kommune;"Støttet med
50.000 kr.";Renovering offentligt tilgængelig legeplads;Region Syddanmark;LIV I DET LOKALE;Renovering og istandsættelse
843;2023;DcH Harlev Afd.;"Støttet med
40.000 kr.";Klubhus og materialeskur;Region Midtjylland;LIV I DET LOKALE;Byggeri
844;2023;Parasport Frederiksberg;"Støttet med
50.000 kr.";Idrætsundervisning med plads til alle;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
845;2023;Boldklubben Amalie;"Støttet med
15.000 kr.";Fællespisning i BK Amalie;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
846;2023;Svovlstikkerne;"Støttet med
10.000 kr.";"Foredraget ""Verdens 100 farligste dyr."" med Sebastian Klein";Region Sjælland;LIV I DET LOKALE;Arrangementer
847;2023;Højvangens Idrætsforening - Skanderborg MTB;"Støttet med
200.000 kr.";MTB Teknikbane og børnespor;Region Midtjylland;LIV I DET LOKALE;Mindre faciliteter
848;2023;FDF Hasle - Rutsker;"Støttet med
15.000 kr.";Ny plænetraktor;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
849;2023;WAT;"Støttet med
10.000 kr.";Girls on Trails 2023;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
850;2023;Glumsø Biografteater & Kulturhus;"Støttet med
50.000 kr.";Udskiftning af varmeanlæg;Region Sjælland;LIV I DET LOKALE;Renovering og istandsættelse
851;2023;Foreningen Grøn Guide i Allerød;"Støttet med
30.000 kr.";Klimamadfestival i Allerød;Region Hovedstaden;LIV I DET LOKALE;Honorar og løn
852;2023;Omsorgsklubben OK Odense;"Støttet med
20.000 kr.";Indkøb af Højskolesangbogen med stor skrift;Region Syddanmark;LIV I DET LOKALE;Arrangementer
853;2023;DDS 1. Birkerød gruppe;"Støttet med
50.000 kr.";Klatretårn på spejdergrund;Region Hovedstaden;LIV I DET LOKALE;Byggeri
854;2023;Andelsboligforeningen Hørsholm Kokkedal;"Støttet med
40.000 kr.";Live i Kokkedal / Hørsholm - En mini beboer festival;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
855;2023;"Foreningen ""De Splittergale""";"Støttet med
10.000 kr.";De Splittergales hyldest til Tunø;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
856;2023;Crossroad Gospel;"Støttet med
10.000 kr.";Medlemstilgang og opdatering af udstyr;Region Hovedstaden;LIV I DET LOKALE;PR og kommunikation
857;2023;Langebæk Borgerforening;"Støttet med
40.000 kr.";Nyt tag på ungdomshjemmet;Region Sjælland;LIV I DET LOKALE;Renovering og istandsættelse
858;2023;cph4water;"Støttet med
20.000 kr.";cph4water festival 2023;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
859;2023;Skovlundespejderne;"Støttet med
50.000 kr.";Opførelse af fleksibel bålhytte;Region Hovedstaden;LIV I DET LOKALE;Byggeri
860;2023;Holte-Hus Efterskole;"Støttet med
20.000 kr.";Stærkere fællesskab via aktiviteter i naturen;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
861;2023;Haderslev BMX Klub;"Støttet med
35.000 kr.";Start og mål område på Haderslev BMX bane;Region Syddanmark;LIV I DET LOKALE;Renovering og istandsættelse
862;2023;Fonden FABRIKKEN for Kunst og Design;"Støttet med
20.000 kr.";Åbent Hus 2023 gruppeudstilling på FABRIKKEN;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
863;2023;Bjerregrav Friskole;"Støttet med
50.000 kr.";Nyt uderum til nybygget børnehus;Region Nordjylland;LIV I DET LOKALE;Materialer
864;2023;Sødring Forsamlingshus;"Støttet med
50.000 kr.";Energioptimering af stor sal;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
865;2023;Skørring Forsamlingshus;"Støttet med
25.000 kr.";Fester er også for børn;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
866;2023;Holte Rideklub;"Støttet med
20.000 kr.";Hjælp til optimering af Holte Rideklubs cafe;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
867;2023;Hodsager & Omegns Borgerforening;"Støttet med
75.000 kr.";Udendørs Fællesskab i Hodsager og Omegn;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
868;2023;Hou & Omegns Idrætsforening;"Støttet med
95.000 kr.";Padeltennis for alle;Region Midtjylland;LIV I DET LOKALE;Byggeri
869;2023;Frederikshavn Forenede Idrætsklubber;"Støttet med
20.000 kr.";Klublokale;Region Nordjylland;LIV I DET LOKALE;Materialer
870;2023;Røsnæs Udvikling & Beboerforening;"Støttet med
50.000 kr.";Nye vinger på Ulstrup Mølle i aktiv drift;Region Sjælland;LIV I DET LOKALE;Renovering og istandsættelse
871;2023;Lemvig Sejlklub;"Støttet med
100.000 kr.";Sikkerhedsbåde;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
872;2023;De grønne pigespejdere;"Støttet med
100.000 kr.";Etablering af solceller på Spejderbakken;Region Syddanmark;LIV I DET LOKALE;Byggeri
873;2023;Allerup gamle Have;"Støttet med
22.000 kr.";Nye stole til foreningens telt;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
874;2023;Brejning Båd Klub;"Støttet med
30.000 kr.";Trailer til transport af udstyr;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
875;2023;Bylderup-Bov Rideklub;"Støttet med
20.000 kr.";Ny elevpony til Bylderup Bov rideklub;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
876;2023;København BMX Klub;"Støttet med
25.000 kr.";Rekruttering og fastholdelse i BMX sporten;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
