;Year;Reciever;Grant size (DKK);Description;Region;Project Category;Project Subcategory
33;2022;Horsens Kommune;"Støttet med
100.000 kr.";Biodiversitet og udeliv i SFO Gedved;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
34;2022;Odense Friskole;"Støttet med
305.685 kr.";Ud i naturen med klub og SFO;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
35;2022;Mariagerfjord Kommune;"Støttet med
450.000 kr.";Aktivt udeliv;Region Nordjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
36;2022;Køge Kommune;"Støttet med
123.438 kr.";Renovering af udendørs boldbane;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
37;2022;Tårnby Kommune;"Støttet med
193.810 kr.";Udeliv for unge;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
38;2022;Favrskov Kommune;"Støttet med
350.000 kr.";Den undersøgende, eksperimenterende og aktive ude-SFO;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
39;2022;S/I Sindal Privatskole;"Støttet med
543.644 kr.";Glæden ved at lære udenfor;Region Nordjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
40;2022;Hedensted Kommune;"Støttet med
215.000 kr.";Udeaktiviteter i SFO'en;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
41;2022;Dragør Kommune;"Støttet med
1.000.000 kr.";Klub Elisenborg - mere udeliv i et børneperspektiv;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
42;2022;Herning Kommune;"Støttet med
125.134 kr.";Mere udeliv i Skalmejeskolens SFO;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
43;2022;International School Ikast-Brande;"Støttet med
700.000 kr.";Den Danske Vej;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
44;2022;Sorø Kommune;"Støttet med
350.250 kr.";Mere udeliv i SFO og klub på Sorø Borgerskole;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
45;2022;Vejle Kommune;"Støttet med
196.136 kr.";Udeliv på Thyregod Skole SFO og klub;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
46;2022;Nordfyns Kommune;"Støttet med
113.563 kr.";Mere udeliv i Søndersø Skolens SFO og klub;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
47;2022;Aalborg kommune;"Støttet med
183.689 kr.";Legeborg til SFO- og klubbørn i Hou;Region Nordjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
48;2022;Glostrup Kommune;"Støttet med
440.000 kr.";Bevægelsesfremmende udeliv i SFO og Klub Vestervang;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
49;2022;Holstebro Friskole;"Støttet med
400.000 kr.";Læringshus;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
50;2022;Halsnæs Kommune;"Støttet med
500.000 kr.";Måltid og mødested;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
51;2022;Københavns Kommune;"Støttet med
200.000 kr.";Udetid for alle - Udeværksteder på HSF;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
52;2022;Odense Kommune;"Støttet med
800.000 kr.";Varieret udeliv i fællesskaber for øget trivsel;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
53;2022;Vordingborg Kommune;"Støttet med
150.000 kr.";Det bedste udeliv i Skoleklub Stege;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
54;2022;Odsherred Kommune;"Støttet med
102.050 kr.";Geo-engen - et udeområde i Egebjerg SFO;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
55;2022;Ringsted Kommune;"Støttet med
275.000 kr.";Flere børn og voksne ude;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
56;2022;Skanderborg Kommune;"Støttet med
1.000.000 kr.";Fra udeliv i Mosen til udelæringsrum i Hørning;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
57;2022;Jammerbugt Kommune;"Støttet med
1.000.000 kr.";Læring i bevægelse – bevægelse i læring;Region Nordjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
58;2022;Nr. Asmindrup Friskole;"Støttet med
321.750 kr.";Udelæringsrum og muldtoilet til SFO og klub;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
59;2022;Lyngby Friskole;"Støttet med
800.000 kr.";SFO-børn vælger sjovere og grønnere legeområder;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
60;2022;Assens Kommune;"Støttet med
445.000 kr.";Peter Willemoeskolen på Eventyrstien;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
61;2022;Halsnæs Kommune;"Støttet med
100.000 kr.";MOVE: Muligheder, Overskud, Venskaber og Energi på tværs af fem SFO'er;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
62;2022;Fredensborg Kommune;"Støttet med
206.250 kr.";Det Grønne Hjerterum;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
63;2022;Rudersdal Kommune;"Støttet med
202.555 kr.";Udeområde Nærum SFO;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
64;2022;Lolland Kommune;"Støttet med
229.320 kr.";Stor multihytte;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
65;2022;Middelfart Kommune;"Støttet med
1.000.000 kr.";Lærende udeliv Vestre Skole;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
66;2022;Aarhus Kommune;"Støttet med
830.000 kr.";Inviterende, inspirerende og bæredygtige uderum;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
67;2022;Odense Kommune;"Støttet med
500.000 kr.";Bæredygtig leg og læring i et varieret udemiljø;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
68;2022;Mejls-Orten-Tinghøj Friskole og Naturbørnehave;"Støttet med
422.630 kr.";Mere udeliv i SFO;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
69;2022;Københavns Kommune;"Støttet med
150.000 kr.";Jorden er giftig for store SFO-børn;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
70;2022;Syddjurs Kommune;"Støttet med
453.000 kr.";Udeliv og leg i Kolind SFO;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
71;2022;Skanderborg Kommune;"Støttet med
410.000 kr.";Det grønne rum;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
72;2022;Langsø Friskole;"Støttet med
299.430 kr.";Samarbejde, trivsel og bæredygtighed i en landsby-SFO;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
73;2022;Silkeborg Kommune;"Støttet med
127.000 kr.";MTB-spor som led i cykelstrategi i Gjern SFO og klub;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
74;2023;Søllested Forsamlingshus;"Støttet med
38.100 kr.";Udskiftning af 29 år gammel kølevæg - energioptimering;Region Syddanmark;LIV I DET LOKALE;Mindre faciliteter
75;2023;DokoCon;"Støttet med
20.000 kr.";DokoCon 2023;Region Midtjylland;LIV I DET LOKALE;Arrangementer
76;2023;Billum Sogneforening;"Støttet med
34.995 kr.";Billum Fricykler;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
77;2023;Frederikshavn Tennisklub;"Støttet med
20.000 kr.";Renovering af klubhus;Region Nordjylland;LIV I DET LOKALE;Renovering og istandsættelse
78;2023;Mariagerfjord kommune;"Støttet med
21.500 kr.";Fokus på mere grønt med tilbud til lokalområdet;Region Nordjylland;LIV I DET LOKALE;Materialer
79;2023;Foreningen Tvis Mølle Have;"Støttet med
60.000 kr.";Overdækket formidlings- og forsamlingsrum;Region Midtjylland;LIV I DET LOKALE;Byggeri
80;2023;Børnehaven Ringgården;"Støttet med
15.625 kr.";Shelter i Børnehaven Ringgården;Region Syddanmark;LIV I DET LOKALE;Materialer
81;2023;Oasen;"Støttet med
25.000 kr.";Multibane i Ørum;Region Nordjylland;LIV I DET LOKALE;Grej og udstyr
82;2023;Fjellerup Beboerforening;"Støttet med
40.000 kr.";Fjellerup Fælled - hele byens have, 1. skridt;Region Syddanmark;LIV I DET LOKALE;Mindre faciliteter
83;2023;Hertugbyens Ridecenter;"Støttet med
25.000 kr.";Flere elevponyer/heste til Hertugbyens Ridecenter;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
84;2023;Sportsrideklubben Mariagerfjord;"Støttet med
5.000 kr.";Ride- og balancemæssige færdigheder;Region Nordjylland;LIV I DET LOKALE;Aktiviteter
85;2023;Hunderup-Sejstrup Lokalråd;"Støttet med
50.000 kr.";Stier i Hollænderskoven;Region Syddanmark;LIV I DET LOKALE;Materialer
