,Title,Grant size (DKK),Receiver,Project_category,Project_subcategory
0,Skæreprinter (2024),96501,Svendborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
1,"Ansøgning om lasercutter fra børn, unge og science: GRO-puljen (2024)",70000,Odense Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
2,Brug af virtual reality og digital simulering i naturfagsundervisningen (2024),31168,Albertslund Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
3,Teknologi og affald (2024),40575,Københavns Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
4,"Havet, verdens lunger (2024)",99275,Greve Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
5,Formning af Unge Sind: Muliggør innovation gennem et Makerlab (2024),73975,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
6,Makerspace og billedkunst (2024),40580,Holstebro Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
7,Grøn omstilling - et minisamfund i øjenhøjde (2024),85000,Thisted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
8,IDEudviklingiKREA (2024),42290,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
9,"RoboRecycler, en vej til Lego League (2024)",61950,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
10,Teknologien skaber viden om naturen (2024),80913,Aalborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
11,Grøn energi - Power-To-X (2024),44325,Vordingborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
12,Mordet på skolelederen - Specialstyrkerne indsættes (2024),43885,Køge Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
13,STEAM Makers Space på Hørsholm Lille Skole (2024),100000,Hørsholm Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
14,Den nære natur (på skolens område) (2024),99525,Jammerbugt Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
15,Bæredygtigt emballage-design (2024),45000,Ringkøbing-Skjern Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
16,Det 21. århundredes kompetencer og Lego Spike Education (2024),45000,Thisted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
17,Undervisning i virkeligheden - undulater på Svartingedal Skole (2024),70669,Bornholms Regionskommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
18,Villum Mobility - Family Support (2024),1000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
19,Copenhagen Light Festival 2024 - Kunstnerisk markering af tidens store temaer (2024),300000,Foreningen Københavns Lysfestival,Kultur og samfund,Andre projekter
20,Etablering af glasparti på Thorvaldsens Museum (2024),726035,Københavns Kommune,Kultur og samfund,Andre projekter
21,"Nye vinduer til ""Vilde Liv"" (2024)",25000,De Unges Hus,Kultur og samfund,Andre projekter
22,Children's Living Places (2024),25000000,SOS Børnebyerne,Kultur og samfund,Andre projekter
23,Karrusellen - ansøgning om en tillægsbevilling til projekt nr. 37259) (2024),846209,Morsø Kommune,Kultur og samfund,Dagslys og frisk luft
24,Reetablering af en ødelagt et år gammel udendørs multibane (2024),100000,Motion i Dagtimerne,Kultur og samfund,Dagslys og frisk luft
25,Supplerende støtte til foyer- og forpladsprojekt - Den Frie Udstillingsbygning (2024),1100000,Den Frie Udstilling,Kultur og samfund,Andre projekter
26,"Kaiser Wilhelm Memorial Church, Berlin (2024)",21000000,Deutsche Stiftung Denkmalschutz,Kultur og samfund,Andre projekter
27,Fantastiske Asien i Odense Zoo (2024),2000000,Odense Zoo,Kultur og samfund,Andre projekter
28,Programmerings-forståelse (2024),26190,Rasmus Rask Skolen,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
29,Undersøgelser og observationer af dyre- og planteliv (2024),33065,Dybbøl-Skolen,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
30,Forsøg med planter i det udendørs plantelaboratorium (2024),57537,Allerød Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
31,Stråling og livets udvikling (2024),79045,Frederikshavn Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
32,Projekt Fremtiden (2024),30294,Lejre Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
33,Vejr og Klima (2024),67977,Jammerbugt Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
34,"Kroppen, Teknologiforståelse og Vedvarende energi (2024)",36976,Silkeborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
35,Stråling og radioaktivitet (2024),45492,Aalborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
36,Lego Education Spike Prime-sæt (2024),36400,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
37,"Engineeringsforløb om ""skadedyr"" i skolehaven. (2024)",62833,Varde Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
38,Robotbyggeri (2024),60626,Thisted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
39,Livet i vand (2024),35008,Favrskov Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
40,Teknologiens betydning for menneskers sundhed og levevilkår (2024),95558,Amager Lilleskole,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
41,"Teknologiforståelse, fra virkelighed til model og tilbage igen (2024)",50955,Thisted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
42,Science Hub Denmark (2024),5000000,Copenhagen Capacity,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
43,Fra ildsjæl til team - Tillægsbevilling (2024),190500,Randers Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
44,Lige deltagelsesmuligheder i naturfagene - set i et identitetsudviklingsperspektiv (2024),1900000,VIA University College,"Børn, unge og science",Diversitet i didaktik og uddannelse
45,Robot Hockey (2024),42554,Ringkøbing Skole,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
46,Kan vi finde og tydeliggøre skolens biodiversitet (2024),41097,Skovvangskolen,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
47,"Legoværksted til Engineering, hvor der bygges modeller til en fremtidig skolegård (2024)",35560,Hvidovre Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
48,Dokumentarfilm i naturfagene (2024),39100,Københavns Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
49,Bæredygtig energi (2024),45959,Nordfyns Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
50,Projekt: Dyrk (2024),45000,Lejre Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
51,Hvad finder vi i kanalen? (2024),27501,Københavns Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
52,Vedvarende energi (2024),31137,Jammerbugt Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
53,"Lyde og bevægelse i naturen, året rundt (2024)",41900,Køge Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
54,På jagt efter kræftgenet (2024),70033,Aalborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
55,Moderne energiproduktion (2024),82580,Aalborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
56,Verdens naturkatastrofer (2024),53715,Aalborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
57,Fællesskabende didaktik i naturfag hos børn med særlige behov (2024),58000,Tuse Skole,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
58,Marketing og Making (2024),54169,Silkeborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
59,Styrket programmeringskultur i folkeskolen (2024),59200,Roskilde Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
60,Inspirerende STEM undervisning (2024),60822,Thisted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
61,Teknologi og teknologiforståelse i folkeskolen (2024),92400,Skive Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
62,Bæredygtig energiforsyning på lokalt og globalt plan (2024),64004,Klokkerholm Skole,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
63,Teknologiforståelse (2024),83405,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
64,Rammebevilling til Mobilitetsfonden 2024 (2024),1500000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
65,Villum Mobility Family Support Package for Villum International Postdoc Maria Scheel (2024),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
66,Villum Mobility: Personality and Emotion-Aware Computing for Human-Centered AI (project no. 59826) (2024),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
67,KR Foundation 2024 - tillæg (2024),50000000,KR Foundation,Miljø og klima,Miljø og klima
68,Færøernes Kunstmuseum (2024),300000,Færøernes Nationalgalleri - Listasavn Føroya,Kultur og samfund,Andre projekter
69,Nye skove - nye værdier - nye steder (2024),3800000,Københavns Universitet,Kultur og samfund,Andre projekter
70,Fortsættelse af DTU GreenLab Skive Forskningsplatform (2024),25000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
71,Kivitsisa forankringsprogram (2024),3800000,"Kivitsisa, Et løft af den grønlandske folkeskole","Børn, unge og science",Teknologi og praktisk faglighed
72,Mod til at bruge dine hænder og din forstand (2024),3100000,Snitfladen,"Børn, unge og science",Teknologi og praktisk faglighed
73,Design og fremstilling af mobile væksthuse (2024),85000,Fredericia Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
74,"Undersøgende arbejde i biologi, geografi og fysik/kemi (2024)",41884,Brønderslev Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
75,Plastik i Verden: Fra Problem til Løsning (2024),30607,Ringkøbing-Skjern Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
76,Livet med fjorden (2024),99868,Morsø Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
77,"Energi, elektriske kredsløb og Verdens ressourcer (2024)",37731,Holstebro Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
78,Teknologiforståelse (2024),27184,Holstebro Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
79,Naturdannelse på 2. årgang (2024),25500,Halsnæs Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
80,Kroppen - Anatomi - Modellering (2024),36508,Nordfyns Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
81,Byg et hus (2024),27917,Aabenraa Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
82,Hvilke smådyr og planter lever i vores mose og sø tæt på skolen? (2024),27822,Lillevangskole,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
83,"Daylight Award, Research, 2024: Till Roenneberg (2024)",0,Individuals,Villum Fonden,Villum Fonden
84,"Daylight Award, Architecture, 2024: Alberto Campo Baeza (2024)",450000,Individuals,Villum Fonden,Villum Fonden
85,Udeskolen - Skoven og søerne i Silkeborg (2024),60000,Silkeborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
86,Orangeri/udeskole-rum (2024),27000,Vesthimmerland Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
87,Den første programmering (2024),25000,Fredericia Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
88,Magnetismens vidunderlige verden (2024),65224,Hvidovre Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
89,Mikroplast i Lillebælt (2024),37748,Fredericia Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
90,"Sø, å og mose - Naturen omkring os (2024)",90708,Silkeborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
91,First Lego League junior (2024),30200,Ringsted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
92,Vi skal på safari - 1. og 2. klasse (2024),30695,Ringkøbing-Skjern Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
93,Byens Eventyr - Udforskning gennem kodning og konstruktion (2024),37000,Varde Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
94,Undervisningsprisen 2024-2026 (2024),4800000,Politikens Hus,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
95,Søen og området omkring (2024),27256,Brønderslev Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
96,Naturfaglige forløb om plantevækst i lukkede kontrollerede rum og på udendørs arealer (2024),36000,Brønderslev Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
97,Bæredygtig energi (2024),54496,Brønderslev Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
98,Red planeten - genbrug af tekstil og træ (2024),85000,Ringkøbing-Skjern Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
99,Undersøgelsesbaseret naturfagsundervisning på 9. årgang (2024),25266,Esbjerg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
100,"Bæredygtig energiproduktion, på lokal og global plan (2024)",53166,Holstebro Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
101,En plante der kan GRO (2024),61367,Køge Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
102,Plastik: Problem eller løsning (2024),95600,Fredensborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
103,Elektriske kredsløb (2024),48906,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
104,Podcast og teknologiforståelse (2024),25941,Borbjerg Skole,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
105,Glass Museum Gehlberg (2024),2100000,Verein der Gehlberger Glastradition e.V.,Kultur og samfund,Andre projekter
106,Renoveringsprojekt - Aarhus International School (2024),10000000,Aarhus International School,Kultur og samfund,Andre projekter
107,Aarhus Symposium (2024),50000,Aarhus Symposium,Kultur og samfund,Andre projekter
108,P2X accelerationsprogram på BII (2024),20000000,BioInnovation Institute Foundation,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
109,Fremtidigt udstillingsfundament for Museum for Lys i samarbejde mellem James Carpenter og Bornholms Kunstmuseum (2023),4400000,Bornholms Kunstmuseum,Kultur og samfund,Andre projekter
110,Copenhagen Light Festival 2023 - høje ambitioner i Arkitekturår 2023 (2023),200000,Foreningen Københavns Lysfestival,Kultur og samfund,Andre projekter
111,IceFlow BEDROCK (2023),5000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
112,Rumrejsen 2023 (2023),4000000,Danmarks Tekniske Universitet,"Børn, unge og science",Teknologi og praktisk faglighed
113,Familiepakkebidrag (2023),1000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
114,Familiepakkebidrag (2023),1000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
115,Udeliv - med plads til forskelle TILLÆGSBEVILLING (2023),313713,Muskelsvindfonden,Kultur og samfund,Dagslys og frisk luft
116,SciencePirater (2023),5000000,Spejderne,"Børn, unge og science",Science i Fritiden
117,Utzons Arki-Lab (2023),5000000,Utzon Center A/S,"Børn, unge og science",Science i Fritiden
118,Junior Rangers - Unges stemme i den grønne omstilling (2023),2000000,Brabrand Boligforening,"Børn, unge og science",Science i Fritiden
119,Fysikklub - Fysik og science klubber i region Syddanmark (2023),2800000,Syddansk Universitet,"Børn, unge og science",Science i Fritiden
120,UNF ScienceCamps 2023-2025 (2023),1500000,Ungdommens Naturvidenskabelige Forening - UNF,"Børn, unge og science",Science i Fritiden
121,Plads til liv (2023),2500000,Københavns Universitet,"Børn, unge og science",Science i Fritiden
122,Robot- og Teknologicamps (2023),2500000,Teknologiskolen,"Børn, unge og science",Science i Fritiden
123,"Alkymister, superhelte og andre videnskabsfolk - der er science i børnekultur! (2023)",2000000,Professionshøjskolen Absalon,"Børn, unge og science",Science i Fritiden
124,Center for Environmental and Biological Evolution (2023),30000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
125,Familiepakkebidrag (2023),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
126,Videnscenter for digital teknologiforståelse (2023),20000000,Aarhus Universitet,"Børn, unge og science",Evaluering og analyse
127,"Restoration of light at the Grand Palais (Paris, France) (2023)",7500000,Réunion des musées nationaux - Grand Palais,Kultur og samfund,Andre projekter
128,UNCOVER Horsens & Horsens Ny Teater (2023),100000,UNCOVER ApS,Kultur og samfund,Andre projekter
129,Doomsday by installments - challenging the dogma of singular climate tipping points in the laboratory (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
130,Mastering of Metal Solidification (2023),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
131,Nanoscale Imaging of a Photocatalyst at Work: What Comes After the Light? (2023),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
132,Can catalysts decompose robust plastics? (PlasticCat) (2023),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
133,We were wrong! Using advanced techniques to reveal how cellulose-inhibiting herbicides actually work (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
134,A global assessment of seabird and seamount connections (2023),1900000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
135,Liquid magic: Self-healing glasses from porous liquids (2023),1900000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
136,LUMINA - Light-based Neuromodulation in Novel Material Artificial Neurons (2023),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
137,neXt-Ray: a super-resolution light engine (2023),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
138,Encoding Chemistry - Green Chemistry in Biomimetic Nanoreactors” – (EnCode) (2023),2000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
139,Unlocking the potential of cyclodextrin crystals (2023),2000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
140,Listen2Battery: Diagnosing the Health of Lithium-ion Batteries through In-Situ Sound Monitoring (2023),2000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
141,InSituMicroSeq: 3D reconstruction of microbial communities through in situ sequencing (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
142,Stabilization of few-atom metal catalysts in 3D nano-cage architecture for conversion of CO2 into high-value hydrocarbon (2023),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
143,MOving ON WAter (MOONWAlk): Algae buoyancy LacKing limbs (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
144,Most Optimal Sampling Source for terrestrial biodiversity monitoring (MOSS) (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
145,"Polyploidy is the rule, not the exception, in the bacterial world (2023)",2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
146,A powerful new technique to uncover how cells modify non-protein-coding RNAs (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
147,A yeast single-cell mucus layer for exploring the activity of sensory receptors in an olfactory mucus model (2023),1900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
148,Using bacteria to sense and remove nanoplastics (2023),2000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
149,Bioinspired surfactants that protect cryo-EM samples against denaturation at the air-water interface (2023),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
150,Uncharted Pathways: Aqueous Chemistry Avoided by Terrestrial Life (UPACA) (2023),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
151,Exploring vibrational intermolecular Coulombic decay in mixed water clusters: From vibrations to electron solvation (2023),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
152,Junctionless nanostructure solar cells (2023),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
153,Ancient RNA: uncovering the missing link to reveal a new era in Paleogenetics. (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
154,Arctic copepod lipid markers as a new tool to reconstruct climate-driven ecosystem change (2023),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
155,AXQM: Axion Dark Matter Detection By Quantum Magnetometry (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
156,"What the Cell ""Sees"" in Extracellular Vesicle Biology (2023)",2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
157,Eukaryogenesis reenacted - testing evolutionary models in miniscule droplets (2023),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
158,Time-Traveling Conversations: Designing Robots to Imitate Speaking Styles of Historical Figures (2023),2000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
159,Familiepakkebidrag (2023),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
160,Familiepakkebidrag (2023),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
161,Familiepakkebidrag (2023),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
162,Indistinguishable quantum optomechanical devices protected by topology (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
163,Fingerprinting displaced molecular substances and environmental health in deep history: archaeo-xenobiotics (2023),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
164,Editing by Grafting: Advancing transgene-free genome editing in grain cereal crops via grafting (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
165,MakerSite - Et mødested for makere (2023),7300000,Professionshøjskolen Absalon,"Børn, unge og science",Teknologi og praktisk faglighed
166,FirstVirus: Finding the first archaeal RNA virus (2023),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
167,We need attention for discovery (2023),3000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
168,Hyper-Personalized Learning Paths Through the Internet: A Sustainable Approach To Accelerating Language Education (2023),2000000,IT-Universitetet i København,Teknisk og naturvidenskabelig forskning,Villum Experiment
169,SimCO2CFuel: Simultaneous CO2 Capture and Renewable Fuel Production by 4D Self-Electro-Promoted Catalyst Concept (2023),2000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
170,LCAbyg – et fælles grundlag for bæredygtigt byggeri (2023),4000000,Aalborg Universitet,Kultur og samfund,Andre projekter
171,CREEPIES – Climate relevant effects of microbial predation in eroding soils (2023),2500000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
172,Unravelling the Nature of Astrophysical Transients (2023),2500000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
173,Menneskecentreret AI med modellering af personlighed og følelser (2023),2500000,IT-Universitetet i København,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
174,Towards restoring microbial ecosystem functions: Disentangling the DOMinating microbial community in kelp forests (2023),2400000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
175,Zero-Knowledge Protocols (2023),2400000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
176,RIS-aided radio localization techniques for 6G system (2023),2000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
177,"Effects, Bioaccumulation, and Trophic Transfer of Chemicals of Emerging Concern (BATCH) (2023)",2500000,Roskilde Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
178,Molecular and atomic clocks for fundamental science (2023),40000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
179,Time in astrophysics (2023),30000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
180,The planetary habitability project (2023),30000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
181,Fundamental principles of protein O-GlcNAcylation (2023),40000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
182,Estimates for L-functions (2023),24000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
183,Architected Materials and Structures with Randomness And Defects (AMSTRAD) (2023),29000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
184,Center for Anytime & Anywhere Analytics (2023),38000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
185,Basic Algorithms Research Copenhagen (BARC) (2023),29000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
186,Microstructural engineering of additive manufactured metals (2023),30000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
187,Quantifying the Prevalence and Diffusion of Generative AI in Science (2023),3000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
188,Deep Learning Dynamic Graphs for Food Microstructures (Delifood) (2023),3000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
189,CORALS - New strategies for harvesting solar energy using coral-inspired microgeometry (2023),3000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
190,urbanLab: Spatial data center for evidence-based city planning (2023),3000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
191,Past social network reconstruction from material culture data (2023),3000000,IT-Universitetet i København,Teknisk og naturvidenskabelig forskning,Villum Synergy
192,Machine Learning to Enhance PFAS Degradation in Flow Reactor (2023),3000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
193,Data-driven Model Discovery for Turbulent Flows (Turbulence Discovery) (2023),3000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
194,Digital Twins for Abundant Feedback: Novel Feedback Paradigms via Explainable Multilingual Natural Language Processing (2023),3000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
195,Matters (2023),3000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
196,Maximising well-being with AI under deep climate turmoil - MA'AT (2023),3000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
