,Title,Grant size (DKK),Receiver,Project_category,Project_subcategory
1205,ABIL (2017),8800000,ANCAAR - Association for Children and Adults with Autism,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1206,Koncertflygler (2017),500000,Syddansk Musikkonservatorium & Skuespillerskole,Kultur og samfund,Andre projekter
1207,ECI Agora: developing ECI services through participation & co-production (2017),5800000,European Association of Service providers for Persons with Disabilities,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1208,DireWaves - Disarming resistant microbes with resonant fields (2017),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1209,The adult Y-animal — a 100+ year old enigma in marine biology (2017),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1210,Physics of the unexpected: Understanding tipping points in natural systems (2017),1600000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1211,Big Bang - Danmarks store årlige event for naturfaglige undervisere (2017),3000000,Astra,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1212,Persistent homology as a new tool to understand structural phase transitions (2017),1900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1213,3D reconstruction of neuronal connectivity in the mouse brain (2017),1900000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1214,Quantum nature of retinal proteins (2017),1500000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1215,Novel deep penetration hyperthermia methodology: can we treat deep-seated tumors with magnetic resonance imaging (MRI)? (2017),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1216,Tardigrade CRISPR genome engineering – Exploring the secrets of latent life and extreme stress tolerance in animals (2017),1800000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1217,Automatic Insect Detection (AID) (2017),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1218,A Diamond-Encased Bose-Einstein Condensate (2017),1900000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1219,Beyond the genome: Re-theorizing the cellular system (2017),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1220,Sugar harvesting from plant veins (SHARP) (2017),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1221,New letters to the DNA alphabet (2017),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1222,Searching for Photosynthetic Archaea in Arctic Permafrost (2017),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1223,Turning x-ray microscopy inside out (2017),1600000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1224,Quickest detection problems going nonlinear (2017),1800000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
