,Title,Project Category,Receiver Name,Grant size (DKK)
45,Kurser for Museumsforeninger (2024),Voksenlivets overgange og forandringer,SAMMUS - Danske Museumsforeninger,122.000 kr.
46,To el-tandemcykler til synshandicappede (2024),Voksenlivets overgange og forandringer,Midtjysk Tandemklub,120.000 kr.
47,Krolf-hus (2024),Voksenlivets overgange og forandringer,Holbøl Foredrags-og Idrætsforening,50.000 kr.
48,PC til billedbehandling (2024),Voksenlivets overgange og forandringer,Aktivitscenter Damgårdshave,12.000 kr.
49,Nyt billardbord (2024),Voksenlivets overgange og forandringer,Åbne Venner Skovcentret,30.000 kr.
50,Femø Fortællefestival (2024),Voksenlivets overgange og forandringer,Femø Beboerforening,30.000 kr.
51,Djurzz Jazz - Fællesskab om amatørjazz (2024),Voksenlivets overgange og forandringer,Bigbandet Unoderne,25.000 kr.
52,Nyt lydanlæg til Trekantens Amatør Scene (2024),Voksenlivets overgange og forandringer,Trekantens Amatør Scene,24.000 kr.
53,Leje af bus til besøg hos svensk venskabskor (2024),Voksenlivets overgange og forandringer,Brøndby Sangvinernes Kor,7.500 kr.
54,"Teaterforestillingen ""Støjende Stilhed Slutter"" (2024)",Voksenlivets overgange og forandringer,Teaterrødderne Holbæk,30.000 kr.
55,Projektor (2024),Voksenlivets overgange og forandringer,Aktive Beboere,10.000 kr.
56,Anskaffelse af Coastal robåd (2024),Voksenlivets overgange og forandringer,Dragør Roklub,80.000 kr.
57,Hvem sagde gammel? - pensionistbandens revy 2024 (2024),Voksenlivets overgange og forandringer,Rødvig Borgerforening,7.000 kr.
58,B17 Mindesten Stevns (2024),Voksenlivets overgange og forandringer,Foreningen B17 Mindesten Stevns,25.000 kr.
59,SvenskeSlaget Anno 1659 - en historisk festival (2024),Voksenlivets overgange og forandringer,Egedal Kommune,25.000 kr.
60,Bærbar PC og software (2024),Voksenlivets overgange og forandringer,Blixen Klub Ruderdal - 3,10.000 kr.
61,Vedligeholdelse og naturpleje af areal ved Gjerrild Nordstrand (2024),Voksenlivets overgange og forandringer,Danmarks Naturfredningsforening,15.000 kr.
62,Højskolesangbøger stor skrift (2024),Voksenlivets overgange og forandringer,Aktivitetshuset Catolhaven,15.000 kr.
63,Aktiviteter og audiovisuelt udstyr (2024),Voksenlivets overgange og forandringer,"Mænds Mødesteder, Frederiksberg",20.000 kr.
64,Koncertaktiviteter for ældre amatørmusikere i Køge (2024),Voksenlivets overgange og forandringer,Køge Symfoniorkester,20.000 kr.
65,Indkøb af bordtennisrobot til seniortræning (2024),Voksenlivets overgange og forandringer,Gundsølille Skytte-Gymnmastik og Idrætsforening,15.000 kr.
66,Kreativt glashold for borgere 60+ (2024),Voksenlivets overgange og forandringer,Centerrådet Kildebakken,15.000 kr.
67,Billardbord (2024),Voksenlivets overgange og forandringer,Låsby Boldklub,9.500 kr.
68,Nyt klaver til Fælleshuset (2024),Voksenlivets overgange og forandringer,Seniorbofællesskabet Margrethehåbsparken AB,15.000 kr.
69,Fejring af En 100-årig legendes liv med podcast og hæfte (2024),Voksenlivets overgange og forandringer,Livshistorier.net,10.000 kr.
70,Opgradering af keramisk værksted (2024),Voksenlivets overgange og forandringer,Aktivitetscenter Ågården,15.000 kr.
