,Title,Project Category,Receiver Name,Grant size (DKK)
346,Bogudgivelse: Langs murene (2023),Voksenlivets overgange og forandringer,Forlaget Læselyst,7.000 kr.
347,Opførelse af skulptur (2023),Voksenlivets overgange og forandringer,Juelsminde Visionsråd,40.000 kr.
348,Bogudgivelse: Mad vin musik - en erindringskogebog (2023),Voksenlivets overgange og forandringer,Jensen & Dalgaard Forlag,10.000 kr.
349,Bogudgivelse: Monografi om arkitekten Martin Nyrop (2023),Voksenlivets overgange og forandringer,Forlaget Strandberg Publishing,25.000 kr.
350,Forfattere på universitetet og kunstnerisk viden (2023),Human- og samfundsvidenskabelig forskning og kultur,Aarhus Universitet,2 mio. kr.
351,Bogudgivelse: Folkets love. Folkeafstemninger om danske grundlove (2023),Voksenlivets overgange og forandringer,Aarhus Universitetsforlag,35.000 kr.
352,Udskiftning af to loftsvinduer (2023),Voksenlivets overgange og forandringer,Foreningen Frøstrup og Omegns Medborgerhus,25.000 kr.
353,Ny keramikovn (2023),Voksenlivets overgange og forandringer,Aktivitetscenteret AL-Huset,15.000 kr.
354,Anskaffelse af udstyr til udlån til seniorer (2023),Voksenlivets overgange og forandringer,Høje Kolstrup Tennisklub,7.500 kr.
355,"Koncertrejse til Markneukirchen, Tyskland (2023)",Voksenlivets overgange og forandringer,Publikumsorkesteret,50.000 kr.
356,Bæredygtig Tøjkultur (2023),Voksenlivets overgange og forandringer,Rudersdal Bibliotekerne,51.500 kr.
357,Udstyr og ydelser ifm etablering af værksted (2023),Voksenlivets overgange og forandringer,Randers Væverne,30.000 kr.
358,Bogudgivelse: Provokunst - fra hesteofring til skamstøtte (2023),Voksenlivets overgange og forandringer,Gads Forlag,15.000 kr.
359,Bogudgivelse: A/B Halvtolv - et fællesskab ved vandet (2023),Voksenlivets overgange og forandringer,AB Halvtolv,10.000 kr.
360,Sløngeldage 2023 (2023),Voksenlivets overgange og forandringer,Di Heslige Slønglers Klup,125.000 kr.
361,Bogudgivelse: Børge Reiersen Lund. En færgemand og brændevinsbrænder i Helsingør 1800-1850 og hans efterladte papirer (2023),Voksenlivets overgange og forandringer,Samfundet for Dansk Genealogi og Personalhistorie,6.000 kr.
362,Bogudgivelse: Succes - og det der ligner - En hverdagssociologisk analyse (2023),Voksenlivets overgange og forandringer,Forlaget Hovedland,15.000 kr.
363,Bogudgivelse: Studieår1968 (2023),Voksenlivets overgange og forandringer,Forlaget Hovedland,10.000 kr.
364,Indkøb af trappemaskine (2023),Voksenlivets overgange og forandringer,Langhøj Fitness,50.000 kr.
365,Indkøb af stolelift (2023),Voksenlivets overgange og forandringer,Højer Lokalhistoriske Arkiv,40.000 kr.
366,Kegleklub som mødested og aktivitet (2023),Voksenlivets overgange og forandringer,Køge Pensionisternes Kegleklub,45.000 kr.
367,Bogudgivelse: Et tidsbillede i ord. Min bornholmske barndom 1953-1968. (2023),Voksenlivets overgange og forandringer,Forlaget Trykværket,7.000 kr.
368,Indkøb af parallelcykel (2023),Voksenlivets overgange og forandringer,Møllebos Venner,60.000 kr.
369,Aktive frivillige ældre markerer 100 året for åbningen af Kvindeanstalten på Sprogø (2023),Voksenlivets overgange og forandringer,Støtteforeningen Dansk Forsorgshistorisk Museum,25.000 kr.
370,Indkøb af havetraktor og redskabsskur til haveholdet (2023),Voksenlivets overgange og forandringer,Kirkens Korshærs hovedkontor,25.000 kr.
371,"Bogudgivelse: Film, historie og erindring (2023)",Voksenlivets overgange og forandringer,Forlaget Spring,15.000 kr.
372,Bogudgivelse: Oh Kamnad (2023),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),7.500 kr.
373,Bredsten Senior Festival 2023 (2023),Voksenlivets overgange og forandringer,Bredsten Senior Festival,25.000 kr.
374,Bogudgivelse: Kunstens Kvinder (2023),Voksenlivets overgange og forandringer,Bogforlaget Frydenlund,25.000 kr.
375,Indkøb af Rickshaw-cykel (2023),Voksenlivets overgange og forandringer,Ældre Sagen - Hovedkontor,25.000 kr.
376,Bogudgivelse: Kontoret 3.0 (2023),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),15.000 kr.
377,Landslederkursus (2023),Voksenlivets overgange og forandringer,Dansk Senior Dans,18.000 kr.
378,Anskaffelse af sikkerhedsudstyr (2023),Voksenlivets overgange og forandringer,Hobro Ro- og Kajakklub,25.000 kr.
379,Bogudgivelse: Drengen fra de gummiløses paradis (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
380,Indkøb af to højbede og et drivhus (2023),Voksenlivets overgange og forandringer,Nyttehaven Sundvænget,70.000 kr.
381,Bogudgivelse: Min indiske dagbog – på rejse med Tvindskolen (2023),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),7.500 kr.
382,"Livsglæde, fællesskab og god energi – 15 koncerter med Old Stars Cycling Orchestra - februar 2023 til februar 2024 (2023)",Voksenlivets overgange og forandringer,Old Stars Cycling Orchestra,7.000 kr.
383,Indkøb af værktøj (2023),Voksenlivets overgange og forandringer,Skanderborg Roklub,50.000 kr.
384,"Bogudgivelse: Værløseegnen 1948 - 2023, en jubilæumsbog (2023)",Voksenlivets overgange og forandringer,Værløseegnens Historiske Forening,10.000 kr.
385,"Opstart af krolf, bordtennis og volleyball for seniorer (2023)",Voksenlivets overgange og forandringer,Vilsted Idrætsforening,15.000 kr.
386,Ældres energirenovering af Det Gamle Posthus (2023),Voksenlivets overgange og forandringer,Det Gamle Posthus,25.000 kr.
387,Indløb af nye coastal robåde (2023),Voksenlivets overgange og forandringer,Skelskør Roklub,40.000 kr.
388,Bogudgivelse: Kreta. Den europæiske civilisations vugge (2023),Voksenlivets overgange og forandringer,Aarhus Universitetsforlag,15.000 kr.
389,Tangokoncert med dans (2023),Voksenlivets overgange og forandringer,Tango Sydfyn,10.000 kr.
390,Videreudvikling af Råd om Syn (2023),Voksenlivets overgange og forandringer,Komitéen for Sundhedsoplysning,"1,5 mio. kr."
391,"Bogudgivelse: Den digitale velfærdsstat - muligheden, faldgruben og jokeren (2023)",Voksenlivets overgange og forandringer,Syddansk Universitetsforlag,15.000 kr.
392,Bogudgivelse: Et vigtigt brev - antologi af seniorforfattere (2023),Voksenlivets overgange og forandringer,Andelsforlaget Ravnerock,13.000 kr.
393,Indkøb af side-by-side cykel med motor (2023),Voksenlivets overgange og forandringer,Aktivkomite Plejecenter Kastaniegården,40.000 kr.
394,"Besøg på Enigma, Holmens kirke og Valby frimærkeauktion (2023)",Voksenlivets overgange og forandringer,Brugerrådet ved Lokalcenter Rosenbakken,4.500 kr.
395,Renovering af mødested (2023),Voksenlivets overgange og forandringer,Møldrup Borgerforening 9632,30.000 kr.
396,Bogudgivelse: Morderen fra Sveas café (2023),Voksenlivets overgange og forandringer,Forlaget Hovedland,10.000 kr.
397,Gamle Kvindeaktivister - erfaringsopsamling og formidling (2023),Voksenlivets overgange og forandringer,Seniorcentret Sct. Joseph,15.000 kr.
398,50 højskolesangbøger (2023),Voksenlivets overgange og forandringer,"Danske Seniorer, Føvling",10.000 kr.
399,Udstyr til trædrejning (2023),Voksenlivets overgange og forandringer,Holsted Aktivitetshus,40.000 kr.
400,"Bogudgivelse: Spanien før Spanien – En beretning om magt, tro og myter (2023)",Voksenlivets overgange og forandringer,Forlaget Multivers ApS,15.000 kr.
401,Udskiftning af ældre trædrejebænke (2023),Voksenlivets overgange og forandringer,"Træ og Metalværkstedet "" Rigtige Mænd""",30.000 kr.
402,Bogudgivelse: B.S. Ingemanns dannelsesrejse (2023),Voksenlivets overgange og forandringer,Forlaget Multivers ApS,10.000 kr.
403,Bogudgivelse: Da smilet blev til stilhed (2023),Voksenlivets overgange og forandringer,Historia Group Forlag Aps,7.500 kr.
404,Udstyr og materialer til Fotostuen (2023),Voksenlivets overgange og forandringer,Hvidovre Kommune,10.000 kr.
405,Bogudgivelse: Det 4. Rige (2023),Voksenlivets overgange og forandringer,Historia Group Forlag Aps,7.500 kr.
406,Køb af materialer til renovering (2023),Voksenlivets overgange og forandringer,Hawboernes Forening,15.000 kr.
407,Bogudgivelse: Sneglekrigen (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
408,Bogudgivelse: Fra Horsens til Himalaya - Bind 2 (2023),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),10.000 kr.
409,Vadehavets censurerede udstilling (2023),Voksenlivets overgange og forandringer,Kunstnerhusets Venner,40.000 kr.
410,Indkøb af bankospil og headset (2023),Voksenlivets overgange og forandringer,Aktivitetsklubben Havbakken,5.500 kr.
411,Indkøb af spinning cykler (2023),Voksenlivets overgange og forandringer,Hørsholm Senior Idræt,75.000 kr.
412,Indkøb af værktøj og trailer (2023),Voksenlivets overgange og forandringer,Nr. Felding Gymnastik - og Idrætsforening,35.000 kr.
413,Indkøb af udstyr til cykler (2023),Voksenlivets overgange og forandringer,Ådalens Venner,60.000 kr.
414,Bogudgivelse: En kvinde med meget skæg (2023),Voksenlivets overgange og forandringer,Forlaget Multivers ApS,20.000 kr.
415,Bogudgivelse: En fascinerende billedverden (2023),Voksenlivets overgange og forandringer,Jonstrupsamlingen,11.250 kr.
416,Materialer til registrering af reliktplanter (2023),Voksenlivets overgange og forandringer,Foreningen Historiske Planter,23.400 kr.
417,Jubilæumsbog for Hørsholm Gårdhuse (2023),Voksenlivets overgange og forandringer,Grundejerforeningen Hørsholm Gårdhuse,35.000 kr.
418,Bogudgivelse: Tempelridderen og Valkyrierne (2023),Voksenlivets overgange og forandringer,Forlaget Bogkompagniet ApS,10.000 kr.
419,Indkøb af kajakker og sikkerhedsudstyr til ældre medlemmer (2023),Voksenlivets overgange og forandringer,FK Odsherred Kajakklub,40.000 kr.
420,Bogudgivelse: Okker Gokker børnesokker (2023),Voksenlivets overgange og forandringer,Forlaget Trykværket,7.500 kr.
421,Dokumentarfilm: Kampsax jernbaneprojekt i Tyrkiet 1927-1935 (2023),Voksenlivets overgange og forandringer,"Dansk Jernbane-Klub, Jernbanebøger",30.000 kr.
422,Marionetdukker på Museum (2023),Voksenlivets overgange og forandringer,Skørping Marionetteater,38.000 kr.
423,Indkøb af kortblandermaskine (2023),Voksenlivets overgange og forandringer,Rødding Bridge Klub,30.000 kr.
424,Renovering af loftrum (2023),Voksenlivets overgange og forandringer,A.K.O. Aktive Kristnes Omsorgsarbejde,37.000 kr.
425,Bogudgivelse: Danske katolske konvertitter mellem reformationen og religionsfriheden (2023),Voksenlivets overgange og forandringer,Katolsk Forlag,15.000 kr.
426,Indkøb af computer til videoredigering (2023),Voksenlivets overgange og forandringer,Grønnegadecentrets Videoklub,26.000 kr.
427,Indkøb af kortsorteringsmaskine (2023),Voksenlivets overgange og forandringer,Birdie 94,40.000 kr.
428,Indkøb af udstyr til grovværksted (2023),Voksenlivets overgange og forandringer,Seniorhuset Otterup,30.000 kr.
429,Bogudgivelse: Døden i Bølgerne (2023),Voksenlivets overgange og forandringer,Lokalforlaget Løkken,10.000 kr.
430,Bogudgivelse: Kvinder i tiden (2023),Voksenlivets overgange og forandringer,Andelsforlaget Ravnerock,5.000 kr.
431,Indkøb af overfræserbord (2023),Voksenlivets overgange og forandringer,Horsens Kommune,5.000 kr.
432,Netværksmøde med kunstnere på Færøerne (2023),Voksenlivets overgange og forandringer,Kunstner Inge-Lise Ravn,10.000 kr.
433,Bogudgivelse: Mejeridrift i Det Sydfynske Øhav (2023),Voksenlivets overgange og forandringer,Langeland Kommune,10.000 kr.
434,Oprettelse af separat billardlokale (2023),Voksenlivets overgange og forandringer,Morsø Billard Klub,40.000 kr.
435,Renovering af signalmastplads (2023),Voksenlivets overgange og forandringer,Lildstrand Landingsplads,40.000 kr.
436,"Bogudgivelse: Æteren, scenen og sangen. Dramatikeren Svend Åge Madsen (2023)",Voksenlivets overgange og forandringer,Forlaget Spring,20.000 kr.
437,Guided cykelrundvisning (2023),Voksenlivets overgange og forandringer,Cykelklub Strandlund,15.000 kr.
438,Højbed (2023),Voksenlivets overgange og forandringer,Vintersbølles Venner,15.000 kr.
439,Bogudgivelse: Fra Borup og Enghøj Sogne (2023),Voksenlivets overgange og forandringer,,22.500 kr.
440,Bogudgivelse: Vand under kølen - Et liv i Den Blå Verden (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
441,Irske dage i Svendborg 2023 (2023),Voksenlivets overgange og forandringer,Irsk Jam i Svendborg,10.000 kr.
442,"Bogudgivelse: Brædstrup Sygehus. En historie, en epoke (2023)",Voksenlivets overgange og forandringer,Forlaget Kahrius,20.000 kr.
443,"Aktive ældre skaber bæredygtighed og fællesskaber indenfor natur, klima og madspild. (2023)",Voksenlivets overgange og forandringer,Gladsaxe Bibliotekerne,33.000 kr.
444,Multifunktionel bådebro (2023),Voksenlivets overgange og forandringer,Mariager Sejlklub,65.000 kr.
445,Ekskursion: I Tove Ditlevsens Fodspor (2023),Voksenlivets overgange og forandringer,Blixen Klub Tårnby,5.000 kr.
446,Udstyr til fotoudstillinger (2023),Voksenlivets overgange og forandringer,Gladsaxe Bibliotekerne,20.500 kr.
447,Aktiviteter i 2023 (2023),Voksenlivets overgange og forandringer,Hemingway Club,20.000 kr.
448,Indkøb af ny båndsav (2023),Voksenlivets overgange og forandringer,Herning Kommune,10.000 kr.
449,CD-indspilning for Naxos 2022-23: Lars Aksel Bisgaards klaverværker (2023),Voksenlivets overgange og forandringer,,20.000 kr.
450,Fællesskab og trivsel gennem madfællesskaber (2023),Voksenlivets overgange og forandringer,Gladsaxe Bibliotekerne,15.000 kr.
451,Jazzfestival i Slangerup (2023),Voksenlivets overgange og forandringer,Snake City Jazz Festival,20.000 kr.
452,Anskaffelse af tourguide-system (2023),Voksenlivets overgange og forandringer,Brugerrådet Knudepunktet,40.000 kr.
453,Ovn til stentøjskeramik (2023),Voksenlivets overgange og forandringer,Foreningen Værkstedet,70.000 kr.
454,Bogudgivelse: Physica (2023),Voksenlivets overgange og forandringer,Forlaget Hovedland,15.000 kr.
455,Opstilling af en fiskekutter ved Bundgarnsmuseet (2023),Voksenlivets overgange og forandringer,Fjellerup Bundgarnsmuseums Venner,25.000 kr.
456,Bogudgivelse: Lemvig - en vestjysk verden - Bind 3 - 1900-1970 (2023),Voksenlivets overgange og forandringer,Lemvig Museum,15.000 kr.
457,Udflugt for Hatting Sogns ældre borgere (2023),Voksenlivets overgange og forandringer,Hatting Sogns Lokalhistoriske Forening,2.000 kr.
458,Kortblandemaskine (2023),Voksenlivets overgange og forandringer,Birkerød Bridgeklub,25.000 kr.
459,Indkøb af værktøj til glaskunsthold (2023),Voksenlivets overgange og forandringer,Støtteforeningen for de Åbne Aktiviteter i Løsning,3.000 kr.
460,Folkecykelløbet Søhøjlandet Rundt (2023),Voksenlivets overgange og forandringer,DGI,15.000 kr.
461,Bogudgivelse: Havmøllen - katalysator for bæredygtig kulturudvikling (2023),Voksenlivets overgange og forandringer,Forlaget Grænseløs,20.000 kr.
462,Bogudgivelse: Ta' tråden op (2023),Voksenlivets overgange og forandringer,Andelsforlaget Ravnerock,7.500 kr.
463,Bogudgivelse: Ullas Jylland (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),7.500 kr.
464,Bogudgivelse: Den blå hylde (2023),Voksenlivets overgange og forandringer,Landsforeningen Levende Hav,25.000 kr.
465,Bogudgivelse: Elliot og voksendyret (2023),Voksenlivets overgange og forandringer,Vild Maskine Forlag,10.000 kr.
466,Indkøb af sneskovl til kunstgræsbane (2023),Voksenlivets overgange og forandringer,Løgstør Idrætsforening (LIF),60.000 kr.
467,Bogudgivelse: Stensamleren (2023),Voksenlivets overgange og forandringer,Jensen & Dalgaard Forlag,10.000 kr.
468,Anskaffelse af bordtennisrobot (2023),Voksenlivets overgange og forandringer,Aktiv Fritid Tønder,8.000 kr.
469,Bogudgivelse: I skyggen af cancer - de usynlige pårørende (2023),Voksenlivets overgange og forandringer,Forfatterskabet.dk (v/ MEMORO),15.000 kr.
470,Udstilling: Den Kolde Krig (2023),Voksenlivets overgange og forandringer,For Retfærdigheden,8.000 kr.
471,"Bogudgivelse: Skitser, skitser og atter skitser (2023)",Voksenlivets overgange og forandringer,JKM Arkitekter,10.000 kr.
472,Bogudgivelse: Oprør mod eliten (2023),Voksenlivets overgange og forandringer,Forlaget Underskoven,10.000 kr.
473,FestIvand 2023 (2023),Voksenlivets overgange og forandringer,Festivand,25.000 kr.
474,Bogudgivelse: Første Verdenskrigs ofre (2023),Voksenlivets overgange og forandringer,Marstal Søfartsmuseum,15.000 kr.
475,Indkøb af materialer til projekt “Babytæpper til Mødrehjælpen” (2023),Voksenlivets overgange og forandringer,Babytæpper til Mødrehjælpen,20.000 kr.
476,Indkøb af løbebånd (2023),Voksenlivets overgange og forandringer,Erritsøe Seniorfitness,40.000 kr.
477,Kunstnerisk hæderspris (2023),Voksenlivets overgange og forandringer,Posthus Teatret,75.000 kr.
478,Bogudgivelse: Min udsigt - en fotobog (2023),Voksenlivets overgange og forandringer,Booklab,10.000 kr.
479,Bogudgivelse: Kommer der en ny storkrig – Europas frihed på spil (2023),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),15.000 kr.
480,Kortfilm om købstaden Assens (2023),Voksenlivets overgange og forandringer,Foreningen Frøbjerg Festspil,90.000 kr.
481,Bogudgivelse: Intet menneske er en ø (2023),Voksenlivets overgange og forandringer,Forlaget Ådalen,15.000 kr.
482,Bogudgivelse: Dansk XL CC 60 års jubilæum (2023),Voksenlivets overgange og forandringer,Dansk XL CC,5.000 kr.
483,Indkøb af 2 symaskiner (2023),Voksenlivets overgange og forandringer,Støtteforeningen Paraplyens Venner,12.000 kr.
484,Deltagelse i Ray Kennedy Cup for Parkinson-fodboldhold i Liverpool juni 2023 (2023),Voksenlivets overgange og forandringer,Parkinsonforeningens Fyns-kreds,5.000 kr.
485,Indkøb af havetraktor (2023),Voksenlivets overgange og forandringer,Selsø Slots Venner,40.000 kr.
486,Bogudgivelse: Grønlands vestkyst - med besøg i de små bygdesamfund (2023),Voksenlivets overgange og forandringer,Muusmann Forlag,15.000 kr.
487,Bogudgivelse: Fremstilling af pølser og pålægsvarer (2023),Voksenlivets overgange og forandringer,Forlaget JensA,15.000 kr.
488,Indkøb af kopimaskine (2023),Voksenlivets overgange og forandringer,Traant Aktivcenter,20.000 kr.
489,Indkøb af projektor og gardiner til mødelokaler (2023),Voksenlivets overgange og forandringer,Finderup Kulturhus,25.000 kr.
490,Hædersgave (2023),Voksenlivets overgange og forandringer,,25.000 kr.
491,Anskaffelse af Højskolesangbøger (2023),Voksenlivets overgange og forandringer,Brugerrådet Seniorstedet Videbæk,17.250 kr.
492,Bridge for ældre i Strandby (2023),Voksenlivets overgange og forandringer,Pensionistforeningen Munkegården,25.000 kr.
493,Bogudgivelse: Redaktøren i Esbjerg - J. P. Sundbo - en biografi (2023),Voksenlivets overgange og forandringer,Knuths Forlag,15.000 kr.
494,Bogudgivelse: Bedste (2023),Voksenlivets overgange og forandringer,Jensen & Dalgaard Forlag,19.000 kr.
495,Indkøb af drone til video og TV-produktion (2023),Voksenlivets overgange og forandringer,Horsens Video Klub,25.000 kr.
496,Bogudgivelse: Mette Krag Scherfig: Der skete jo det. Kvindeliv (2023),Voksenlivets overgange og forandringer,Louis Scherfig,15.000 kr.
497,Seniormesse i Skanderborg Kommune (2023),Voksenlivets overgange og forandringer,Skanderborg Kommune,75.000 kr.
498,Rejse til World Parkinson Congress i Barcelona (2023),Voksenlivets overgange og forandringer,Parkinsonforeningen,13.000 kr.
499,Udsugningsanlæg til snedkerværkstedet (2023),Voksenlivets overgange og forandringer,Aktivcentret Glamsbjerg,20.000 kr.
500,Indkøb af ny rampe (2023),Voksenlivets overgange og forandringer,Haderslev Roklub,35.000 kr.
501,Bogudgivelse: Hver tirsdag i 15 sekunder (2023),Voksenlivets overgange og forandringer,Forlaget Dimon,11.000 kr.
502,Udskiftning af klæder på billardborde (2023),Voksenlivets overgange og forandringer,Næsby Billard Klub,10.000 kr.
503,Anskaffelse af scoretavler (2023),Voksenlivets overgange og forandringer,Bogense Billard Klub,18.000 kr.
504,Optimering af afretter- og tykkelseshøvl (2023),Voksenlivets overgange og forandringer,Tapdrup Husflidsforening,24.000 kr.
505,Anskaffelse af to 2'er-kajakker (2023),Voksenlivets overgange og forandringer,Køge Kano og Kajak Klub,30.000 kr.
506,"Konferencen ""Sammenhold - Inspiration - Bæredygtighed"" (2023)",Voksenlivets overgange og forandringer,Sct. Georgs Gilderne i Danmark,50.000 kr.
507,Bogudgivelse: Manegen Rundt (2023),Voksenlivets overgange og forandringer,Werks Grafiske Hus,7.500 kr.
508,Kuglestød og pilekast (2023),Voksenlivets overgange og forandringer,Støtteforeningen til Hundested Plejecenter,26.500 kr.
509,Bogudgivelse: Sætningsleddene og deres stilling 77 år efter (2023),Voksenlivets overgange og forandringer,Universitets-Jubilæets Danske Samfund,10.000 kr.
510,Bogudgivelse: Strikkepinde og sæbevand (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),15.000 kr.
511,Etablering af udhus og toiletbygning (2023),Voksenlivets overgange og forandringer,Skovbo Krolfklub,7.500 kr.
512,Udendørs fysisk træningsudstyr (2023),Voksenlivets overgange og forandringer,Randers Freja Motion,15.000 kr.
513,Bogudgivelse: Bogen om Kirke Helsinge (2023),Voksenlivets overgange og forandringer,Gørlev Lokalhistoriske Forening og Lokalhistorisk Arkiv,30.000 kr.
514,Aarhus som Grøn By - Fremtidslaboratorier for en bæredygtig omstilling (2023),Voksenlivets overgange og forandringer,Foreningen Det Fælles Bedste,659.500 kr.
515,Genoptræning af aktive ældre (2023),Voksenlivets overgange og forandringer,Lemvig og Omegns Firmaidræt,50.000 kr.
516,Bogudgivelse: Bag kulisserne - Marianne K. Mogensens beretning om en orm (2023),Voksenlivets overgange og forandringer,Forlaget Attika,7.500 kr.
517,"Bogudgivelse: Hellevad - Palæstina, retur (2023)",Voksenlivets overgange og forandringer,Forlaget Trykværket,7.500 kr.
518,Foreningens 80 års jubilæum (2023),Voksenlivets overgange og forandringer,Høreforeningen,3.200 kr.
519,Besøgshave Erholm - Sæson 2023 (2023),Voksenlivets overgange og forandringer,Landsforeningen Praktisk Økologi,10.000 kr.
520,Bogudgivelse: Farvesange fra naturen. Sange for børn (2023),Voksenlivets overgange og forandringer,Skriveri Forlag,5.000 kr.
521,Bogudgivelse: Myggens stikord og hundrede violinspillere (2023),Voksenlivets overgange og forandringer,Forlaget Em,10.000 kr.
522,Briller til fattige i østlige Uganda (2023),Voksenlivets overgange og forandringer,Seniorer Uden Grænser - Landsrådet,22.200 kr.
523,Bogudgivelse: Mod og Mandshjerte (2023),Voksenlivets overgange og forandringer,Bogfinken,10.000 kr.
524,Bogudgivelse: Dagmar (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
525,Bogudgivelse: Skandalen (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
526,Kortblandemaskine (2023),Voksenlivets overgange og forandringer,Samsø Bridgeklub,30.000 kr.
527,Energi- og indeklimaforbedring af klubhus (2023),Voksenlivets overgange og forandringer,Vordingborg Ro- og Kajakklub,50.000 kr.
528,Hegnsjoggerne - anskaffelse af diverse hardware (2023),Voksenlivets overgange og forandringer,Tisvilde Hegn Orienteringsklub,40.000 kr.
529,Bogudgivelse: Lodbjerg Klitplantage 1923 - 2023 (2023),Voksenlivets overgange og forandringer,Siren Vibes Publishing ApS,5.000 kr.
530,Bogudgivelse: En nordisk mosaik (2023),Voksenlivets overgange og forandringer,Forlaget Bianco Luno,15.000 kr.
531,Bogudgivelse: Den tredje tvivl (2023),Voksenlivets overgange og forandringer,Det Danske Bibelselskab,10.000 kr.
532,Bogudgivelse: Bogbindere i Danmark - 1650-2000 (2023),Voksenlivets overgange og forandringer,Dansk Forening for Bogbind,20.000 kr.
533,"Bogudgivelse: Kemikeren, juristen og politikeren. Hvordan Cheminova blev Danmarks største miljøforurener (2023)",Voksenlivets overgange og forandringer,Syddansk Universitetsforlag,20.000 kr.
534,Bogudgivelse: Møllehavens hemmeligheder (2023),Voksenlivets overgange og forandringer,Forlaget Trykværket,10.000 kr.
535,Bogudgivelse: Minutter i midnat. En global historie om kernevåben (2023),Voksenlivets overgange og forandringer,Aarhus Universitetsforlag,25.000 kr.
536,Bogudgivelse: I kærlighedens turbulente farvande (2023),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),10.000 kr.
537,Bogudgivelse: Verden er fortsat analog (2023),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),10.000 kr.
538,Bogudgivelse: Rejsen til Arktis (2023),Voksenlivets overgange og forandringer,Aarhus Universitetsforlag,15.000 kr.
539,Bogudgivelse: Silberschmidts fortælling - et liv i samfundsmedicinens tjeneste (2023),Voksenlivets overgange og forandringer,Kvist Kommunikation,20.000 kr.
540,Bogudgivelse: Også lyset er en afgrund/spansk: También la luz es un abismo (2023),Voksenlivets overgange og forandringer,Forlaget Silkefyret,15.000 kr.
541,Bogudgivelse: Rigt illustreret monografi om Lili Araujo (2023),Voksenlivets overgange og forandringer,Forlaget Multivers ApS,20.000 kr.
542,Bogudgivelse: Det pseudonyme firma: Dobbeltkontrakten hos Søren Kierkegaard (2023),Voksenlivets overgange og forandringer,Forlaget Multivers ApS,20.000 kr.
543,"Bogudgivelse: Moder nr. 147b. Historien om en moder, hendes søn og deres tid (2023)",Voksenlivets overgange og forandringer,Forlaget Underskoven,10.000 kr.
544,Bogudgivelse: Udviklingsarbejde i verdens brændpunkter - Oles Erindringer 1945 til 2023 (2023),Voksenlivets overgange og forandringer,Historia Group Forlag Aps,15.000 kr.
545,Formidling af den lokale historie (2023),Voksenlivets overgange og forandringer,Fyns Døveforening,45.000 kr.
546,Udstilling: Flugtrute Møn (2023),Voksenlivets overgange og forandringer,Lokalhistorisk Forening Møn,50.000 kr.
547,"Empowerment of Women. Undervisning i læsning, skrivning og regning (2023)",Voksenlivets overgange og forandringer,Seniorer Uden Grænser - Landsrådet,20.000 kr.
548,Seniorrejse Mongoliet: støtte til andelskooperativ til udvikling af stærkt brand mod bæredygtig forretning (2023),Voksenlivets overgange og forandringer,Mejerifolk uden Grænser,10.000 kr.
549,Indkøb af forgylder-presse (2023),Voksenlivets overgange og forandringer,Plejecenter Kastaniehaven,12.500 kr.
550,Materialer til syning af Stenalderdragter (2023),Voksenlivets overgange og forandringer,Vesthimmerlands Museum,12.000 kr.
551,Uddannelses- og inspirationstur for frivillige (2023),Voksenlivets overgange og forandringer,H.C. Ørsted Selskabet,11.000 kr.
552,Afholdelse af DTV-Veterantennis´ årlige turnering (2023),Voksenlivets overgange og forandringer,Svendborg Tennisklub,15.000 kr.
553,Musikunderholdning ved Anne Mette Elten (2023),Voksenlivets overgange og forandringer,Dagcenter Vesterlundens Brugerråd,10.000 kr.
554,"CARNAL: En økologisk etik for krop, mad og kød (2023)",Human- og samfundsvidenskabelig forskning og kultur,Københavns Universitet,"5,7 mio. kr."
555,Online organiseret uformel frivillig hjælps rolle i samfundskriser (2023),Human- og samfundsvidenskabelig forskning og kultur,Københavns Universitet,"5,7 mio. kr."
556,Uvidenhed og ulighed i seksuel sundhed - adresseret fra et multimodalt kommunikativt perspektiv (2023),Human- og samfundsvidenskabelig forskning og kultur,Syddansk Universitet,5 mio. kr.
557,Bogudgivelse: Sorø Akademi i det 19. århundrede (2023),Voksenlivets overgange og forandringer,Historia Group Forlag Aps,10.000 kr.
558,Støtte til Sølvværkstedsaktiviteten (2023),Voksenlivets overgange og forandringer,Solrød Kommune,19.000 kr.
