,Receiver,Description,Grant size (DKK),Year
161,Fabrikant Mads Clausens Fond,"Modtaget 15,0 mio. kr. til projekter omkring Danfoss A/S indenfor uddannelse, helse, idræt og kultur","15,0 mio. kr.",2023
162,Alsie Express A/S,"Modtaget 14,6 mio. kr. til at opretholde flyruten mellem Sønderborg og København","14,6 mio. kr.",2023
163,GOTO Sønderborg,"Modtaget 6,0 mio. kr. til aktiviteter i 2023 og 2024","6,0 mio. kr.",2023
164,Slots- og Kulturstyrelsen,"Modtaget 5,5 mio. kr. til udskiftning af orglet i Gråsten Slotskirke","5,5 mio. kr.",2023
165,Fredericia Maskinmesterskole,"Modtaget 5,5 mio. kr. til nye undervisningslokaler i Sønderborg","5,5 mio. kr.",2023
166,Studiebolig Syd,"Modtaget 5,4 mio. kr. til drift af midlertidige studieboliger i Sønderborg","5,4 mio. kr.",2023
167,ProjectZero Fonden,"Modtaget 5,0 mio. kr. til drift og en masterplan mod målet i 2029","5,0 mio. kr.",2023
168,Idrætshøjskolen Sønderborg,"Modtaget 4,5 mio. kr. til nyt halbyggeri","4,5 mio. kr.",2023
169,Fonden til fremme af elitesport,"Modtaget 4,0 mio. kr. til herrehåndbolden i Sønderborg","4,0 mio. kr.",2023
170,AlsFynForbindelsen,"Modtaget 3,0 mio. kr. til aktiviteter og drift i 2023 og 2024","3,0 mio. kr.",2023
171,Sønderborg Kommune,"Modtaget 3,0 mio. kr. til opgradering af Havnebadet ved Byens Havn","3,0 mio. kr.",2023
172,Red Barnet,"Modtaget 1,0 mio. kr. til humanitær bistand til jordskælvsofre i Tyrkiet og Syrien","1,0 mio. kr.",2023
173,Sønderborg Varme A/S,"Modtaget 0,9 mio. kr. til analyse af nyt lokalvarmesystem","0,9 mio. kr.",2023
174,Rethink Cities,"Modtaget 0,8 mio. kr. til konference om bæredygtighed i Sønderborg i 2024","0,8 mio. kr.",2023
175,Danfoss Uddannelsesfond,"Modtaget 0,7 mio. kr. til legater til studerende","0,7 mio. kr.",2023
176,Ringriderfesten i Sønderborg,"Modtaget 0,7 mio. kr. til afholdelse af Ungefrokost","0,7 mio. kr.",2023
177,Udviklingsråd Sønderjylland,"Modtaget 0,3 mio. kr. til aktiviteter i 2023","0,3 mio. kr.",2023
178,Slovensk Røde Kors,"Modtaget 0,1 mio. kr. til støtte til oversvømmelsesofre i Slovenien","0,1 mio. kr.",2023
