,Year,Reciever,Grant size (DKK),Description,Project Category
0,2024,"Kunsten at holde balancen, Syddanmark",100.000 kr.,Handicapbus,ÆLDRE - Alle ældre med
1,2024,"Statens Institut for Folkesundhed, Landsdækkende",1.792.350 kr.,Unges mentale sundhed - forløb og konsekvenser,BØRN OG UNGE - Klar til livet
2,2024,"Egebjerg Møllelaug, Syddanmark",1.744 kr.,Hjertestartertaske,TRYGHED I HVERDAGEN - Hjertestart
3,2024,"Mødrehjælpen Brønderslev lokalforening., Nordjylland",40.950 kr.,Sommerophold for børnefamilier,BØRN OG UNGE - Alle med fra start
4,2024,"Folkemøde Kalundborg i Høng, Sjælland",20.000 kr.,Folkemøde Kalundborg i Høng,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
5,2024,"Social psykiatrisk Bo Form Mariested Sæbygaardvej 36-38 9300 Sæby, Nordjylland",13.620 kr.,Musik og Markedsdag 2024,VOKSNE - Fællesskaber for alle
6,2024,"Sommerlejrgruppen Bjørnebanden, Midtjylland",62.000 kr.,Sommerlejr Bjørnebandelejr,BØRN OG UNGE - Alle med fra start
7,2024,"BROEN Tønder - frivillig forening., Syddanmark",36.000 kr.,"Ferielejr ""Børn der blomstrer"" - brobygning til foreningslivet",BØRN OG UNGE - Alle med fra start
8,2024,"Afdeling for Social Medicin, Institut for Folkesundhedsvidenskab, Københavns Universitet, Landsdækkende",2.386.820 kr.,Søvn og helbredskonsekvenser (genindsendelse af ID 158762),VOKSNE - Sundere liv
9,2024,"Sølund Musik-Festival, Landsdækkende",100.000 kr.,Samvær for sårbare mennesker,VOKSNE - Fællesskaber for alle
10,2024,"Dansk Metal, Landsdækkende",216.180 kr.,"Dit håndværk, din stemme","STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
11,2024,"Højskole gruppen Strandby aktivitetscenter , Nordjylland",10.000 kr.,Daghøjskole uge 35,ÆLDRE - Flere gode leveår
12,2024,"Kirkeby kirke , Syddanmark",1.744 kr.,Tasker,TRYGHED I HVERDAGEN - Hjertestart
13,2024,"Bostedet Søndersø, Syddanmark",26.820 kr.,Fællestur for borgere på bosted,VOKSNE - Fællesskaber for alle
14,2024,"Demokrati i Europa Oplysningsforbundet (DEO), Landsdækkende",250.000 kr.,Flere unge til stemmeboksen,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
15,2024,"Mødrehjælpen Lokalforening Horsens, Midtjylland",130.000 kr.,Sommerferieophold Mødrehjælpen,BØRN OG UNGE - Alle med fra start
16,2024,"Fonden for Socialt Ansvar, Landsdækkende",274.875 kr.,Din stemme er vigtig,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
17,2024,"VIVE-The Danish Center for Social Science Research, Landsdækkende",2.844.450 kr.,Trajectories of care (TAC),BØRN OG UNGE - Alle med fra start
18,2024,"Bjørnebanden, Midtjylland",10.000 kr.,Sommerlejrgruppen Bjørnebanden,BØRN OG UNGE - Alle med fra start
19,2024,"University of Copenhagen, Landsdækkende",7.351.616 kr.,Nysgerrighed i børn og voksne,BØRN OG UNGE - Parat til uddannelse
20,2024,"Kooperationen Aalborg S, Landsdækkende",201.660 kr.,Senior Stemmer,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
21,2024,"Livsværkstederne i Gellerup, Landsdækkende",115.000 kr.,Den gode stemning,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
22,2024,"Copenhagen University Hospital - Psychiatry Region Zealand, Denmark, Landsdækkende",3.634.571 kr.,25 års opfølgning af CCC2000,BØRN OG UNGE - Alle med fra start
23,2024,"Helsinge Svømmeklub, Hovedstaden",18.224 kr.,Udstyr til svømmecamp,BØRN OG UNGE - Klar til livet
24,2024,"H C Andersen Paraden/Torben Iversen, Syddanmark",10.000 kr.,"H. C. Andersen-paraden ""åbent slot og workshops""",BØRN OG UNGE - Klar til livet
25,2024,"University of Copenhagen, Landsdækkende",4.509.412 kr.,Forbedret demokrati (I-DET),"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
26,2024,"Aarhus Universitet, Landsdækkende",8.349.911 kr.,"Unge, alkohol, trivsel",BØRN OG UNGE - Klar til livet
27,2024,"VIVE, Landsdækkende",3.578.925 kr.,Skills and Participation,VOKSNE - Tryghed i arbejdslivet
28,2024,"VIVE the Danish Center for Social Science Research, Landsdækkende",3.790.484 kr.,Pårørendes helbred og trivsel,ÆLDRE - Et godt liv som pårørende
29,2024,"Københavns professionshøjskole, Landsdækkende",2.377.658 kr.,Screening af underretninger,BØRN OG UNGE - Alle med fra start
30,2024,"ANTV, Anerkendende tv, Landsdækkende",219.000 kr.,Valget er dit!,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
31,2024,"Mino Danmark, Landsdækkende",672.000 kr.,UNGE STEMMER,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
32,2024,"NGO Askovfonden, Landsdækkende",320.250 kr.,De tavse stemmer,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
33,2023,"HjerteRum, Hovedstaden",1.691.000 kr.,Flere piger i fællesskaber,BØRN OG UNGE - Klar til livet
34,2024,"Kirkens Korshær, Landsdækkende",222.300 kr.,EU er også dit - stem med,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
35,2024,"Frivilligcenter Fredericia, Landsdækkende",90.000 kr.,Betydning og viden om EU-valg.,STÆRKE RAMMER FOR TRYGHED
36,2023,"Multistedet 15+, Syddanmark",40.000 kr.,Sommerferie,BØRN OG UNGE - Alle med fra start
37,2023,"Kolding Kommune, Syddanmark",347.800 kr.,Trivsel på Campus Kolding,BØRN OG UNGE - Klar til livet
38,2024,"Det Boligsociale Team - boligsocial helhedsplan under Varde Boligadminitration, Landsdækkende",9.000 kr.,Styrket viden om EU-valget,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
39,2023,"Mentorbarn - Relationer for livet, Syddanmark",750.000 kr.,Flere venskabsfamilier i Syd,BØRN OG UNGE
40,2024,"Dansk Rumænsk Forening, Landsdækkende",214.000 kr.,Vote4EU,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
41,2024,"Aarhus Bibliotekerne, Landsdækkende",55.850 kr.,Vi stemmer sammen,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
42,2024,"SIND Ungdom, Syddanmark",1.152.438 kr.,Selvværd gennem inddragelse,BØRN OG UNGE - Alle med fra start
43,2023,"Svendborg Erhvervsskole og Gymnasier , Syddanmark",35.000 kr.,Fællesdag,BØRN OG UNGE - Alle med fra start
44,2024,"Caritas Danmark , Landsdækkende",49.850 kr.,Ældrefællesskaber og EU valg,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
45,2024,"Amagerplanen, Landsdækkende",82.500 kr.,Valgambassadører for EU-valget,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
46,2024,"Station København, Landsdækkende",40.000 kr.,Københavnernes stemme i Europa,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
47,2023,"Dansk Røde Kors Nørre Aaby, Syddanmark",64.000 kr.,Oplevelser for sårbare unge,BØRN OG UNGE - Alle med fra start
48,2024,"Forening Oplysning om Gadeliv, Landsdækkende",210.000 kr.,Sammen om EPvalget 2024,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
49,2024,"headspace Aabenraa og Haderslev, Syddanmark",1.218.890 kr.,Sammen om unge i trivsel,BØRN OG UNGE - Klar til livet
50,2024,"Center for Digital Psykiatri, Region Syddanmark, Syddanmark",276.500 kr.,Podcast om følelser-udbredelse,BØRN OG UNGE - Klar til livet
51,2024,"SAGA, Landsdækkende",87.500 kr.,Fremtidens Europa Stemmer,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
52,2024,"Europæisk Ungdom Danmark, Landsdækkende",250.000 kr.,Ungdommen og EP-valget,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
53,2024,"Foreningen Demokrati Garage, Landsdækkende",165.000 kr.,Et EU-valg for alle,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
54,2024,"Landsforeningen af Væresteder , Landsdækkende",371.600 kr.,Valgambassadører,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
55,2024,"Vendelbohus, Landsdækkende",45.000 kr.,Vi stemmer også til EU valg,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
56,2023,"Region Syddanmark, Syddanmark",828.467 kr.,Understøttelse af ung trivsel,BØRN OG UNGE - Klar til livet
57,2024,"Team Succes, Landsdækkende",165.000 kr.,EU 4 YOU,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
58,2023,"Dansk Røde Kors Odense, Syddanmark",300.000 kr.,UngtNetværk: Fælles om trivsel,BØRN OG UNGE - Klar til livet
59,2023,"GirlTalk, Syddanmark",469.275 kr.,EmpowR til Fyn,BØRN OG UNGE
60,2023,"Klub Aktiv, Nordjylland",40.000 kr.,"""Stig på og kom ud i det blå""",ÆLDRE - Flere gode leveår
61,2023,"Aabybro Svømmeklub, Nordjylland",16.500 kr.,Livreddercamp for børn,TRYGHED I HVERDAGEN - Respekt for vand
62,2023,"Aktivitets - og Samværstilbuddene, Sødisbakke, Region Nordjylland, Nordjylland",80.000 kr.,De ubevægelige cykler,VOKSNE - Fællesskaber for alle
63,2023,"Sportsrideklubben Mariagerfjord, Nordjylland",8.074 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN - Hjertestart
64,2023,"Hjørring Rideklub, Nordjylland",18.000 kr.,Brandbekæmpelseskursus,TRYGHED I HVERDAGEN - Andet
65,2023,"Vestervigvej 112 , Nordjylland",7.500 kr.,Udendørs hjertestarterskab,TRYGHED I HVERDAGEN - Hjertestart
66,2023,"FDF Hurup (Frivillig Drenge og Pige Forbund), Nordjylland",2.400 kr.,Kanosejlads,TRYGHED I HVERDAGEN
67,2023,"Jammerbugt Kommune, Nordjylland",413.655 kr.,Erhvervsuddannelse til flere,BØRN OG UNGE
68,2023,"Østerskov Efterskole, Nordjylland",30.000 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN - Hjertestart
69,2023,"Center for Samskabelse, Himmerland Boligforening, Nordjylland",420.000 kr.,CrossLearn,BØRN OG UNGE
70,2023,"KFUM Sociale arbejde , Syddanmark",49.800 kr.,Foto laboratoriet,BØRN OG UNGE - Klar til livet
71,2023,"Sjørring Skytteforening, Nordjylland",10.000 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN - Hjertestart
72,2023,"Hjørringskolen, Nordjylland",40.000 kr.,Tryghed i fællesskabet,BØRN OG UNGE - Alle med fra start
73,2023,"Søndergades Skole, Nordjylland",7.500 kr.,Udendørs hjertestarterskab,TRYGHED I HVERDAGEN - Hjertestart
74,2023,"Fonden Baglandet Aalborg, Nordjylland",1.067.000 kr.,Unge i en overgang,BØRN OG UNGE - Alle med fra start
75,2023,"Frederikshavn Kommune, Jobcenter Frederikshavn, KUI, Nordjylland",996.632 kr.,Fritidsjob og fællesskab,BØRN OG UNGE - Parat til uddannelse
76,2023,"GirlTalk, Nordjylland",469.275 kr.,EmpowR i Nordjylland,BØRN OG UNGE - Alle med fra start
77,2023,"Andst Fritidsklub, Syddanmark",20.000 kr.,Bedre trivsel på Mellemtrinet,BØRN OG UNGE - Klar til livet
78,2023,"Søndergades skole , Nordjylland",38.994 kr.,Træningsdukker og hjertestartertrænere,TRYGHED I HVERDAGEN - Hjertestart
79,2023,"Dagplejer Aalborg Kommune, Nordjylland",1.300 kr.,Cykelhjelme,TRYGHED I HVERDAGEN - Andet
80,2023,"FDF Dronninglund, Nordjylland",10.000 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN - Hjertestart
81,2023,"Nibe Festival, Nordjylland",25.200 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN - Hjertestart
82,2023,"Forening, Nordjylland",7.840 kr.,Red liv,TRYGHED I HVERDAGEN - Hjertestart
83,2023,"Institution, Nordjylland",451.200 kr.,VÆR MED,BØRN OG UNGE
84,2023,"Vennekredsen for Aabybro Plejehjem, Nordjylland",75.000 kr.,Musikterapi for demensramte,ÆLDRE - Flere gode leveår
85,2023,"Højbo, Sødisbakke, Nordjylland",40.000 kr.,Cykel til kørestolsbrugere,ÆLDRE - Flere gode leveår
86,2023,"Det sociale netværk/Headspace Danmark , Syddanmark",300.000 kr.,Gruppeforløb i 2 Headspaces,BØRN OG UNGE - Alle med fra start
87,2023,"Dueholmskolen, Nordjylland",1.499.450 kr.,Moderne mesterlære,BØRN OG UNGE - Parat til uddannelse
88,2023,"Vang Tvorup Vangså Borgerforening, Nordjylland",7.350 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN
89,2023,"GAME, Syddanmark",497.134 kr.,Din fritid - din fremtid,BØRN OG UNGE
90,2023,"Børnebasketfonden, Midtjylland",360.000 kr.,Brobygning gennem streetbasket,BØRN OG UNGE - Alle med fra start
91,2023,"Kamillus Jammerbugt, Nordjylland",30.000 kr.,At styrke livskvalitet,ÆLDRE
92,2023,"Bording Friluftsbad, Midtjylland",10.619 kr.,Træningsdukker og pavillon,TRYGHED I HVERDAGEN - Hjertestart
93,2023,"ADHD-foreningen, Midtjylland",239.650 kr.,Når ADHD er en del af gamet,BØRN OG UNGE - Alle med fra start
94,2023,"Gjøl Sejlklub, Nordjylland",15.450 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
95,2023,"EUC Nord, Nordjylland",594.250 kr.,Mindre skærm - mere fællesskab,BØRN OG UNGE - Klar til livet
96,2023,"Thisted svømmeklub , Nordjylland",10.431 kr.,Træningsdukker og hjertestartertræner,TRYGHED I HVERDAGEN
97,2023,"Gjøl Ro & Kajakklub, Nordjylland",17.970 kr.,Redningsveste,TRYGHED I HVERDAGEN
98,2023,"Herning Care, Midtjylland",100.000 kr.,Uddeling af Julehjælp,BØRN OG UNGE
99,2023,"Søspejdergruppen Stifinderne Sø, Midtjylland",35.830 kr.,Sikker Sejlads med Stifinderne,TRYGHED I HVERDAGEN - Respekt for vand
100,2023,"W.Klitgaards Bådlaug, Nordjylland",12.550 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
101,2023,"Stilling Idrætsforening, Midtjylland",18.000 kr.,Nye fællesskaber for unge,BØRN OG UNGE
102,2023,"Naturbørnehuset Søstjernen, Nordjylland",12.560 kr.,Redningsveste og waders,TRYGHED I HVERDAGEN - Respekt for vand
103,2023,"Bedre Psykiatri, Midtjylland",64.000 kr.,Pårørendedeltagelse,VOKSNE
104,2023,"Sundhed og Omsorg, Viborg Kommune, Midtjylland",100.000 kr.,Seniorfolkemøde 2024,ÆLDRE - Flere gode leveår
105,2023,"Social Sundhed - Brobyggere i Sundhedsvæsenet, Nordjylland",1.762.185 kr.,En tryg vej til et fællesskab,VOKSNE - Fællesskaber for alle
106,2023,"Aalborg Kajakklub, Nordjylland",12.560 kr.,Redningsveste / Svømmeveste,TRYGHED I HVERDAGEN
107,2023,"Østjyllandslejren - URK Ferielejr, Midtjylland",40.000 kr.,Ferielejr styrker selvværd,BØRN OG UNGE
108,2023,"Plejehjemmet Hestehavehusene, Midtjylland",102.399 kr.,Neuropædagogik og sanserne,ÆLDRE
109,2023,"Brugerlærere i psykiatri i Ringkøbing-Skjern Kommune, Midtjylland",50.000 kr.,Oplyse om psykisk sygdom,BØRN OG UNGE
110,2023,"Værestedet Den blå Mølle (Blå Kors), Midtjylland",46.300 kr.,Sommerhustur 2024,VOKSNE - Fællesskaber for alle
111,2023,"Aalborg Cable Park, Nordjylland",10.614 kr.,Svømmeveste og hjelme,TRYGHED I HVERDAGEN
112,2023,"Ebeltoft Idræts- og Kulturcenter - EBIC, Midtjylland",40.000 kr.,Unge- og Kreaværksted EBIC,BØRN OG UNGE - Alle med fra start
113,2023,"Kappelborgs Venner, Nordjylland",200.000 kr.,Unge i kulturelle fællesskaber,BØRN OG UNGE
114,2023,"Skolecenter Jetsmark, Specialafdelingen, Nordjylland",11.375 kr.,Cykelhjelme,TRYGHED I HVERDAGEN - Andet
115,2023,"Røde Kors Samaritterne, Nordjylland",15.399 kr.,Fornyelse af HLR-dukker,TRYGHED I HVERDAGEN - Hjertestart
116,2023,"Engesvang Friluftsbad, Midtjylland",19.500 kr.,Sikkert friluftsbad,TRYGHED I HVERDAGEN - Respekt for vand
117,2023,"Ældrecenter Lynggården, Hirtshals, Nordjylland",1.300 kr.,Cykelhjelme,TRYGHED I HVERDAGEN - Andet
118,2023,"Ilskov Friluftsbad, Midtjylland",28.968 kr.,Træningsdukker,TRYGHED I HVERDAGEN
119,2023,"Randers kommune, Midtjylland",80.000 kr.,Cykelglæde og aktivt ældreliv,ÆLDRE
120,2023,"Engesvang Friluftsbad, Midtjylland",17.074 kr.,Træningsdukker,TRYGHED I HVERDAGEN
121,2023,"Søspejdergruppen Stifinderne Sø, Midtjylland",36.680 kr.,Redningsveste,TRYGHED I HVERDAGEN
122,2023,"FDF Sejlcenter Viborg, Midtjylland",18.487 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN - Hjertestart
123,2023,"Hørning Dagtilbud, Skanderborg Kommune, Midtjylland",70.500 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN
124,2023,"Randers Fjords Jagt Fiskeriforening ( RFJF ), Midtjylland",12.560 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
125,2023,"TRI8660 , Midtjylland",22.745 kr.,Førstehjælpskursus og livredning,TRYGHED I HVERDAGEN - Hjertestart
126,2023,"Herning Fodbolddommerklub, Midtjylland",6.875 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN
127,2023,"Glyngøre Sejlklub, Midtjylland",11.404 kr.,Redningsveste,TRYGHED I HVERDAGEN
128,2023,"Struer Frivilligcenter, Midtjylland",393.307 kr.,Nye fællesskaber i Struer,VOKSNE
129,2023,"Radar, Midtjylland",17.800 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN
130,2023,"Vammen-Lindum kirker, Midtjylland",7.500 kr.,Udendørs hjertestarterskab,TRYGHED I HVERDAGEN
131,2023,"Børnehuset Ellemose, Midtjylland",975 kr.,Cykelhjelme,TRYGHED I HVERDAGEN - Andet
132,2023,"Skelhøje-Frederiks KFUM idræt (SKF-KFUM), Midtjylland",10.500 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN
133,2023,"Action Kids, Midtjylland",300.000 kr.,Besser i Bevægelse - Olde OL,ÆLDRE
134,2023,"Specialområde Autisme, Region Midtjylland, Midtjylland",6.405.793 kr.,Autistiske peermedarbejdere,VOKSNE
135,2023,"Sinding-Ørre Borgerforening, Midtjylland",12.225 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN - Hjertestart
136,2023,"Bulderby, Katholt, Midtjylland",8.125 kr.,Cykelhjelme,TRYGHED I HVERDAGEN - Andet
137,2023,"Mødrehjælpen Djursland lokalforening, Midtjylland",100.000 kr.,Fødselsdagshjælp,BØRN OG UNGE - Alle med fra start
138,2023,"Bjerregrav Sportsfiskerklub, Midtjylland",14.550 kr.,Redningsveste og nødblus,TRYGHED I HVERDAGEN
139,2023,"Støtteforeningen for Thyholm Skole og dagtilbud, Midtjylland",9.750 kr.,Cykelhjelme,TRYGHED I HVERDAGEN
140,2023,"FDF, Midtjylland",10.000 kr.,Førstehjælpskursus Aarhus 2,TRYGHED I HVERDAGEN
141,2023,"Molsspejderne 1. Mols Sø, Midtjylland",12.550 kr.,Redningsveste,TRYGHED I HVERDAGEN
142,2023,"FDF Mejdal, Midtjylland",18.340 kr.,Redningsveste,TRYGHED I HVERDAGEN
143,2023,"FDF Lind, Midtjylland",60.300 kr.,Redningsveste til FDF Lind,TRYGHED I HVERDAGEN
144,2023,"Norsminde Kajakklub, Midtjylland",18.340 kr.,Redningsveste / Svømmeveste,TRYGHED I HVERDAGEN - Respekt for vand
145,2023,"Silkeborg Kajakklub, Midtjylland",60.000 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN - Hjertestart
146,2023,"Breumgaard Plejecenter, Midtjylland",975 kr.,Cykelhjelme,TRYGHED I HVERDAGEN - Andet
147,2023,"Nørhald Travalje forening, Midtjylland",18.340 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
148,2023,"Gammel Rye Kajakklub, Midtjylland",6.780 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
149,2023,"Herning Roklub, Midtjylland",24.100 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
150,2023,"Ungdommens Røde Kors, Syddanmark",60.000 kr.,Udsatte sommerlejrbørn på tur,BØRN OG UNGE - Alle med fra start
151,2023,"De Frivilliges Hjælpecentral, Syddanmark",15.000 kr.,DFH 2024,ÆLDRE
152,2023,"Mødrehjælpen Djurslands lokalforening, Midtjylland",10.000 kr.,Babycaféer,BØRN OG UNGE
153,2023,"Frivilligcenter Odense, Syddanmark",11.988 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN - Hjertestart
154,2023,"Ældre Sagen, Midtjylland",40.000 kr.,Mandetræf/ensomme mænd,ÆLDRE
155,2023,"Bo og Aktiv. Fåborg/Midtfyn Kommune, Syddanmark",40.000 kr.,Cykeltur/motion i nærmiljøet,VOKSNE - Sundere liv
156,2023,"HjerneSagen for Esbjerg/Fanø, Syddanmark",10.000 kr.,Økonomisk støtte til samvær,ÆLDRE - Flere gode leveår
157,2023,"Langeskov Skole, Syddanmark",12.000 kr.,Førstehjælpskursus til elever,TRYGHED I HVERDAGEN - Hjertestart
158,2023,"Red Barnet, Midtjylland",11.000 kr.,Natur til Langkærparken,BØRN OG UNGE - Alle med fra start
159,2023,"Selvhjælp Silkeborg, Midtjylland",2.412.300 kr.,Frirum på ungdomsuddannelser,BØRN OG UNGE
160,2023,"Den Boligsociale Helhedsplan, Syddanmark",350.000 kr.,Ud af Skyggerne,BØRN OG UNGE - Alle med fra start
161,2023,"Kolding Roklub, Syddanmark",6.495 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN
162,2023,"Havebæk Plejehjem, Syddanmark",10.950 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN
163,2023,"Ungdommens Røde Kors, Midtjylland",552.568 kr.,Fællesskaber for indlagte børn,BØRN OG UNGE
164,2023,"Redbarnet Vejle, Syddanmark",30.000 kr.,En glad hverdag,BØRN OG UNGE - Alle med fra start
165,2023,"Kurdere i Svendborg, Syddanmark",22.750 kr.,Fællesskabet på sommertur,BØRN OG UNGE - Alle med fra start
166,2023,"Hjemly idrætsefterskole, Syddanmark",32.364 kr.,"Hjertestartertrænere, træningsdukker mm.",TRYGHED I HVERDAGEN - Hjertestart
167,2023,"Kol-optimister Esbjerg, Syddanmark",16.000 kr.,Bustur med kol-patienter,ÆLDRE
168,2023,"Ungdommens Røde kors, Syddanmark",55.000 kr.,Forlystelse for udsatte børn,BØRN OG UNGE - Alle med fra start
169,2023,"Voel Friplejehjem, Midtjylland",95.000 kr.,Udeliv til ældre på plejehjem,ÆLDRE
170,2023,"Botilbuddet Kornvangen 1 og 7A, Syddanmark",48.500 kr.,Paro sæl som fælles tredje,VOKSNE - Fællesskaber for alle
171,2023,"Red Barnets lokalafdeling i Faaborg-Midtfyn , Syddanmark",45.000 kr.,Styrk børns sociale kompetence,BØRN OG UNGE
172,2023,"Forening Leg og Lær, Midtjylland",60.000 kr.,Giver Hånd,ÆLDRE - Flere gode leveår
173,2023,"Cafe Grenaa// KFUMs Sociale Arbejde , Midtjylland",40.000 kr.,Vandring til Livshandling,VOKSNE - Fællesskaber for alle
174,2023,"Red Barnet, Syddanmark",75.000 kr.,Et godt fritidsliv for alle,BØRN OG UNGE - Alle med fra start
175,2023,"Cafe Paraplyen I Kolding, Syddanmark",16.000 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN
176,2023,"Selvhjælp Skanderborg, Midtjylland",75.000 kr.,Selvhjælpsgrupper børn/unge,BØRN OG UNGE - Alle med fra start
177,2023,"Regnbuelejren, Ungdommens Røde Kors, Syddanmark",30.000 kr.,Regnbuelejren,BØRN OG UNGE
178,2023,"Juelsminde Sejlklub. Sejlerskolen, Midtjylland",18.325 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
179,2023,"Søndersø Menighedsråd, Syddanmark",75.000 kr.,Sorggruppe for børn og unge,BØRN OG UNGE
180,2023,"5 - Skole, UngOdense, Syddanmark",40.000 kr.,Demokratidag,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
181,2023,"Thurøbund Spejdercenter, Syddanmark",30.900 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
182,2023,"Frivillighuset og Selvhjælp Varde, Syddanmark",15.750 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN
183,2023,"FDF Vejle 3, Skibet, Syddanmark",8.000 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN - Hjertestart
184,2023,"iGym Kolding, Syddanmark",7.500 kr.,Udendørs hjertestarterskab,TRYGHED I HVERDAGEN - Hjertestart
185,2023,"Arena Assens Fonden, Syddanmark",35.250 kr.,Styrke mere vandglæde i Assens,TRYGHED I HVERDAGEN
186,2023,"Broby Sportsefterskole , Syddanmark",12.560 kr.,Redningsveste,TRYGHED I HVERDAGEN
187,2023,"Nyborg Heldagsskole, Syddanmark",9.670 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
188,2023,"Tyrkisk Islamisk Kulturforening, Syddanmark",7.000 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN
189,2023,"Fredericia Dameroklub, Syddanmark",9.670 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
190,2023,"Dansk sundhedstjeneste, Syddanmark",6.500 kr.,Cykelhjelme,TRYGHED I HVERDAGEN - Andet
191,2023,"Odense Værkstederne , Syddanmark",5.225 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN - Hjertestart
192,2023,"Strammelse brugerlaug, Syddanmark",7.494 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN - Hjertestart
193,2023,"Svendborg Museum -Flåden, Syddanmark",30.900 kr.,Redningsveste + redningsflåder,TRYGHED I HVERDAGEN
194,2023,"Dykkerklubben NEMO, Syddanmark",9.133 kr.,Sikkerhed til søs,TRYGHED I HVERDAGEN - Respekt for vand
195,2023,"Kajak Langeland, Syddanmark",12.560 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
196,2023,"Sejlskibsforeningen ""EJNO under sejl"", Syddanmark",5.624 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
197,2023,"Stokkebækskolen Svendborg Kommune, Syddanmark",16.000 kr.,Førstehjælpskurser,TRYGHED I HVERDAGEN - Hjertestart
198,2023,"Nyborg Heldagsskole, Syddanmark",9.750 kr.,Cykelhjelme,TRYGHED I HVERDAGEN
199,2023,"Waterdrops, Syddanmark",8.000 kr.,Førstehjælpskursus,TRYGHED I HVERDAGEN - Hjertestart
200,2023,"Frivilligcenter Nyborg, Syddanmark",288.000 kr.,Fællesskabsstafet,VOKSNE
201,2023,"DDS Aabenraa Gruppe, Syddanmark",29.875 kr.,Redningsveste,TRYGHED I HVERDAGEN - Respekt for vand
202,2023,"Vejle Kajakklub, Syddanmark",16.028 kr.,Redningsveste,TRYGHED I HVERDAGEN
