,Year,Reciever,Grant size (DKK),Description,Project Category
6759,2013,"Ældre Sagen i Rødovre, Hovedstaden",6.500 kr.,Hjertestarterkursus,GAMMELT
6760,2013,"Fødselsdagskompagniet, Nordjylland",5.000 kr.,En mindeværdig sommerdag,GAMMELT
6761,2013,"Zoologisk have; København, Hovedstaden",22.500 kr.,Håndtering af tilskadekommende,GAMMELT
6762,2013,"Lyngby Roklub, Hovedstaden",10.975 kr.,Redningsveste Lyngby Roklub,GAMMELT
6763,2013,"Herlev Dykkerklub Jernlungerne, Hovedstaden",8.500 kr.,Indkøb af redningsveste,GAMMELT
6764,2013,"Aktivitetsleder for ""Unge Mødre"" under Røde Kors, , Sjælland",20.000 kr.,"Støtte til ""Unge mødre""",GAMMELT
6765,2013,"Børns Voksenvenner Roskilde, Sjælland",1.028.000 kr.,info- og rekrutteringskampagne,GAMMELT
6766,2013,"Brøndby Strand Skole, Hovedstaden",50.000 kr.,Cykler til skoleprojekt,GAMMELT
6767,2013,"Aalborgprovstiers Menighedspleje, Nordjylland",75.000 kr.,løn til frivilligkoordinator,GAMMELT
6768,2013,"Boligforeningene AB Langagervej 15-15A, Hovedstaden",11.250 kr.,Førstehjælpsudstyr & kursus,GAMMELT
6769,2013,"Thisted Ro- og Kajakklub, Nordjylland",8.000 kr.,Sikkerhed til søs,GAMMELT
6770,2013,"Frivilligcenter, Hovedstaden",15.000 kr.,2 x 6timers førstehjælpskursus,GAMMELT
6771,2013,"Hillerød Sygehus, Perioperativt afsnit 0132, Hovedstaden",32.000 kr.,Musik i opvågningen,GAMMELT
6772,2013,"Stege Roklub, Sjælland",23.880 kr.,Sikkerhedsudstyr til roning.,GAMMELT
6773,2013,"Sygeplejekurser.dk, Hovedstaden",38.000 kr.,Førstehjælpskurser,GAMMELT
6774,2013,"Skovshoved Roklub, Hovedstaden",20.000 kr.,Indkøb af nye svømmeveste,GAMMELT
6775,2013,"Hjørring Motocross Klub, Nordjylland",10.000 kr.,Førstehjælps Kursus,GAMMELT
6776,2013,"Frederikssund-Halsnæs Brand- & Redningsberedskab, Hovedstaden",275.000 kr.,Beredskabs sommercamp for børn,GAMMELT
6777,2013,"Yachtklubben Furesøen, Hovedstaden",13.800 kr.,VHF-radioer til sikker sejlads,GAMMELT
6778,2013,"Stevns Friskole, Sjælland",8.125 kr.,Trafiksikker skole,GAMMELT
6779,2013,"Gentofte BrandMuseum, Hovedstaden",10.000 kr.,Opsætning af slangevinde.,GAMMELT
6780,2013,"Rønne Roklub, Hovedstaden",8.750 kr.,Nye svømmeveste til klubbrug,GAMMELT
6781,2013,"Helsingør Gymnastik Forening, Hovedstaden",20.000 kr.,Vanskelig stillet børn & idræt,GAMMELT
6782,2013,"Rudersdal Kommune, Hovedstaden",117.370 kr.,Anlæg af cykel-legeplads,GAMMELT
6783,2013,"Nivå Kajakklub, Hovedstaden",10.000 kr.,Bedre sikkerhed,GAMMELT
6784,2013,"Plejehjemmet Damsøgård, Hovedstaden",47.250 kr.,Wellness-stol - Demens,GAMMELT
6785,2013,"Omsorgscenter Enggården, Hovedstaden",1.600 kr.,Demens afsnit,GAMMELT
6786,2013,"Albertslund Golfklub, Hovedstaden",14.368 kr.,Hjertestarterkurser,GAMMELT
6787,2013,"Ungdommens Røde Kors, Solskinslejren, Hovedstaden",50.000 kr.,Socialt sårbare børn og unge,GAMMELT
6788,2013,"Danmarks Rocenter, Hovedstaden",17.488 kr.,Hjerte-lunge redning,GAMMELT
6789,2013,"Halsnæs Kommune, Hovedstaden",350.000 kr.,Frivillig økonomisk rådgivning,GAMMELT
6790,2013,"Børnehuset Pelikanen, Hovedstaden",57.000 kr.,Førstehjælp til børn,GAMMELT
6791,2013,"Københavns Int. Forening, Hovedstaden",99.500 kr.,Et trygt Tingbjerg,GAMMELT
6792,2013,"Dragør St. Magleby Rideklub, Hovedstaden",10.000 kr.,Førstehjælp til rytter og hest,GAMMELT
6793,2013,"Vallensbæk Skole, Hovedstaden",3.900 kr.,Vi cykler,GAMMELT
6794,2013,"Vuggestuen Fuglegården, Hovedstaden",6.000 kr.,Indkøb af cykelseler og hjelme,GAMMELT
6795,2013,"Børne- og Ungdomspsykiatrisk Center , Hovedstaden",485.000 kr.,Psykisk syge børn,GAMMELT
6796,2013,"Høgevængets børne institution, Hovedstaden",14.000 kr.,Førstehjælpskursus,GAMMELT
6797,2013,"Ung Egedal, Hovedstaden",180.553 kr.,Egedal ungdomsbrandvæsen,GAMMELT
6798,2013,"AdventureSpejd Fonden., Hovedstaden",10.000 kr.,Indkøb af førstehjælpsudstyr.,GAMMELT
6799,2013,"Bofællesskabet Blåkildehus, Hovedstaden",30.000 kr.,Forbedring for mulighed for ud,GAMMELT
6800,2013,"Livets Skole, Hovedstaden",10.562 kr.,Elementær brandbekæmpelse,GAMMELT
6801,2013,"Gentofte Børnevenner, Hovedstaden",60.000 kr.,Førstehjælpskurser,GAMMELT
6802,2013,"Rungsted Private Realskole, Hovedstaden",10.000 kr.,Førstehjælpskursus til lærere,GAMMELT
6803,2013,"FDF - Landsdel 8, Hovedstaden",24.800 kr.,Førstehjælp i FDF Landsdel 8,GAMMELT
6804,2013,"Peterskolen, Hovedstaden",7.150 kr.,Cykelhjelme og -veste til 2 kl,GAMMELT
6805,2013,"Bostedet Juvelhuset, Hovedstaden",16.000 kr.,Batteri til Duocykel.,GAMMELT
6806,2013,"Bestyrelsen i Kirsebærhuset, Hovedstaden",35.000 kr.,Førstehjælpskursus,GAMMELT
6807,2013,"Forælder i Dragør, Hovedstaden",78.000 kr.,Sikker færden ved havet,GAMMELT
6808,2013,"Københavns kommunes Vuggestuen Væksthuset, Hovedstaden",16.300 kr.,Førstehjælpskursus,GAMMELT
6809,2013,"Herlev Dagpleje, Hovedstaden",8.125 kr.,Vi bevæger os i naturen,GAMMELT
6810,2013,"HGRK, Hedehusgårdens Rideklub, Hovedstaden",7.398 kr.,Indkøb af sikkerhedsrideudstyr,GAMMELT
6811,2013,"Spejdernes Administrationsfællesskab, Landsdækkende",17.500 kr.,Indkøb af hjertestarter,GAMMELT
6812,2013,"Børnehuset Papillion / Vuggestuen Andedammen, Hovedstaden",20.000 kr.,Førstehjælpskursus,GAMMELT
6813,2013,"Børns Voksenvenner København, Hovedstaden",120.000 kr.,Venskaber i handicapprojekt,GAMMELT
6814,2013,"DGI Nordsjælland, Hovedstaden",322.500 kr.,Jump4Fun,GAMMELT
6815,2013,"DocEye Aps i samarbejde med Danmarks Radio, Landsdækkende",7.966.750 kr.,UTURN II,GAMMELT
6816,2013,"Komiteen for Sundhedsoplysning, Landsdækkende",844.475 kr.,En tryg start på livet,GAMMELT
6817,2013,"Arkitektskolen/COWI er partnere, Landsdækkende",595.000 kr.,Wayfindingfejl på hospitaler,GAMMELT
6818,2013,"Roklubben Øresund, Hovedstaden",5.235 kr.,Kasteliner til robåde,GAMMELT
6819,2013,"Dansk Jægerforbund, Landsdækkende",287.500 kr.,Førstehjælpskurser,GAMMELT
6820,2013,"Teknik og Miljøforvaltningen, Hovedstaden",20.000 kr.,Lab2200 Talenter,GAMMELT
6821,2013,"Birkerød Roklub, Hovedstaden",13.250 kr.,Redningsveste,GAMMELT
6822,2013,"Kofoeds Skole, Hovedstaden",1.500.000 kr.,PROJEKT PSYKISK SÅRBAR,GAMMELT
6823,2013,"Motionsklubben Sluseholmen, Hovedstaden",10.000 kr.,Førstehjælpskursus,GAMMELT
6824,2013,"TUBA Danmark, Hovedstaden",91.699 kr.,Et år er for lang tid at vente,GAMMELT
6825,2013,"Alkohol & Samfund, Landsdækkende",3.000.000 kr.,Flere i alkoholbehandling,GAMMELT
6826,2013,"Aarhus Universitetshospital, Landsdækkende",1.309.022 kr.,Akutmedicinsk talentudvikling,GAMMELT
6827,2013,"DGI Storkøbenhavn, Hovedstaden",1.500.000 kr.,Fra ungdomsklub til sportsklub,GAMMELT
6828,2013,"Somalisk Sundhedsforbund (SSF), Landsdækkende",270.000 kr.,Formidling af sundhedsviden,GAMMELT
6829,2013,"Hillerød Kommunes beredskab, Hovedstaden",35.000 kr.,Julealarm,GAMMELT
6830,2013,"Cyklistforbundet , Landsdækkende",1.100.000 kr.,"""LYS PÅ - med Ludvig"" kampagne",GAMMELT
