,Year,Receiver,Grant size (DKK),Description,Project Category
157,2023,Utzon Center,300.000,Grøn omstilling i Utzon Center – ansøgning om støtte til Utzon Center 2024,Nordjylland
158,2023,Thy Masterclass,75.000,Thy Kammermusikfestival 2024,Klassisk musik
159,2023,Skovhuset Kunst & Natur,300.000,TERRA: Morf,Samtidskunst
160,2023,Professionshøjskolen UCN,800.000,Ansøgning fra Professionshøjskolen UCN til Det Obelske Familiefond.,Nordjylland
161,2023,Brønderslev Kommune,2.500.000,Kulturområde Hedelund,Nordjylland
162,2023,Ringsted Galleriet,150.000,Udstillingsprogrammet X på Ringsted Galleriet og KINO Kultur Ringsted,Samtidskunst
163,2023,Mary Fonden,450.000,Hvordan mindsker vi ensomhed? – studie af effektfulde interventioner 2.0,Unges mentale sundhed
164,2023,Astrid Noacks Atelier,70.000,Proposals for Being Together Otherwise,Samtidskunst
165,2022,Rudolph Tegners Museum & Statuepark,180.000,Rudolf Tegner Museum og Statueparks særudstillinger 2022,Samtidskunst
166,2022,Vendsyssel Festival,50.000,Vendssyssel Festival 2022,Klassisk musik
167,2022,Thy Masterclass,50.000,Thy Kammermusikfestival 2022,Klassisk musik
168,2022,Randers FC Jobakademi,5.381.250,Talenter På Vej (TPV),Unges mentale sundhed
169,2022,Nordjyllands Historiske Museum,5.000.000,Aalborg som historiske destination,Nordjylland
170,2022,Athelas Sinfonietta Copenhagen,150.000,Videre udvikling af Athelas Sinfonietta,Klassisk musik
171,2022,Kvindehuset,182.020,Kvindehusets pigeklub,Unges mentale sundhed
172,2022,Frederiksværk Musikfestival,30.000,Frederiksværk Musikfestival 2022,Klassisk musik
173,2022,Copenhagen Summer Festival,30.000,Copenhagen Summer Festival 2022,Klassisk musik
174,2022,Hindsgavl Festival ApS,50.000,Hindsgavl Festival 2022,Klassisk musik
175,2022,Frederikshavn Kommune,662.400,Forældre i fællesskab – nye veje til forbedret mental sundhed hos unge.,Nordjylland
176,2022,Københavns Universitet/Statens Naturhistoriske Museum,1.000.000,BYGNINGSMÆSSIGE JUSTERINGER I OCEANSALEN,Samtidskunst
177,2022,Exitcirklen – Veje ud af psykisk vold,3.024.650,Unge bryder voldscirkler,Unges mentale sundhed
178,2022,Mind Your Own Business,4.500.000,Ansøgning om etablering af Mind Your Own Business afdeling i Jylland,Unges mentale sundhed
179,2022,Fuglsang Kunstmuseum,500.000,Kroppen i det 21. århundrede,Samtidskunst
180,2022,Aalborg Kommune,2.000.000,Kunst til Plusbussen,Nordjylland
181,2022,"Ikast Kultur- og Bibliotek, Ikast-Brande Kommune",40.000,"Rødlisten ved Bølling Sø, Hærvejen og Engesvang. Et Borgerinddragende Naturkunstprojekt af Merete Pryds Helle & Vibe Bredahl.",Samtidskunst
182,2022,Autisme Ungdom Midtsjælland,12.180,Introaften til autismens verden,Unges mentale sundhed
183,2022,SPOR,150.000,SPOR festival 2022,Samtidskunst
184,2022,Ny Carlsberg Glyptotek,4.500.000,FORTID – NUTID – FREMTID (arbejdstitel) – COPENHAGEN CONTEMPORARY X GLYPTOTEKET,Samtidskunst
185,2022,Golden Days,150.000,Kunstprogrammet på Bloom 2022,Samtidskunst
186,2022,NJORD New Nordic Music Biennale,50.000,Njord Festival 2023,Klassisk musik
187,2022,Brandts,300.000,Gadens unge møder kunst,Unges mentale sundhed
188,2022,Kulturmødet Mors,1.110.000,Kulturmødet Mors 2022-2024,Nordjylland
189,2022,Heirloom,150.000,Heirloom,Samtidskunst
190,2022,Fonden Musikkens Hus i Nordjylland,100.000,Aalborg Operapris og Aalborg Junior Operapris,Klassisk musik
191,2022,Bentha Nielsen,6.000,Legat – tidligere CW Obels Støttefond,Nordjylland
192,2022,Kaj Arne Peter Pedersen,6.000,Legat – tidligere CW Obels Støttefond,Nordjylland
193,2022,Bernice Evelyn Ottesen,14.400,Legat – tidligere CW Obels Støttefond,Nordjylland
194,2022,Frederiksberg Festspil,100.000,Frederiksberg Festspil 2022 – 24,Klassisk musik
195,2022,Odense Symfoniorkester,250.000,Løft af Odense Symfoniorkesters solistbudget,Klassisk musik
196,2022,Rued Langgaard Selskabet,600.000,"Rued Langgaard Festival 2022, 2023 og 2024",Klassisk musik
197,2022,K!ART,50.000,K!ART Ensemble for new music and performance art 2022,Klassisk musik
198,2022,Institut Funder bakke,40.000,Institut Funder Bakkes Samlede Program 2021,Samtidskunst
199,2022,Vrå Udstillingen,50.000,Vrå Udstillingen – 80 års jubilæum,Nordjylland
200,2022,International Dressage Officials Club,37.000,"International dommer seminar i forbindelse med ridesports VM i Herning, 2022",Nordjylland
201,2022,Røde Kors asylafdeling,5.886.900,We Talk – styrkelse af udsatte flygtninges mentale sundhed,Unges mentale sundhed
202,2022,Elvermose Klassiske Koncerter,50.000,Elvermose klassiske koncerter – jubilæum!,Klassisk musik
203,2022,Den selvejende institution Hvide Sande Masterclass,40.000,Hvide Sande Masterclass 2022,Klassisk musik
204,2022,Festival & Friends,75.000,Realisering af Festival & Friends 2022,Klassisk musik
205,2022,Musikfest Schackenborg,75.000,Schackenborg Musikfest 2022,Klassisk musik
206,2022,nordjyllandslejren,25.000,Nordjyllandslejren,Nordjylland
207,2022,Vrå Koncerterne,155.200,Vrå Koncerternes projekt for formidling af klassisk musik lokalt og regionalt.,Nordjylland
208,2022,Herning Opera Festival,600.000,Herning Opera Festival 2022-2024 (HOF),Klassisk musik
209,2022,Mads Pagh Nielsen,50.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
210,2022,Rolf Lyneborg Lund,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
211,2022,Ali Adjorlu,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
212,2022,Mikkel Jensen,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
213,2022,Sabine Michelsen Raunbak,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
214,2022,The Lone Strøyberg Scholarship Community Interest Company,300.000,The Lone Strøyberg Scholarship,Nordjylland
215,2022,"UNHCR, FN’s Flygtningeorganisation",1.000.000,Særbevilling til nødhjælpsarbejde i Ukraine og nabolandene,Unges mentale sundhed
216,2022,Dansk Røde Kors,1.000.000,Særbevilling til nødhjælpsarbejde i Ukraine og nabolandene,Unges mentale sundhed
217,2022,Mina ApS,80.000,“Sundt socialt samvær sikrer mental trivsel”,Unges mentale sundhed
218,2022,Esbjerg Int. Chamber Music Festival,60.000,Gennemførelse af Esbjerg International Chamber Music Festival og mesterkursus der fylder 24 år i 2022. EICMF med overskriften fra Renaissance til Nutid,Klassisk musik
219,2022,Cafe Værestedet,15.000,"Sponsorstøtte til Cafe Værestedet, Snedsted",Nordjylland
220,2022,Foreningen Lige Adgang,837.025,Stærke frivillige – stærk modtagelse,Unges mentale sundhed
221,2022,Red Barnet Ungdom,377.999,VelkomstVenner,Unges mentale sundhed
222,2022,Dansk Flygtningehjælp,2.675.000,Psykosocial støtte og hjælp til flygtninge fra Ukraine,Unges mentale sundhed
223,2022,Frirummet,12.000,Bredere kendskab til Frirummet,Nordjylland
224,2022,Foreningen FRAK,994.923,Appetit på livet,Unges mentale sundhed
225,2022,Kirkens Korshær Aalborg,3.167.522,Projekt: ”Det fælles løft af socialt udsatte unge”,Nordjylland
226,2022,Johannes V. Jensen og Thit Jensen Museet,125.000,Rylen i Limfjorden,Nordjylland
227,2022,Fejø Kammer musik forening,40.000,Fejøs Festival 2022,Klassisk musik
228,2022,AIDS-Fondet,225.000,"Udvikling af ny månedlig netværksgruppe for unge mellem 15-35 år, der lever med hiv",Unges mentale sundhed
229,2022,Lærkereden – KFUKs Sociale Arbejde,997.192,Udvikling af efterværnscafé for tidligere hjemløse kvinder på Lærkereden,Nordjylland
230,2022,Randers Kunstmuseum,200.000,TIMELINES,Samtidskunst
231,2022,Natteravnene i Aalborg,16.000,Kursus i psykisk førstehjælp,Nordjylland
232,2022,Corporum / Cantina,100.000,Udstillingsprogram for Cantina 2022-2023,Samtidskunst
233,2022,"Kunstnernes Efterårsudstilling, v/bestyrelsesmedlem Laura Stamer",50.000,Ansøgning om tilskud til Kunstnernes Efteraarsudstilling 2022 i Den Frie Udstillingsbygning.,Samtidskunst
234,2022,Jordens Hus,400.000,"Renæssance Jord – en tværfaglig udstillingsplatform i Vridsløselille, Albertslund.",Samtidskunst
235,2022,Østre Landsret,1.500.000,Udsmykning af retssal og foyeområde i ny retsbygning,Samtidskunst
236,2022,Regelbau 411,100.000,Udstillingsprogram 2023,Samtidskunst
237,2022,Fundamentet,2.377.000,Et stærkere Fundament,Unges mentale sundhed
238,2022,Mary Fonden,6.878.517,"Ny indsats målrettet unge, der føler sig svært ensomme",Unges mentale sundhed
239,2022,HFKD ( Huset for Kunst & Design),300.000,HFKD udstillingsprogram 2023,Samtidskunst
240,2022,Den Levende Middelalder,15.000,Middelalderdage på Vitskøl Kloster 2022,Nordjylland
241,2022,Opera i Rebild,30.000,Opera i Rebild,Klassisk musik
242,2022,"Aalborg Universitet, ACM 15",64.750,Tillægsansøgning til forskningsprojekt om ‘Ny udsathed’,Unges mentale sundhed
243,2022,Grenaa Kunst- og Musikforening,250.000,Grenaa Kunst og Musikforenings jubilæumsskulptur ved Pavillonen Grenaa af Amalie Jakobsen,Samtidskunst
244,2022,Til Vægs,150.000,Parasympathetic Beings,Samtidskunst
245,2022,IPSCenter Danmark,4.467.000,Ny virksomhedsrettet indsats for unge med psykisk sygdom (Udvidet IPS/SIND indsats),Unges mentale sundhed
246,2022,"FRAKTAL – Ventesal for samtidskunst, lyd og poesi",100.000,"Fraktal – Ventesal for samtidskunst, lyd og poesi: Udstillingsprogram 2023",Samtidskunst
247,2022,Galleri Image,150.000,Udstillingsprogram for Kunsthal Galleri Image 2023,Samtidskunst
248,2022,Goldschmidts Musikakademi Aalborg,200.000,Gratis musikundervisning og sociale aktiviteter for sårbare børn og unge,Nordjylland
249,2022,Foreningen Ordkraft,75.000,"Læs sammen – lystlæsning for unge, der savner sociale fællesskaber",Nordjylland
250,2022,ADHD-foreningen,892.705,ADHD med muligheder,Unges mentale sundhed
251,2022,Viborg Kunsthal,450.000,"Viborg Kunsthal, udstillingsprogram 2023",Samtidskunst
252,2022,Aalborg Symfoniorkester,3.878.000,Ny Chefdirigent til Aalborg Symfoniorkester,Klassisk musik
253,2022,Lær for Livet,3.150.000,Udsatte børns ret til læring og fællesskab,Nordjylland
254,2022,Kirkens Korshær Aalborg,75.000,"Julehjælp til socialt udsatte børn, unge og voksne i Nordjylland",Nordjylland
255,2022,Foreningen Camerata Øresund,50.000,Camerata Øresunds vintersæson 2022,Klassisk musik
256,2022,Containerakademiet v. Prof. Billedhugger Bjørn Nørgaard,750.000,Ekstra Bevilling Containerakademiet,Samtidskunst
257,2022,Charlottenborg Fonden,75.000,Charlottenborg Forårsudstillingen 2023,Samtidskunst
258,2022,Børnenes Kontor aalborg,75.000,Julehjælp 2022,Nordjylland
259,2022,Museum Salling,200.000,Peter Callesen udstilling,Samtidskunst
260,2022,Klitgaarden Fonden,60.000,"Kunstnerophold på Klitgaarden Refugium, Skagen",Nordjylland
261,2022,Glas,300.000,Glasmuseet Ebeltofts udstillingsprogram for 2023,Samtidskunst
262,2022,Frelsens Hær,75.000,Julehjælp i Aalborg kommune,Nordjylland
263,2022,Augustiana Kunstpark & Kunsthal,247.500,Augustiana Kunstpark & Kunsthal – Udstillingsprogram 2023,Samtidskunst
264,2022,Musikhuset København,400.000,Musikhuset Vækst,Klassisk musik
265,2022,Vestjyllands Kunstpavillon,300.000,Samtidskunsten i dialog med Vestjyllands Kunstpavillon (VK) og det omgivende landskab,Samtidskunst
266,2022,Kilden STU og Botilbud,3.250.000,SERVICE- OG TURISME: NYT STU-FORLØB FOR SÅRBARE UNGE,Unges mentale sundhed
267,2022,M100 udstillingssted,100.000,"M100 Udstillingsrække 2023- Følelse, fællesskab og forståelse",Samtidskunst
268,2022,Foreningen Spiseforstyrrelser og Selvskade,6.204.450,Styrket indsats mod selvskade,Unges mentale sundhed
269,2022,"Kunstmuseet i Tønder, Museum Sønderjylland",600.000,“Grænseerfaring” Kunstmuseet i Tønder.,Samtidskunst
270,2022,Ringsted Galleriet,150.000,LANDBRUGLAND – Samtidskunst i Ringsted,Samtidskunst
271,2022,danmarks underholdningsorkester aps,900.000,Haydn Festival,Klassisk musik
272,2022,Art Barns Lolland-fonden,6.000.000,Art Barns Lolland,Samtidskunst
273,2022,Aalborg Kammermusikforening,25.000,Aalborg Kammermusikforening sæson 2022/2023,Nordjylland
274,2022,Vildmosekoncerter,30.000,Vildmosekoncerter,Nordjylland
275,2022,"Mariested, Sæby Frederikshavn Kommune",20.912,Musikfestival 25 maj 2023,Nordjylland
276,2022,Skagens Kunstmuseer,1.800.000,Skagen AiR – en del af historien,Nordjylland
277,2022,Blå Kors Danmark,200.000,Blå Kors Stjernestunder Ung,Unges mentale sundhed
278,2022,KUNSTEN – Museum of Modern Art Aalborg,50.000,Partner i Kunsten Business 2023,Nordjylland
279,2022,Vestbjerg Skole – Kontaktklasserne,30.000,Handicappede unge søger fællesoplevelser,Nordjylland
280,2022,Klub Liv og Motion,300.000,Alle har ret til et aktiv fritidsliv – unge med særlige kompetencer og behov på vej til voksenlivet,Unges mentale sundhed
281,2022,Sol Nexø,100.000,Solastalgia,Samtidskunst
282,2022,SPOR,600.000,SPOR festival 2023-25,Klassisk musik
283,2022,Aalborg Universitet,150.000,Legater til kortvarige grupperejser i 2023,Nordjylland
284,2022,Aalborg Universitet,950.000,Legater til studie- og praktikophold i 2023,Nordjylland
285,2022,Hobro Musikforening,20.000,Hobro Musikforening koncertrække 2023,Klassisk musik
286,2022,Askovfonden,2.280.988,ASPA Ungecafé,Unges mentale sundhed
287,2022,ARKEN Museum for Moderne Kunst,6.000.000,NATURE FUTURE – Treårig udstillingsrække i ARKENs spektakulære kunstakse,Samtidskunst
288,2022,Aalborg Kongres & Kultur Center,86.000,Støtte til kulturaktiviteter i AKKC 2023-2024,Nordjylland
289,2022,Kunstnernes Påskeudstilling,50.000,"KP23, SPRING23 og KP23-digital",Samtidskunst
290,2022,Aalborg Teater,175.000,Sæson 2023/2024 på Aalborg Teater – med fokus på ’Man skyder jo heste’,Nordjylland
291,2022,Gl Holtegaard,500.000,Udstillingsprogram 2023 Gl. Hotegaard,Samtidskunst
292,2022,Fonden Musikkens Hus i Nordjylland,3.000.000,Ansøgning om støtte til Musikkens Hus’ klassiske program for perioden 2023-2025,Nordjylland
293,2022,Godsbanen,1.455.000,Mere kunst i Aarhus: Samtidskunst i Rå Hal,Samtidskunst
294,2022,Dansk Danseteater c/o Operaen,240.000,Ny symfonisk musik til dans på scenen – et repertoire til vores tid,Klassisk musik
295,2022,"Aalborg Kommune, Center for Tværfaglig Forebyggelse",140.400,Ensomme unge piger – et brobygningsprojekt mellem en særlig tilrettelagt krea-café og ungdomsklubben i fritidscentret hjemme i kvarteret.,Nordjylland
296,2022,Utzon Center,300.000,Ansøgning om støtte til Utzon Center 2023,Nordjylland
297,2022,Copenhagen Phil,1.428.967,Lumbye Akademiet,Klassisk musik
298,2022,Professionshøjskolen UCN,500.000,Ansøgning fra Professionshøjskolen UCN til Det Obelske Familiefond.,Nordjylland
299,2022,Skovhuset Kunst & Natur,300.000,Udstillingsprogram 2023 Skovhuset Kunst & Natur,Samtidskunst
300,2022,Unges Uddannelsescenter,5.558.130,KLAR TIL START,Unges mentale sundhed
301,2022,KUNSTHAL 44 MØEN,600.000,PS44- Projektrum for ung kunst (2023-25),Samtidskunst
302,2022,Hesselholdt & Mejlvang,250.000,AR MONUMENT FOR EQUALITY,Samtidskunst
303,2022,Musikforeningen UTZON,50.000,Musikforeningen UTZONs koncerter i foråret 2023,Klassisk musik
304,2022,Statens Museum for Kunst,100.000,Gong Tomorrow 2023: Festival for folkelig lytning,Klassisk musik
305,2022,Street Society,2.740.710,"Street Society Empowerment – Fritidsjob for udsatte unge: Et vigtigt skridt på vej mod uddannelse, job og selvforsørgelse",Unges mentale sundhed
306,2022,Pitstop Bergen,315.000,Pitstop Bergen,Unges mentale sundhed
307,2022,Kirkens Korshær Aalborg,83.333,Uddeling af ekstraordinær økonomisk julehjælp til socialt udsatte børnefamilier,Nordjylland
308,2022,Børnenes Kontor aalborg,83.333,Tillægsbevilling til Julehjælp 2022,Nordjylland
309,2022,Foreningen Carl Nielsen Festival,245.000,Tillægsbevilling 65711 – CARL NIELSEN FESTIVAL,Klassisk musik
310,2022,Frelsens Hær,83.333,Julehjælp i Aalborg kommune,Nordjylland
311,2021,Det Kongelige Teater,4.000.000,Richard Wagners “Ringen” i Den Kongelige Opera 2022-25,Klassisk musik
312,2021,Professionshøjskolen UCN,500.000,"Studieophold, praktikophold og kortere ophold i udlandet for studerende på Professionshøjskolen UCN",Nordjylland
313,2021,Struer Tracks / Struer Kommune,75.000,Struer Tracks Sound Art Biennale #3,Samtidskunst
314,2021,Øresunds Solist,25.000,Øresunds Solist 2021,Klassisk musik
