,Year,Receiver,Grant size (DKK),Description,Project Category
355,2021,"Kunstnernes Efterårsudstilling, v/bestyrelsesmedlem Laura Stamer",50.000,Ansøgning om tilskud til Kunstnernes Efteraarsudstilling 2021,Samtidskunst
356,2021,Aalborg Teater,175.000,Sæson 2021/2022 på Aalborg Teater,Nordjylland
357,2021,Mogens Dahl Koncertsal,50.000,Copenhagen Chamber Music Festival,Klassisk musik
358,2021,Den Levende Middelalder,15.000,Middelalderdage på Vitskøl Kloster 2021,Nordjylland
359,2021,Grønnegårds Teatret,35.000,Grønnegårds Teatrets aktiviteter 2021,Samtidskunst
360,2021,Sort/Hvid,75.000,Sort/Hvid – Åbningsprogram,Klassisk musik
361,2021,Nordic Artists Management,50.000,Ansøgning om støtte til Syddansk Musikfestival 2021,Klassisk musik
362,2021,SPOR,100.000,SPOR festival: Lydkunst i offentlige rum,Samtidskunst
363,2021,Carl Nielsen Internationale Konkurrencer c/o Odense Symfoniorkester,500.000,Carl Nielsen Internationale Konkurrence 2022,Klassisk musik
364,2021,Slots- og Kulturstyrelsen,200.000,Uffe Isolotto i den danske pavillon på Venedig Biennalen 2022,Samtidskunst
365,2021,Københavns Drengekor,1.500.000,“NYE MØDER” – 3 årigt projekt (2022-2024) udviklet af og for Københavns Drengekor,Klassisk musik
366,2021,Ordblindetræning ApS (reg. soc.øk. virksomhed),600.000,Læringsforløb for ordblinderisikoelever (og deres forældre) i Aalborg Kommune,Nordjylland
367,2021,Det Kgl. Bibliotek,300.000,Samtidens Fotokunst på Den Sorte Diamant,Samtidskunst
368,2021,Foreningen Camerata Øresund,50.000,Camerata Øresunds efterår-/vintersæson 2021,Klassisk musik
369,2021,Trapholt,2.000.000,Maleriske Sansninger på Trapholt,Samtidskunst
370,2021,VestByens Rideklub,120.000,En del af staldfællesskabet: Ridning og hesteassisteret læring for børn og unge med særlige udfordringer,Nordjylland
371,2021,NJORD New Nordic Music Biennale,50.000,NJORD Festival 2022,Klassisk musik
372,2021,Kunstforeningen GL STRAND,1.500.000,PÅ TVÆRS – Udstillingsrække om tværæstetiske dialoger i samtidskunsten,Samtidskunst
373,2021,Nordisk-Russisk Musikforening,50.000,Inspireret Fællesskab,Klassisk musik
374,2021,Sangens Hus,5.000.000,Sangkraft ’25,Klassisk musik
375,2021,Willumsens Museum,1.200.000,Ud i parken – ind i kunsten – Et udendørs udstillingsprogram i museumsparken ved Willumsen Museum 2022-24,Samtidskunst
376,2021,Kongegaardsfonden,400.000,TURNING POINTS – VISIONÆRE VENDINGER I VESTSJÆLLAND (Kunsthal Kongegaardens strategiske udviklingsprogram 2022-2024),Samtidskunst
377,2021,Charlottenborg Fonden,75.000,Charlottenborg Forårsudstilling 2022,Samtidskunst
378,2021,Aalborg Universitet,1.000.000,Viden for verden. En historie om Aalborg Universitet gennem 50 år.,Nordjylland
379,2021,Jens Myrup Pedersen,50.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
380,2021,Christian Ravn Haslam,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
381,2021,Erik Lund,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
382,2021,Kresten Lundsgaard-Leth,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
383,2021,Maciej Plocharski,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
384,2021,KFP11 (Markus von Platen),600.000,"Kunstudstillingsstedet Simian, Ørestad København",Samtidskunst
385,2021,Regelbau 411,100.000,DISMANTLING THE FRAME,Samtidskunst
386,2021,Aalborg Kongres & Kultur Center,86.000,Støtte til kulturaktiviteter i AKKC 2021-2022,Nordjylland
387,2021,Store Mosevej 24,37.000,Opførelse af bålhytte og drivhus / væksthus i forbindelse med flytning til nyopført institution,Nordjylland
388,2021,Hobro Musikforening,20.000,Hobro Musikforening koncertserie 2021/2022,Nordjylland
389,2021,ARoS Aarhus Kunstmuseum,3.000.000,Udstillingstriologi 2023-2025 – Making Worlds,Samtidskunst
390,2021,Aalborg Kulturskole,30.000,Pianister i Nord 2021,Nordjylland
391,2021,Viborg Kunsthal,300.000,"Viborg Kunsthal, udstillingsprogram 2022",Samtidskunst
392,2021,Den Frie Udstillingsbygning,2.400.000,En levende historisk ramme om samtidens kunstneriske eksperimenter,Samtidskunst
393,2021,VIA Horsens Grundejerforening,500.000,Et visionært kunstprojekt til fremtidens Horsens,Samtidskunst
394,2021,Augustiana Kunstpark & Kunsthal,250.000,Augustiana Kunstpark & Kunsthal – Udstillingsprogram 2022,Samtidskunst
395,2021,KFUM’s Sociale Arbejde,5.491.285,Social Drive Out (SDO),Nordjylland
396,2021,Ringsted Galleriet,100.000,JUBILÆUM,Samtidskunst
397,2021,Klitgaarden Fonden,50.000,"Kunstnerophold på Refugiet Klitgaarden, Skagen",Nordjylland
398,2021,KLANG-Copenhagen Avantgarde Music Festival,225.000,KLANG – Copenhagen Avantgarde Music Festival,Klassisk musik
399,2021,M100 udstillingssted,150.000,M100 udstillingsprogram 2022,Samtidskunst
400,2021,Le Bicolore – Danmarkshuset i Paris,478.500,ArtParis/DK22-24,Samtidskunst
401,2021,Ønskeland,2.400.000,Ønskeland – ophold for alvorligt og kronisk syge børn og deres familier,Nordjylland
402,2021,Convoi Exceptionnel,50.000,CRAWL CRAWL CRAWL,Klassisk musik
403,2021,Læsø Kunst og Kultur ApS,1.170.000,Læsø AiR,Samtidskunst
404,2021,Børglum Kloster,1.500.000,Restaurering af Børglum Klosterkirkes indre,Nordjylland
405,2021,Børnenes Kontor aalborg,75.000,Børnenes Kontors Julehjælp 2021,Nordjylland
406,2021,Aalborg Kammermusikforening,25.000,Aalborg Kammermusikforening sæson 2021/2022,Nordjylland
407,2021,Vermilion Sands,150.000,Careful Reconstructions,Samtidskunst
408,2021,Trio Amerise,60.000,Østerbro Kammermusikfestival 2022 – Metamorfose | Naturen og paradigmeskiftet,Klassisk musik
409,2021,KUNSTEN – Museum of Modern Art Aalborg,45.000,Partner i Kunsten Business 2022,Nordjylland
410,2021,Aveny-T Fonden,400.000,Udsmykning af blivende kunstværk i offentligt tilgængeligt nybygget teaterhus til unge.,Samtidskunst
411,2021,Aalborg Universitet,950.000,Legater til studie- og praktikophold i 2022,Nordjylland
412,2021,Aalborg Universitet,150.000,Legater til kortvarige grupperejser til udlandet i 2022,Nordjylland
413,2021,Aalborg Teater,175.000,Sæson 2022/2023 på Aalborg Teater,Nordjylland
414,2021,Vildmosekoncerter,40.000,Vildmosekoncerter,Nordjylland
415,2021,Sol Nexø,80.000,Sol Nexø 2022,Samtidskunst
416,2021,Aalborg Kongres & Kultur Center,86.000,Støtte til kulturaktiviteter i AKKC 2022-2023,Nordjylland
417,2021,Selvejende Institution Skovsnogen,1.300.000,UNG SAMTIDSKUNST -I kunsten og naturen – sammen,Samtidskunst
418,2021,Utzon Center,300.000,Mini Maxi – en udstilling for børn om design og skala,Nordjylland
419,2021,Statens Museum for Kunst,4.850.000,Kunst fra transkulturelle positioner – ny udstillingsrække på SMK,Samtidskunst
420,2021,KUNSTEN – Museum of Modern Art Aalborg,600.000,Kunstens jubilæumsår 2022,Nordjylland
421,2021,Professionshøjskolen UCN,500.000,Ansøgning fra Professionshøjskolen UCN til Det Obelske Familiefond 2022,Nordjylland
422,2021,Skovhuset Kunst & Natur,300.000,Udstillingsprogram 2022 Skovhuset Kunst & Natur,Samtidskunst
423,2021,Holstebro Kunstmuseum,1.200.000,Tre udstillingssatsninger,Samtidskunst
424,2021,Foreningen Camerata Øresund,70.000,Camerata Øresunds forårssæson 2022,Klassisk musik
425,2021,K!ART,75.000,MINU_festival_for_expanded_music 2022,Klassisk musik
426,2021,Utzon Center,300.000,"Fremtidens håndværk, design og arkitektur",Nordjylland
427,2021,Theatre of Voices,200.000,Theatre of Voices Festival 2022,Klassisk musik
428,2021,Frelsens Hær,75.000,Julehjælp i Aalborg kommune,Nordjylland
429,2021,Kirkens Korshær Aalborg,75.000,"Julehjælp til socialt udsatte børn, unge og voksne i Nordjylland",Nordjylland
430,2021,Jyske Bank,300.000,Stigsborg Fortællinger,Nordjylland
431,2020,Lotte Møller/die raum,75.000,die raum 2020/21,Samtidskunst
432,2020,Foreningen San Cataldos Venner,1.000.000,Stipendieophold til kunstnere på arbejdsrefugiet San Cataldo,Samtidskunst
433,2020,Ribe Kunstmuseum,300.000,Ulrik Møller. En dansk landskabsmaler i Berlin,Samtidskunst
434,2020,Filmby Aarhus,2.000.000,The Garden in the Machine,Samtidskunst
435,2020,Scene42 S/I,75.000,Isolation – et korværk,Klassisk musik
436,2020,Trio Amerise,40.000,Østerbro Kammermusikfestival 2020,Klassisk musik
437,2020,Øresunds Solist,25.000,Øresunds Solist 2020,Klassisk musik
438,2020,f.eks.,75.000,f.eks.,Samtidskunst
439,2020,Golden Days,125.000,Kunstprogram på Bloom 2020,Samtidskunst
440,2020,Frederiksberg Kommune,1.000.000,Verdenskunst på Frederiksberg Allé – Jeppe Hein Balance of Time,Samtidskunst
441,2020,Hicsum,35.000,HICSUM 2020,Klassisk musik
442,2020,Cigarmagernes Klub,24.500,Cigarmagernes Klub,Nordjylland
443,2020,Herning Opera Festival,200.000,Herning Opera Festival 2020,Klassisk musik
444,2020,Vendsyssel Festival,50.000,Vendsyssel Festival i 2020,Klassisk musik
445,2020,Vokalselskabet GLAS,40.000,Aladdins drøm – en forunderlig rejse i verdensmusik fylder 100,Klassisk musik
446,2020,KUNSTEN – Museum of Modern Art Aalborg,45.000,Medlemskab af Kunsten Business Executive,Nordjylland
447,2020,Bornholms Musikfestival,90.000,Bornholms Musikfestival 2020-23,Klassisk musik
448,2020,Foreningen Camerata Øresund,40.000,Camerata Øresunds to projekter i foråret 2020,Klassisk musik
449,2020,Frederiksværk Musikfestival,30.000,Frederiksværk Musikfestival 2020,Klassisk musik
450,2020,Isabella Østenby,35.000,Piccolosolist,Klassisk musik
451,2020,Fejø Kammermusikforening/Fejø Kammermusikfestival 2017,40.000,Fejøs Festival 2020,Klassisk musik
452,2020,Opera i Rebild,30.000,Opera i Rebild 2020-2022,Klassisk musik
453,2020,Spinderihallerne,50.000,Skyen – kunstinstallation til Spinderihallerne i Vejle,Samtidskunst
454,2020,Kammermusikfestival på Lundsgaard Gods Kerteminde,225.000,Kammermusik på Lundsgaard 2020-2022,Klassisk musik
455,2020,Carl-Henning Pedersen & Else Alfelts Museum,300.000,Kunsten & Klangen,Klassisk musik
456,2020,"Fødegangen Regionshospital Nordjylland, Region Nordjylland",1.199.000,Helende kunst på hospitalet,Nordjylland
457,2020,Aalborg Teater,175.000,Aalborg Teater sæson 2020/2021,Nordjylland
458,2020,Randers Kammerorkester,40.000,Randers Kammerorkesters 75-års jubilæumssæson,Klassisk musik
459,2020,Klitgården Refugium,50.000,Musikere og komponister på Klitgaarden,Nordjylland
460,2020,Elvermose Klassiske Koncerter,40.000,Elvermose Klassiske Koncerter,Klassisk musik
461,2020,Copenhagen Contemporary,2.250.000,"Future First. Udstillingsserie med fokus på unge danske talenter, der arbejder på tværs af kunstneriske genrer.",Samtidskunst
462,2020,Karen Marie Sørensen,35.000,"Solistkoncert i Carnegie Hall, New York",Klassisk musik
463,2020,Athelas Sinfonietta Copenhagen,90.000,Athelas 30. sæson,Klassisk musik
464,2020,Sommerkoncerter på Langeland,40.000,"Sommerkoncerter på Langeland, 43.sæson",Klassisk musik
465,2020,Selsø Slot,40.000,Selsø Slots Musikprogram 2020,Klassisk musik
466,2020,Den selvejende institution Hvide Sande Masterclass,40.000,Hvide Sande Masterclass 2020,Klassisk musik
467,2020,Galleri Image,40.000,Photobook Week Aarhus 2020,Samtidskunst
468,2020,GirlTalk.dk,900.000,GirlTalk lokalafdeling i Aalborg,Nordjylland
469,2020,Kirkens Korshær,3.000.000,Forskellighed og Samling – Revitalisering af Kirkens Korshærs Herberg i Aalborg gennem ”sociale mursten”.,Nordjylland
470,2020,"Kunstnernes Efterårsudstilling, v/bestyrelsesmedlem Laura Stamer",50.000,Ansøgning om tilskud 2020 – Kunstnernes Efterårsudstilling,Samtidskunst
471,2020,Råt&Godt,2.061.714,Hele Nordjyllands bæredygtige materialebank,Nordjylland
472,2020,Århus Sinfonietta,50.000,Mørkeklang,Klassisk musik
473,2020,Vestjyllands Kunstpavillon,300.000,"VK Samtidskunst, 2-årigt program",Samtidskunst
474,2020,Nontardar,50.000,COSI FAN TUTTE PÅ HOFTEATERET,Klassisk musik
475,2020,Frederiksberg Festspil,100.000,Frederiksberg Festspil 2020,Klassisk musik
476,2020,NJORD New Nordic Music & Arts,50.000,NJORD – In Colour & Light,Klassisk musik
477,2020,Fotografisk Center,750.000,Fotografi i fokus – Forankring og udvikling af Fotografisk Center,Samtidskunst
478,2020,Musikhuset Aarhus,3.000.000,Klassisk Upgrade vers. 2.0.,Klassisk musik
479,2020,Charlottenborg Fonden,75.000,Charlottenborg Forårsudstilling 2021,Samtidskunst
480,2020,Skovgaard Museet,200.000,Udstilling med Anette Harboe Flensburg,Samtidskunst
481,2020,Musica Ficta,1.000.000,Hofmusikken på Kronborg – med vokalensemblet Musica Ficta og Bo Holten,Klassisk musik
482,2020,Foreningen af Danske Kulturbestyrelser,200.000,Kulturens Største Udfordringer – under coronakrisen,Klassisk musik
483,2020,Retten i Aalborg,70.000,Ansøgning om støtte til konservering mv. af værker af Carl Henning Pedersen,Samtidskunst
484,2020,Regelbau 411,50.000,"Interference – fusion, boundaries, transgression (udstillingsprogram 2021)",Samtidskunst
485,2020,Kunstforeningen GL STRAND,430.000,Særpulje til de danske kunsthaller,Samtidskunst
486,2020,Kirkens Korshær,67.000,Støtte til funktionelt hjemløse ifbm Covid19,Nordjylland
487,2020,Galleri Image,12.000,Særpulje til de danske kunsthaller,Samtidskunst
488,2020,Brandts,430.000,Særpulje til de danske kunsthaller,Samtidskunst
489,2020,Nikolaj Kunsthal,430.000,Særpulje til de danske kunsthaller,Samtidskunst
490,2020,Line Finderup Jensen,50.000,NoIssue,Samtidskunst
491,2020,Sophienholm (kunsthal),430.000,Særpulje til de danske kunsthaller,Samtidskunst
492,2020,Viborg Kunsthal,155.000,Særpulje til de danske kunsthaller,Samtidskunst
493,2020,Lea Han,50.000,"Sammen om kunsten (“Festival & Friends” – De unges kammermusikfestival v. Lea Han, Gustav Piekut og Jonathan Swensen)",Klassisk musik
494,2020,Copenhagen Contemporary,430.000,Særpulje til de danske kunsthaller,Samtidskunst
495,2020,kunsten.nu,50.000,Sammen on kunsten E-udgivelse: Genstart kunsten,Samtidskunst
496,2020,Foreningen PixlArt,675.000,PixlArt,Samtidskunst
497,2020,Rønnebæksholm,292.900,Særpulje til de danske kunsthaller,Samtidskunst
498,2020,Mariagerfjord Kunstforening,20.000,Bruno Kjær – Skyggebibliotekets spejl,Samtidskunst
499,2020,Den Frie Udstillingsbygning,272.250,Særpulje til de danske kunsthaller,Samtidskunst
500,2020,Kunsthal Charlottenborg,430.000,Særpulje til de danske kunsthaller,Samtidskunst
501,2020,Gl Holtegaard,59.000,Særpulje til de danske kunsthaller,Samtidskunst
502,2020,Kunsthal Aarhus,126.400,Særpulje til de danske kunsthaller,Samtidskunst
503,2020,KunstCentret Silkeborg Bad,430.000,Særpulje til de danske kunsthaller,Samtidskunst
504,2020,Fotografisk Center,23.302,Særpulje til de danske kunsthaller,Samtidskunst
505,2020,Bonamatic,100.000,Udstillingsprogram 2020-2022,Samtidskunst
506,2020,Peter Howard Jensen,50.000,Koncertprojekt med Münchener Kammerorchester og Peter Howard Jensen.,Klassisk musik
507,2020,ART 2030,2.300.000,Vertical Migrations,Samtidskunst
508,2020,Christian IV’s Vokalensemble,12.000,Johann Theiles Matthæus-Passion – et projekt i anledningen af 100-års jubilæet for Genforeningen af Sønderjylland med Danmark,Klassisk musik
509,2020,Det Kgl. Bibliotek,110.000,Koncertformidling i en Corona-tid,Klassisk musik
510,2020,ilyd,50.000,Sammen om kunsten:,Samtidskunst
511,2020,"Danske Ensembler, Orkestre og Operainstitutioner",500.000,Danmarks Digitale Koncertsal,Klassisk musik
512,2020,Ida Kvetny/Rundetårn,60.000,"Sammen om kunsten – Extensions Vol 2,3 og 4",Samtidskunst
513,2020,Martin Lohse,100.000,Sammen om kunsten: “Echoes off Cliffs” – a modern symphony in rural surroundings,Klassisk musik
514,2020,Scenatet,180.000,Lohengrin & Kærtegn for kærtegn,Klassisk musik
515,2020,Ringsted Galleriet,250.000,SAMMENSTØD – 6 udstillinger i det offentlige rum i Ringsted by (2021),Samtidskunst
516,2020,Kunsthal Charlottenborg,4.500.000,Hele Danmarks internationale kunsthal,Samtidskunst
517,2020,Skandinavisk Forenings Kunstnerhus i Rom,50.000,Skandinavisk Forenings Kunstnerhus i Rom,Samtidskunst
518,2020,Decembristerne,60.000,"Decembristerne, udstilling på Den Frie Udstillingsbygning",Samtidskunst
519,2020,Det jyske Musikkonservatorium,1.800.000,Online læring i musikundervisning- fra begynder til elite,Klassisk musik
520,2020,Aalborg Kongres & Kultur Center,75.000,"*Obs: Sammen om Kunsten initiativ. Madama Butterfly, én unik koncertversion med Den Kongelige Opera, Det Kongelige Operakor og Det Kongelige Kapel i Aalborg Kongres & Kultur Center (AKKC)",Nordjylland
521,2020,Aalborg Kulturskole,30.000,Pianister i Nord,Nordjylland
522,2020,Den Almennyttige Fond for Psaligrafisk Kunst,50.000,paper realism – en udstilling af skulptur i papir,Nordjylland
523,2020,OK Corral,100.000,Imod en permanent institution,Samtidskunst
524,2020,Skråen i Nordkraft,500.000,Skråen – særlig støtte pga. corona,Nordjylland
525,2020,Foreningen Camerata Øresund,50.000,Camerata Øresunds to projekter i efteråret 2020,Klassisk musik
526,2020,Musikforeningen UTZON,50.000,Musikforeningen UTZONs koncerter i 2021,Klassisk musik
527,2020,Lil Lacy Music,100.000,you’re somehow connected,Klassisk musik
528,2020,Vestbyens Erindringsværksted,15.000,Virksomheder i Vestbyen,Nordjylland
529,2020,Hobro Musikforening,20.000,Hobro Musikforening koncertserie 2020/2021,Klassisk musik
530,2020,Sorø Kunstmuseum,1.200.000,Naturen Taler,Samtidskunst
531,2020,Børnenes Kontor aalborg,75.000,Julehjælp 2020,Nordjylland
532,2020,SixtyEight Art Institute,100.000,Memoirs of Saturn,Samtidskunst
533,2020,Aye-Aye,100.000,Aye-Aye,Samtidskunst
534,2020,Aalborg Kommune / Svenstrupgård,3.000.000,Ombygning af Forsorgshjemmet Svenstrupgård,Nordjylland
535,2020,Bornholms Musikforening,60.000,"Koncertrække 2021, 2022 og 2023",Klassisk musik
536,2020,Frelsens Hær,75.000,Hjælp til Frelsens Hærs julehjælp 2020,Nordjylland
537,2020,Kirkens Korshær Aalborg,75.000,Julehjælp til socialt udsatte familier samt hjemløse i Nordjylland,Nordjylland
538,2020,Aalborg Kongres & Kultur Center,86.000,Støtte til kulturaktiviteter i AKKC 2020-2021,Nordjylland
539,2020,Nordjyske Strygere,20.000,Koncert i Hjørring Musikforening,Nordjylland
540,2020,Kunstsammenslutningen Corner,50.000,Corner Udstillingen på Sophienholm 2021,Samtidskunst
541,2020,M100 udstillingssted,150.000,"M100, udstillingsprogram 2021",Samtidskunst
542,2020,Augustiana Kunstpark & Kunsthal,230.000,Augustiana Kunstpark & Kunsthal – Udstillingsprogram 2021,Samtidskunst
543,2020,Museet for Samtidskunst,2.000.000,"Et nyt Museet for Samtidskunst: Hvordan ville et museum se ud, hvis vi opfandt det i dag?",Samtidskunst
544,2020,Ønskeland,1.200.000,Ønskeland – ophold for alvorligt og kronisk syge børn og deres familier,Nordjylland
545,2020,INDK Symphonic Collaboration,50.000,Symfonisk koncertsamarbejde i Thisted,Klassisk musik
546,2020,CPH Opera Festival,1.350.000,Treårig udviklingsstrategi for Copenhagen Opera Festival,Klassisk musik
547,2020,Sol Nexø,75.000,Sol 2021,Samtidskunst
548,2020,Rønnebæksholm,1.800.000,FællesRum – et nyt residency og kunstnerisk program på Kunsthal Rønnebæksholm,Samtidskunst
549,2020,Musik & Ungdom,25.000,Orkesterfestivalen 2021,Klassisk musik
550,2020,Patrick Egersborg Opera & Koncert,30.000,Rigoletto i Koncertkirken,Klassisk musik
551,2020,Viborg Kunsthal,300.000,Ansøgning om støtte til udstillingsprogram 2021,Samtidskunst
552,2020,Fonden Musikkens Hus i Nordjylland,4.000.000,Ansøgning om støtte til Musikkens Hus klassiske program for perioden frem til udgangen af 2022,Klassisk musik
553,2020,Aalborg Artists Association,25.000,Aalborg Artists Association,Samtidskunst
554,2020,c4 projects,50.000,c4 projects udstillingsprogram 2021,Samtidskunst
555,2020,Børneulykkesfonden,95.348,Helteakademiet,Nordjylland
556,2020,Aalborg Universitet,150.000,Legater til kortvarige grupperejser til udlandet.,Nordjylland
557,2020,Aalborg Universitet,950.000,Legater til studie- og praktikophold til udlandet.,Nordjylland
558,2020,Hindsgavl Festival ApS,50.000,Hindsgavl Festival 2020 (ekstrabevilling),Klassisk musik
559,2019,Sort/Hvid,300.000,Sort/Hvid: Nyt epicenter for tværæstetisk samtidskunst,Samtidskunst
560,2019,Aalborg Universitet,950.000,Det Obelske Familiefonds støtte til Aalborg Universitets udlandsophold,Nordjylland
561,2019,Foreningssamarbejdet 9220,450.000,Foreningssamarbejdet 9220 – aktiv fritid for alle børn og unge i Aalborg Øst,Nordjylland
562,2019,Aalborg Universitet,150.000,Legater til korte grupperejser til udlandet,Nordjylland
563,2019,Retten i Aalborg,356.000,Ansøgning om støtte til udsmykning af rettens forhal og information,Samtidskunst
564,2019,Concerto Copenhagen,3.000.000,Danmarks nationale barokorkester – et 4-årigt udviklingsprojekt 2019-22,Klassisk musik
565,2019,Gjøl Kunstforening,100.000,Tabita – skulptur på Gjøl havn,Samtidskunst
566,2019,Selvejende Institution Skovsnogen,300.000,“Campfire” – SKOVSNOGEN – Deep Forest Artland og De Grønne Pigespejdere,Samtidskunst
567,2019,Musikaktionærerne,150.000,Medlemskab af Musikaktionærerne,Nordjylland
568,2019,Dansk Talentakademi,248.450,to-årigt udstillingsprogram Huset for Kunst og Design,Samtidskunst
569,2019,Skagens Kunstmuseer,300.000,"Udstilling, Skagen Museum: Mesterværker – Krøyer på bestilling",Nordjylland
570,2019,Randers Kammerorkester,40.000,Børn møder det klassiske orkester og The Beatles,Klassisk musik
571,2019,Thy Sangskole,50.000,KOM SÅ I SANG!,Klassisk musik
572,2019,Special Minds,60.000,Uddannelse af unge med autisme til beskæftigelse og et meningsfuldt voksen – og arbejdsliv,Nordjylland
573,2019,Opera i Rebild,30.000,Opera i Rebild 2019,Klassisk musik
574,2019,Copenhagen Phil,2.000.434,Støtte til Copenhagen Phils chefdirigent 2019-2022,Klassisk musik
575,2019,Aalborg Teater,125.000,Aalborg Teater sæson 2019/2020,Samtidskunst
576,2019,Dronninglund Kunstcenter,250.000,Fornyelse af forplads ved Dronninglund Kunstcenter,Samtidskunst
577,2019,Rudolph Tegners Museum & Statuepark,75.000,"ARV – Tovborg, Kalkau og Third Ear",Samtidskunst
578,2019,Aarhus Chamber Ensemble,50.000,Musikalske Stjernestunder på Museum Jorn,Klassisk musik
579,2019,Vendsyssel Festival,50.000,Vendsyssel Festival 2019,Klassisk musik
580,2019,Københavns Kommune,300.000,HIMMEL – Kunstprojekt i forbindelse med byrumsforbedring og skybrudssikring i Glenteparken,Samtidskunst
581,2019,Fejø Kammermusikforening/Fejø Kammermusikfestival 2017,40.000,Fejøs Festival 2019,Klassisk musik
582,2019,Sommerkoncerter på Langeland,40.000,"Sommerkoncerter på Langeland, 2019",Klassisk musik
583,2019,Læsø Kunsthal,80.000,Den politiske kunst,Samtidskunst
584,2019,Danmarks Indsamling 2019 – c/o Dansk Røde Kors,100.000,Danmarks Indsamling 2019 – Styrk Verdens Piger,Nordjylland
585,2019,Frederiksværk Musikfestival,30.000,Frederiksværk Musikfestival 2019,Klassisk musik
586,2019,"Marilena Koutsoukou, on behalf of HRH Prince Nikolaos",75.000,CELESTIAL CHOREOGRAPHY,Samtidskunst
587,2019,Professionshøjskolen UCN,500.000,Studie- eller praktikophold i udlandet for studerende på Professionshøjskolen UCN,Nordjylland
588,2019,Kulturhus Kappelborg,100.000,Skagen Kammermusikfestival 2019 + 2020,Klassisk musik
589,2019,Don’t fear the weird Filmfestival,100.000,Don’t fear the weird Filmfestival i Aalborg,Nordjylland
590,2019,Klitgården Refugium,50.000,Kunstnere til Nordjylland,Samtidskunst
591,2019,Ragnhild Kjølberg,15.000,Kammermusik i Dorf gl. Skole,Klassisk musik
592,2019,Tversted Pastorat,15.000,opera galla koncert,Klassisk musik
593,2019,Exlibristen,20.000,Jubilæumsskrift,Samtidskunst
594,2019,Randers Kunstmuseum,700.000,”Herfra hvor vi står. Syv kunstudstillinger om national identitet” på syv kunstmuseer i Region Midtjylland.,Samtidskunst
595,2019,Den Danske Strygekvartet,3.000.000,3-årigt samarbejde. Støtte til projekter i forbindelse med Den Danske Strygekvartets virke.,Klassisk musik
596,2019,Læsø Kunsthal,50.000,Jorn og myternes migration,Samtidskunst
597,2019,Skalborg Sportsklub (SSK),15.000,Forbundsmesterskaber (FM) i Fodbold,Nordjylland
598,2019,Lendum Kunst- og Kulturforening,300.000,Projekt Lendum Soltorv.,Nordjylland
599,2019,Fanø Sommerkoncerter,30.000,Fanø Sommerkoncerter 2019,Klassisk musik
600,2019,Ny Carlsberg Glyptotek,3.000.000,Samtidskunst på Glyptoteket,Samtidskunst
601,2019,Foreningen Kerteminde Kammermusikfestival,50.000,Kammermusikfestival på Lundsgaard Gods 8.-11. august 2019,Klassisk musik
602,2019,Hicsum,30.000,Hicsum 2019,Klassisk musik
603,2019,Nørrebiennalen,252.000,Nørrekærbiennalen 2019 Forandring Forankring,Samtidskunst
604,2019,Levende Musik i Skolen,1.000.000,Smag for Klassisk,Klassisk musik
605,2019,Lemvig Museum,50.000,Trækfuglevej,Samtidskunst
606,2019,Kulturmødet Mors,1.110.000,Kulturmødet 2019-2021,Nordjylland
607,2019,Foreningen GENKLANGE,500.000,Genklange og Den Rullende Koncertsal 2019-22,Klassisk musik
608,2019,Brandts,2.400.000,Udvikling af udstillingsprogram med dansk og international samtidskunst,Samtidskunst
609,2019,Projektorganisationen Nyt Hospital Nordsjælland,6.000.000,Kunstprojekt Livskraft på Nyt Hospital Nordsjælland,Samtidskunst
610,2019,CPH Opera Festival,2.500.000,Nordkraft som Opera,Klassisk musik
611,2019,Hvide Sande Masterclass,40.000,Hvide Sande Masterclass 2019,Klassisk musik
612,2019,Elvermose Klassiske Koncerter,40.000,Elvermose Klassiske Koncerter,Klassisk musik
613,2019,Containerakademiet v. Prof. Billedhugger Bjørn Nørgaard,5.000.000,Containerakademiet,Samtidskunst
614,2019,Fonden Chart,450.000,CHART 2019-2021,Samtidskunst
615,2019,KUNSTEN – Museum of Modern Art Aalborg,38.000,Kunsten Business Executive,Nordjylland
616,2019,Tord Løfgren,20.000,Open Strings Cellomasterclass 2019,Klassisk musik
617,2019,Den levende Middelalder,15.000,Middelalderdage på Vitskøl Kloster 2019,Nordjylland
618,2019,Esbjerg Int. Chamber Music Festival,40.000,EICMF 2019 – Esbjerg International Chamber Music Festival “Papa Haydn – strygekvartettens far”,Klassisk musik
619,2019,Musikteatret SAUM,50.000,Historien om V,Klassisk musik
620,2019,Grønnegårds Teatret,35.000,Grønnegårds Teatrets aktiviteter 2019,Samtidskunst
621,2019,SNOW MASK COMPOSER GROUP,20.000,Snow Masks to koncertserier efteråret 2019.,Klassisk musik
622,2019,Herning Opera Festival,100.000,Herning Opera Festival,Klassisk musik
623,2019,Charlottenborg Fonden,75.000,Charlottenborg Forårsudstilling 2020,Samtidskunst
624,2019,Fonden Musikkens Hus i Nordjylland,500.000,The Lauritz Melchior International Singing Competition 2020,Klassisk musik
